mouse_id	Flow.date	RFID	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	Sample.	Eosinphils	Neutrophils	Ly6C_Monocyte	CD11c_MHCII	CD103_CD11c_MHCII_DC	CD103neg_CD11c_MHCII_DC
505149	4-Aug	C8 AtgH 505149 PBMC lymph.fcs	AtgH	wild	-3.29218107	7	M	N	N	blood	G8 AtgH 505149 MLN Myeloid.fcs	0.27	0.18	0.57	1.68	0.28	0.96
505150	4-Aug	D5 B6 505150 PBMC lymph.fcs	B6	wild	33.9869281	3	F	N	N	blood	A5 B6 505150 MLN Myeloid.fcs	0.086	0.012	0.75	1.87	0.34	1.02
505152	10-Aug	E7 AtgH 505152 PBMC lymph.fcs	AtgH	wild	30.81395349	4	F	N	Y	blood	B7 AtgH 505152 MLN Myeloid.fcs	0.088	0.11	0.32	1.21	0.21	0.75
505153	4-Aug	E2 NOD2 505153 PBMC lymph.fcs	NOD2	wild	37.42690058	4	F	Y	N	blood	B2 NOD2 505153 MLN Myeloid.fcs	0.46	0.063	0.48	1.37	0.27	0.65
505154	10-Aug	E10 NOD2 505154 PBMC lymph.fcs	NOD2	wild	-6.844106464	8	M	N	N	blood	B10 NOD2 505154 MLN Myeloid.fcs	0.16	0.11	0.22	0.82	0.17	0.48
505155	10-Aug	D6 NOD2 505155 PBMC lymph.fcs	NOD2	wild	-2.390438247	7	M	N	N	blood	A6 NOD2 505155 MLN Myeloid.fcs	0.11	0.016	0.14	0.63	0.15	0.35
505248	4-Aug	E1 NOD2 505248 PBMC lymph.fcs	NOD2	wild	7.142857143	7	M	N	N	blood	B1 NOD2 505248 MLN Myeloid.fcs	0.16	0.099	0.51	1.53	0.39	0.65
505252	10-Aug	E2 AtgE 505252 PBMC lymph.fcs	AtgE	wild	16.22807018	8	M	N	N	blood	B2 AtgE 505252 MLN Myeloid.fcs	0.031	0.027	0.21	0.72	0.17	0.41
505253	4-Aug	D11 AtgE 505253 PBMC lymph.fcs	AtgE	wild	1.167315175	8	M	N	N	blood	A11 AtgE 505253 MLN Myeloid.fcs	0.078	0.011	0.71	1.25	0.22	0.65
505349	4-Aug	D1 AtgE 505349 PBMC lymph.fcs	AtgE	wild	29.94350282	4	F	N	N	blood	A1 AtgE 505349 MLN Myeloid.fcs	0.14	0.27	1.13	1.56	0.29	0.73
505352	10-Aug	E8 NOD2 505352 PBMC lymph.fcs	NOD2	wild	-14.34262948	8	M	N	N	blood	B8 NOD2 505352 MLN Myeloid.fcs	0.077	0.035	0.2	1.35	0.31	0.79
505355	10-Aug	D8 AtgH 505355 PBMC lymph.fcs	AtgH	wild	-1.287553648	7	M	N	N	blood	A8 AtgH 505355 MLN Myeloid.fcs	0.098	0.044	0.16	1.12	0.12	0.76
505356	4-Aug	D12 AtgE 505356 PBMC lymph.fcs	AtgE	wild	20.53571429	8	M	N	N	blood	A12 AtgE 505356 MLN Myeloid.fcs	0.086	0.097	0.67	1.25	0.22	0.63
505357	4-Aug	D6 AtgE 505357 PBMC lymph.fcs	AtgE	wild	9.589041096	8	M	N	N	blood	A6 AtgE 505357 MLN Myeloid.fcs	0.063	0.072	0.58	1.26	0.21	0.64
505449	4-Aug	D11 AtgE 505449 PBMC lymph.fcs	AtgE	wild	45.16129032	3	F	N	Y	blood	A11 AtgE 505449 MLN Myeloid.fcs	0.075	0.087	0.52	1.75	0.29	0.97
505452	4-Aug	E9 AtgW 505452 PBMC lymph.fcs	B6	wild	28.94736842	4	F	Y	N	blood	B9 AtgW 505452 MLN Myeloid.fcs	0.22	0.19	0.7	1.64	0.25	0.88
505453	10-Aug	D8 AtgW 505453 PBMC lymph.fcs	B6	wild	14.94252874	3	F	N	N	blood	A8 AtgW 505453 MLN Myeloid.fcs	0.072	0.044	0.2	0.9	0.2	0.52
505454	10-Aug	E1 AtgE 505454 PBMC lymph.fcs	AtgE	wild	17.11711712	8	M	N	N	blood	B1 AtgE 505454 MLN Myeloid.fcs	0.045	0.04	0.21	1.08	0.27	0.61
505548	10-Aug	D10 AtgH 505548 PBMC lymph.fcs	AtgH	wild	25.60386473	7	M	N	Y	blood	A10 AtgH 505548 MLN Myeloid.fcs	0.15	0.00601	0.13	0.58	0.12	0.33
505550	10-Aug	E1 AtgE 505550 PBMC lymph.fcs	AtgE	wild	30.89005236	4	F	Y	N	blood	B1 AtgE 505550 MLN Myeloid.fcs	0.8	0.42	0.45	1.67	0.34	1.04
505551	4-Aug	D1 B6 505551 PBMC lymph.fcs	B6	wild	2.409638554	7	M	N	N	blood	A1 B6 505551 MLN Myeloid.fcs	0.12	0.028	0.43	1.4	0.22	0.81
505553	10-Aug	E10 AtgH 505553 PBMC lymph.fcs	AtgH	wild	82.08955224	4	F	Y	N	blood	B10 AtgH 505553 MLN Myeloid.fcs	0.057	0.066	0.2	0.94	0.12	0.62
505554	10-Aug	E9 AtgH 505554 PBMC lymph.fcs	AtgH	wild	46.15384615	4	F	Y	N	blood	B9 AtgH 505554 MLN Myeloid.fcs	0.082	0.027	0.18	1.05	0.18	0.65
505556	4-Aug	D4 AtgE 505556 PBMC lymph.fcs	AtgE	wild	37.09677419	4	F	N	N	blood	H3 AtgE 505556 MLN Myeloid.fcs	0.096	0.12	0.69	2.05	0.4	1.06
505648	10-Aug	D11 AtgH 505648 PBMC lymph.fcs	AtgH	wild	13.04347826	8	M	N	Y	blood	A11 AtgH 505648 MLN Myeloid.fcs	0.036	0.051	0.28	1.65	0.35	1.03
505650	10-Aug	D5 AtgW 505650 PBMC lymph.fcs	B6	wild	10.8490566	8	M	N	N	blood	A5 AtgW 505650 MLN Myeloid.fcs	0.065	0.014	0.17	0.53	0.12	0.3
505651	4-Aug	D8 AtgE505651 PBMC lymph.fcs	AtgE	wild	8.43373494	8	M	N	N	blood	A8 AtgE505651 MLN Myeloid.fcs	0.083	0.029	0.65	0.87	0.2	0.38
505652	10-Aug	D12 AtgW 505652 PBMC lymph.fcs	B6	wild	3.982300885	7	M	N	N	blood	A12 AtgW 505652 MLN Myeloid.fcs	0.069	0.028	0.23	0.81	0.16	0.5
505654	10-Aug	D4 AtgW 505654 PBMC lymph.fcs	B6	wild	0.71942446	8	M	N	N	blood	A4 AtgW 505654 MLN Myeloid.fcs	0.046	0.013	0.19	0.72	0.19	0.39
505655	4-Aug	A4 AtgE 505655 MLN Myeloid.fcs	AtgE	wild	11.9791667	8	M	N	N	blood	A4 AtgE 505655 MLN Myeloid.fcs	0.062	0.02	0.48	0.94	0.18	0.46
505656	10-Aug	D12 AtgH 505656 PBMC lymph.fcs	AtgH	wild	11.84210526	8	M	N	N	blood	A12 AtgH 505656 MLN Myeloid.fcs	0.089	0.017	0.18	0.8	0.15	0.46
505748	4-Aug	D7 AtgE 505748 PBMC lymph.fcs	AtgE	wild	31.57894737	3	F	N	N	blood	A7 AtgE 505748 MLN Myeloid.fcs	0.11	0.026	0.46	1.46	0.27	0.8
505749	4-Aug	C5 AtgW 505749 PBMC lymph.fcs	B6	wild	22.90502793	4	F	Y	N	blood	G5 AtgW 505749 MLN Myeloid.fcs	0.15	0.063	0.78	2.49	0.52	1.22
505750	4-Aug	E8 NOD2 505750 PBMC lymph.fcs	NOD2	wild	10.16949153	3	F	N	N	blood	B8 NOD2 505750 MLN Myeloid.fcs	0.15	0.024	0.28	1.03	0.17	0.56
505751	4-Aug	C12 AtgH 505751 PBMC lymph.fcs	AtgH	wild	21.13402062	4	F	Y	N	blood	G12 AtgH 505751 MLN Myeloid.fcs	0.29	0.45	1.24	2.22	0.41	1.2
505752	10-Aug	D5 NOD2 505752 PBMC lymph.fcs	NOD2	wild	61.0738255	4	F	Y	N	blood	A5 NOD2 505752 MLN Myeloid.fcs	0.19	0.042	0.16	0.81	0.15	0.46
505756	4-Aug	C11 AtgH 505756 PBMC lymph.fcs	AtgH	wild	53.84615385	4	F	Y	N	blood	G11 AtgH 505756 MLN Myeloid.fcs	0.13	0.068	0.67	1.29	0.28	0.65
514849	10-Aug	D3 AtgW 514849 PBMC lymph.fcs	B6	wild	5.058365759	7	M	N	N	blood	A3 AtgW 514849 MLN Myeloid.fcs	0.1	0.07	0.29	1.63	0.3	1.03
514851	4-Aug	D5 NOD2 514851 PBMC lymph.fcs	NOD2	wild	23.4939759	4	F	N	N	blood	H5 NOD2 514851 MLN Myeloid.fcs	0.14	0.016	0.46	1.58	0.36	0.88
514855	4-Aug	E2 NOD2 514855 PBMC lymph.fcs	NOD2	wild	37.64044944	7	M	N	N	blood	B2 NOD2 514855 MLN Myeloid.fcs	0.075	0.016	0.56	2	0.43	0.95
514856	10-Aug	E2 AtgE 514856 PBMC lymph.fcs	AtgE	wild	25.64102564	4	F	Y	N	blood	B2 AtgE 514856 MLN Myeloid.fcs	0.091	0.083	0.55	1.33	0.24	0.87
514857	4-Aug	C1 AtgW 514857 PBMC lymph.fcs	B6	wild	11.57024793	7	M	N	N	blood	G1 AtgW 514857 MLN Myeloid.fcs	0.062	0.044	1.04	1.97	0.36	0.99
514949	10-Aug	E5 NOD2 514949 PBMC lymph.fcs	NOD2	wild	28.74251497	7	M	N	N	blood	B5 NOD2 514949 MLN Myeloid.fcs	0.08	0.039	0.23	0.99	0.23	0.55
514951	10-Aug	D9 AtgH 514951 PBMC lymph.fcs	AtgH	wild	5.263157895	7	M	N	N	blood	A9 AtgH 514951 MLN Myeloid.fcs	0.041	0.054	8.61	0.41	0.14	0.16
514957	4-Aug	E10 AtgH 514957 PBMC lymph.fcs	AtgH	wild	-1.515151515	8	M	N	N	blood	B10 AtgH 514957 MLN Myeloid.fcs	0.16	0.051	1.02	1.65	0.28	0.77
515048	10-Aug	D3 NOD2 515048 PBMC lymph.fcs	NOD2	wild	70.96774194	3	F	Y	N	blood	A3 NOD2 515048 MLN Myeloid.fcs	0.18	0.041	0.17	0.95	0.26	0.54
515050	4-Aug	E7 NOD2 515050 PBMC lymph.fcs	NOD2	wild	45.27027027	3	F	N	N	blood	B7 NOD2 515050 MLN Myeloid.fcs	0.16	0.06	0.53	1.88	0.39	1.01
515054	10-Aug	D7 AtgH 515054 PBMC lymph.fcs	AtgH	wild	9.053497942	7	M	N	N	blood	A7 AtgH 515054 MLN Myeloid.fcs	0.076	0.03	0.38	0.54	0.042	0.16
515055	4-Aug	E4 NOD2 515055 PBMC lymph.fcs	NOD2	wild	-23.25581395	7	M	N	N	blood	B4 NOD2 515055 MLN Myeloid.fcs	0.14	0.075	3.76	0.9	0.21	0.45
515056	4-Aug	C10 AtgH 515056 PBMC lymph.fcs	AtgH	wild	71.12299465	4	F	Y	N	blood	G10 AtgH 515056 MLN Myeloid.fcs	0.13	0.16	0.7	2.97	0.55	1.67
515057	4-Aug	D8 AtgE 515057 PBMC lymph.fcs	AtgE	wild	55.84415584	3	F	Y	Y	blood	A8 AtgE 515057 MLN Myeloid.fcs	0.11	0.23	0.6	1.72	0.25	0.98
515149	4-Aug	E12 AtgH 515149 PBMC lymph.fcs	AtgH	wild	6.995884774	7	M	N	N	blood	NA	NA	NA	NA	NA	NA	NA
515150	10-Aug	E4 AtgE 515150 PBMC lymph.fcs	AtgE	wild	76.61691542	4	F	Y	N	blood	B4 AtgE 515150 MLN Myeloid.fcs	0.079	0.046	0.36	0.87	0.15	0.54
515152	4-Aug	E1 NOD2 515152 PBMC lymph.fcs	NOD2	wild	48.27586207	4	F	N	N	blood	B1 NOD2 515152 MLN Myeloid.fcs	0.14	0.074	0.54	1.41	0.34	0.51
515155	4-Aug	E11 AtgH 515155 PBMC lymph.fcs	AtgH	wild	10.89494163	8	M	N	N	blood	B11 AtgH 515155 MLN Myeloid.fcs	0.26	0.16	0.8	1.3	0.25	0.53
515157	4-Aug	C2 AtgW 515157 PBMC lymph.fcs	B6	wild	6.770833333	3	F	Y	N	blood	G2 AtgW 515157 MLN Myeloid.fcs	0.077	0.023	0.63	1.5	0.3	0.76
515249	4-Aug	E3 NOD2 515249 PBMC lymph.fcs	NOD2	wild	-5.579399142	7	M	N	N	blood	B3 NOD2 515249 MLN Myeloid.fcs	0.14	0.12	0.68	1.03	0.28	0.4
515250	4-Aug	E5 NOD2 515250 PBMC lymph.fcs	NOD2	wild	9.195402299	3	F	N	N	blood	B5 NOD2 515250 MLN Myeloid.fcs	0.27	0.013	0.33	1.34	0.25	0.73
515251	4-Aug	E6 NOD2 515251 PBMC lymph.fcs	NOD2	wild	46.15384615	3	F	N	N	blood	B6 NOD2 515251 MLN Myeloid.fcs	0.03	0.00905	27.4	0.28	0.052	0.12
515253	10-Aug	E12 NOD2 515253 PBMC lymph.fcs	NOD2	wild	31.57894737	3	F	Y	N	blood	B12 NOD2 515253 MLN Myeloid.fcs	0.14	0.024	0.16	1.02	0.2	0.64
515254	4-Aug	D9 AtgE 515254 PBMC lymph.fcs	AtgE	wild	-4.214559387	8	M	N	N	blood	A9 AtgE 515254 MLN lyMyeloid.fcs	0.056	0.032	0.48	0.97	0.25	0.39
515255	4-Aug	D4 B6 515255 PBMC lymph.fcs	B6	wild	42.40506329	3	F	Y	N	blood	A4 B6 515255 MLN Myeloid.fcs	0.1	0.05	0.52	1.32	0.19	0.75
515256	10-Aug	E5 AtgE 515256 PBMC lymph.fcs	AtgE	wild	27.90697674	4	F	Y	N	blood	B5 AtgE 515256 MLN Myeloid.fcs	0.11	0.02	0.55	0.9	0.16	0.57
515350	4-Aug	E12 AtgH 515350 PBMC lymph.fcs	AtgH	wild	6.060606061	8	M	N	N	blood	B12 AtgH 515350 MLN Myeloid.fcs	0.07	0.055	0.92	0.97	0.27	0.38
515353	4-Aug	C4 AtgW 515353 PBMC lymph.fcs	B6	wild	75.32467532	3	F	Y	N	blood	G4 AtgW 515353 MLN Myeloid.fcs	0.093	0.053	0.68	1.67	0.36	0.83
515356	10-Aug	E9 NOD2 515356 PBMC lymph.fcs	NOD2	wild	-10.71428571	8	M	N	N	blood	B9 NOD2 515356 MLN Myeloid.fcs	0.071	0.014	0.25	0.9	0.16	0.53
515357	4-Aug	D10 AtgE 515357 PBMC lymph.fcs	AtgE	wild	13.25966851	3	F	N	N	blood	A10 AtgE 515357 MLN Myeloid.fcs	0.16	0.03	0.54	2.52	0.35	1.42
515450	4-Aug	E4 NOD2 515450 PBMC lymph.fcs	NOD2	wild	36.07594937	3	F	N	N	blood	B4 NOD2 515450 MLN Myeloid.fcs	0.14	0.029	0.46	2.2	0.36	1.16
515453	10-Aug	E6 NOD2 515453 PBMC lymph.fcs	NOD2	wild	-6.488549618	8	M	N	N	blood	B6 NOD2 515453 MLN Myeloid.fcs	0.091	0.013	0.16	0.63	0.15	0.36
515455	4-Aug	C6 AtgW 515455 PBMC lymph.fcs	B6	wild	27.0718232	4	F	Y	N	blood	G6 AtgW 515455 MLN Myeloid.fcs	0.11	0.06	1.01	3.27	0.77	1.63
515550	4-Aug	D2 AtgE 515550 PBMC lymph.fcs	AtgE	wild	26.94300518	4	F	Y	N	blood	H2 AtgE 515550 MLN Myeloid.fcs	0.29	0.13	0.68	1.42	0.33	0.72
515553	10-Aug	D1 B6 515553 PBMC lymph.fcs	B6	wild	28.93081761	3	F	N	N	blood	A1 B6 515553 MLN Myeloid.fcs	0.067	0.028	0.27	0.8	0.11	0.5
515555	10-Aug	E4 NOD2 515555 PBMC lymph.fcs	NOD2	wild	32.71604938	7	M	N	N	blood	B4 NOD2 515555 MLN Myeloid.fcs	0.063	0.029	0.19	0.65	0.18	0.35
515649	4-Aug	D10 AtgE 515649 PBMC lymph.fcs	AtgE	wild	9.504132231	8	M	N	N	blood	A10 AtgE 515649 MLN Myeloid.fcs	0.039	0.026	1.08	1.92	0.29	0.98
515651	10-Aug	D10 AtgW 515651 PBMC lymph.fcs	B6	wild	47.72727273	4	F	Y	N	blood	A10 AtgW 515651 MLN Myeloid.fcs	0.18	0.23	0.29	1.41	0.31	0.82
515652	4-Aug	C9 AtgH 515652 PBMC lymph.fcs	AtgH	wild	16.84782609	4	F	Y	N	blood	G9 AtgH 515652 MLN Myeloid.fcs	0	0.1	0.52	1.26	0.29	0.68
515653	4-Aug	D7 AtgE 515653 PBMC lymph.fcs	AtgE	wild	5.371900826	8	M	N	N	blood	A7 AtgE 515653 MLN Myeloid.fcs	0.07	0.078	0.87	1.78	0.31	0.87
515654	4-Aug	D3 B6 515654 PBMC lymph.fcs	B6	wild	47.05882353	3	F	Y	N	blood	A3 B6 515654 MLN Myeloid.fcs	0.069	0.029	0.77	2.1	0.39	1.1
515656	10-Aug	E8 AtgH 515656 PBMC lymph.fcs	AtgH	wild	39.20454545	4	F	Y	N	blood	B8 AtgH 515656 MLN Myeloid.fcs	0.27	0.31	0.3	1.21	0.24	0.7
515748	10-Aug	D11 AtgW 515748 PBMC lymph.fcs	B6	wild	35.22012579	4	F	Y	N	blood	A11 AtgW 515748 MLN Myeloid.fcs	0.056	0.057	0.25	0.92	0.14	0.61
515749	4-Aug	D2 AtgE 515749 PBMC lymph.fcs	AtgE	wild	32.5	4	F	Y	N	blood	A2 AtgE 515749 MLN Myeloid.fcs	0.15	0.046	0.49	1.11	0.19	0.53
515750	10-Aug	D9 AtgW 515750 PBMC lymph.fcs	B6	wild	18.13186813	3	F	N	N	blood	A9 AtgW 515750 MLN Myeloid.fcs	0.12	0.023	0.19	1.4	0.22	0.88
515753	4-Aug	E9 NOD2 515753 PBMC lymph.fcs	NOD2	wild	35.48387097	3	F	N	N	blood	B9 NOD2 515753 MLN Myeloid.fcs	0.097	0.15	0.54	1.3	0.29	0.66
515756	4-Aug	D3 AtgE 515756 PBMC lymph.fcs	AtgE	wild	15.19607843	8	M	N	N	blood	A3 AtgE 515756 MLN Myeloid.fcs	0.093	0.047	0.61	1.5	0.34	0.7
515757	4-Aug	E11 AtgH 515757 PBMC lymph.fcs	AtgH	wild	11.11111111	7	M	N	N	blood	NA	NA	NA	NA	NA	NA	NA
57-1	28-Jul	D1 B6 PBMC57-1 lymph.fcs	B6	lab	20.32085561	2517957	F	N	N	blood	A1 B6 MLN 57-1 Myeloid.fcs	0.12	0.018	1.54	2.64	0.47	1.6
57-2	28-Jul	D2 B6 PBMC57-2 lymph.fcs	B6	lab	20.11494253	2517957	F	N	N	blood	A2 B6 MLN 57-2 Myeloid.fcs	0.078	0.015	1.44	1.92	0.29	1.13
57-3	28-Jul	D3 B6 PBMC57-3 lymph.fcs	B6	lab	16.39344262	2517957	F	N	N	blood	A3 B6 MLN 57-3 Myeloid.fcs	0.17	0.014	1.07	1.53	0.27	0.81
57-4	28-Jul	D4 B6 PBMC57-4 lymph.fcs	B6	lab	35.40372671	2517957	F	N	N	blood	A4 B6 MLN 57-4 Myeloid.fcs	0.16	0.00847	1.59	2.18	0.28	1.4
57-5	28-Jul	D5 B6 PBMC57-5 lymph.fcs	B6	lab	11.11111111	2517957	F	N	N	blood	A5 B6 MLN 57-5 Myeloid.fcs	0.16	0.011	1.55	1.92	0.33	1.12
59-1	28-Jul	D1 B6 PBMC59-1 lymph.fcs	B6	lab	7.509881423	2517959	M	N	N	blood	A1 B6 MLN 59-1 Myeloid.fcs	0.073	0.00876	2.23	2.38	0.35	1.26
59-2	28-Jul	D2 B6 PBMC59-2 lymph.fcs	B6	lab	7.8125	2517959	M	N	N	blood	A2 B6 MLN 59-2 Myeloid.fcs	0.066	0.011	1.8	2.72	0.36	1.45
59-3	28-Jul	D3 B6 PBMC59-3 lymph.fcs	B6	lab	6.25	2517959	M	N	N	blood	A3 B6 MLN 59-3 Myeloid.fcs	0.048	0.00686	1.58	2.37	0.3	1.24
59-4	28-Jul	D4 B6 PBMC59-4 lymph.fcs	B6	lab	7.2	2517959	M	N	N	blood	A4 B6 MLN 59-4 Myeloid.fcs	0.056	0.00587	2.08	2.09	0.27	1.17
59-5	28-Jul	D5 B6 PBMC59-5 lymph.fcs	B6	lab	4.564315353	2517959	M	N	N	blood	A5 B6 MLN 59-5 Myeloid.fcs	0.05	0.00708	1.27	1.74	0.27	0.84
