mouse_id	Location	challenge	Genetics	Name	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC_CXCL1	MCP-1_CCL2	IL-1b	IL-10	MIP-1a_CCL3	MIP-1b_CCL4	IL-17	IL-6	IL-13
59-3	NYU	Pseudomonas A.	B6	D5.fcs	P5	<1.16	<1.00	1676	16.71	121.19	<2.82	<1.32	<4.74	147.75	52.74	<1.37	69.46	5.77
59-4	NYU	Pseudomonas A.	B6	D6.fcs	P5	<1.16	<1.00	1154	9.21	45.77	<2.82	<1.32	<4.74	149.05	41.69	<1.37	106.13	<2.46
59-5	NYU	Pseudomonas A.	B6	D7.fcs	P5	<1.16	<1.00	1062	12.4	188.16	4.79	5.28	9.07	114.79	25.97	<1.37	100.3	3.65
66-1	NYU	Pseudomonas A.	NOD2	D8.fcs	P5	<1.16	<1.00	314.6	11.43	44.38	5.08	12.2	9.43	112.44	12.41	<1.37	107.54	6.73
66-2	NYU	Pseudomonas A.	NOD2	D9.fcs	P5	<1.16	1.25	1125	14.54	64.03	<2.82	<1.32	7.24	157.78	39.68	<1.37	117.96	5.17
66-3	NYU	Bacillus S.	NOD2	E10.fcs	P5	<1.16	7.92	82.55	10.07	68.49	16.52	25.69	24.85	141.19	61.14	13.66	47.31	6.74
66-4	NYU	Bacillus S.	NOD2	E11.fcs	P5	<1.16	5.6	12.94	3.87	30.83	7.09	<1.32	9.46	41.96	17.4	<1.37	13.22	3.07
66-5	NYU	Bacillus S.	NOD2	E12.fcs	P5	1.54	3.1	171.67	11.54	65.01	15.41	11.26	41.26	107.71	40.18	<1.37	43.07	9.89
59-1	NYU	Bacillus S.	B6	E3.fcs	P5	<1.16	<1.00	102.32	5.46	27.52	<2.82	<1.32	<4.74	55.13	18.09	<1.37	17.96	<2.46
59-2	NYU	Bacillus S.	B6	E4.fcs	P5	<1.16	<1.00	118.19	5.87	38.79	<2.82	<1.32	5.45	86.7	13.42	16.4	17.77	<2.46
59-3	NYU	Bacillus S.	B6	E5.fcs	P5	<1.16	<1.00	<1.45	<1.27	<1.17	<2.82	<1.32	<4.74	15.08	<1.75	<1.37	<1.73	<2.46
59-4	NYU	Bacillus S.	B6	E6.fcs	P5	<1.16	4.92	125.71	8.03	37.43	9.7	5.82	12.07	146.67	55.99	1.82	40.04	4.96
59-5	NYU	Bacillus S.	B6	E7.fcs	P5	<1.16	<1.00	9.18	8.17	83.04	<2.82	13.94	7.45	64.12	23.18	9.92	27.69	2.63
66-1	NYU	Bacillus S.	NOD2	E8.fcs	P5	<1.16	4.06	54.3	8.91	41.92	3.32	7.13	21.08	109.34	16.86	<1.37	30.84	10.54
66-2	NYU	Bacillus S.	NOD2	E9.fcs	P5	<1.16	1.86	15.1	5.5	44.02	3.48	1.8	4.81	75.6	26.73	<1.37	12.26	3.23
66-3	NYU	Clostridium P.	NOD2	F10.fcs	P5	1.81	2.76	161.31	6.7	20.86	<2.82	19.45	48.29	21.08	7.86	<1.37	11.22	11.76
66-4	NYU	Clostridium P.	NOD2	F11.fcs	P5	<1.16	<1.00	6.62	6.55	43.11	<2.82	<1.32	8.98	13	41.39	<1.37	3.24	<2.46
66-5	NYU	Clostridium P.	NOD2	F12.fcs	P5	<1.16	5.02	22.11	13.95	68.27	11.18	<1.32	14.65	39.19	22.82	<1.37	6.87	3.63
59-1	NYU	Clostridium P.	B6	F3.fcs	P5	<1.16	<1.00	<1.45	15.74	15.56	<2.82	<1.32	7.92	27.19	7	<1.37	2.31	<2.46
59-2	NYU	Clostridium P.	B6	F4.fcs	P5	<1.16	<1.00	<1.45	17.94	70.98	<2.82	<1.32	<4.74	41.43	5.05	<1.37	3.75	<2.46
59-3	NYU	Clostridium P.	B6	F5.fcs	P5	<1.16	1.6	131.9	11.29	56.64	<2.82	<1.32	8.02	33.83	8.23	<1.37	7.28	3.26
59-4	NYU	Clostridium P.	B6	F6.fcs	P5	<1.16	<1.00	344	12.71	24.36	<2.82	<1.32	<4.74	51.19	19.79	<1.37	28.63	5.17
59-5	NYU	Clostridium P.	B6	F7.fcs	P5	<1.16	<1.00	<1.45	20.99	72.32	<2.82	6.58	7.94	28.89	13.48	<1.37	8.8	5.65
66-1	NYU	Clostridium P.	NOD2	F8.fcs	P5	<1.16	2.28	95.9	20.08	42.68	5.47	7.25	41.99	44.68	39.07	<1.37	3.6	7.01
66-2	NYU	Clostridium P.	NOD2	F9.fcs	P5	<1.16	3.48	84.69	11.85	46.35	7.45	6.18	11.88	40.45	22.78	<1.37	18.82	6.55
66-3	NYU	Bacteroides V.	NOD2	G10.fcs	P5	ND	10.79	ND	ND	ND	ND	20.8	30.8	182.9	ND	ND	460.6	9.45
66-4	NYU	Bacteroides V.	NOD2	G11.fcs	P5	<1.16	5.73	<1.45	2.44	18.35	<2.82	24.96	26.3	20.89	15.06	<1.37	42.87	12.29
66-5	NYU	Bacteroides V.	NOD2	G12.fcs	P5	<1.16	<1.00	10.73	<1.27	12.11	<2.82	<1.32	<4.74	<1.36	<1.75	3.83	6.45	5.19
59-1	NYU	Bacteroides V.	B6	G3.fcs	P5	<1.16	<1.00	479.3	13.56	48.43	<2.82	<1.32	<4.74	89.68	17.03	<1.37	92	<2.46
59-2	NYU	Bacteroides V.	B6	G4.fcs	P5	<1.16	<1.00	113.85	7.3	58.63	<2.82	<1.32	<4.74	106.19	22.82	<1.37	137.57	4.32
59-3	NYU	Bacteroides V.	B6	G5.fcs	P5	<1.16	<1.00	337.49	8.83	75.66	<2.82	<1.32	7.85	151.67	25.05	<1.37	175.99	3.22
59-4	NYU	Bacteroides V.	B6	G6.fcs	P5	<1.16	1.13	606.18	7.94	44.75	<2.82	12.91	9.47	150.29	49.86	<1.37	232.47	4.18
59-5	NYU	Bacteroides V.	B6	G7.fcs	P5	<1.16	<1.00	950.53	15.7	120.38	6.96	<1.32	13.12	158.46	43.21	<1.37	195.51	4.64
66-1	NYU	Bacteroides V.	NOD2	G8.fcs	P5	<1.16	2.02	1496	19.04	72.94	<2.82	20.96	56.39	142.01	44.22	13.36	306.04	<2.46
66-2	NYU	Bacteroides V.	NOD2	G9.fcs	P5	<1.16	3.06	1608	13.72	66.35	10.71	<1.32	21.6	83.92	2.66	2.97	312.5	4.4
66-3	NYU	Candida A.	NOD2	H10.fcs	P5	<1.16	<1.00	<1.45	2.15	10.73	6.92	4.1	9.96	<1.36	9.62	<1.37	<1.73	6.9
66-4	NYU	Candida A.	NOD2	H11.fcs	P5	1.57	4.23	23.67	2.45	25.82	14.49	9.5	12.68	<1.36	16.37	<1.37	5.93	6.18
66-5	NYU	Candida A.	NOD2	H12.fcs	P5	<1.16	<1.00	3.69	<1.27	16.91	<2.82	10.28	15.54	3.07	<1.75	<1.37	<1.73	3.12
59-1	NYU	Candida A.	B6	H3.fcs	P5	<1.16	<1.00	<1.45	1.75	<1.17	<2.82	<1.32	13.58	2.87	27.51	<1.37	<1.73	<2.46
59-2	NYU	Candida A.	B6	H4.fcs	P5	<1.16	<1.00	<1.45	3.91	10.71	<2.82	<1.32	28.92	11.36	<1.75	<1.37	<1.73	2.85
59-3	NYU	Candida A.	B6	H5.fcs	P5	<1.16	<1.00	<1.45	<1.27	2.92	<2.82	<1.32	<4.74	5.36	<1.75	<1.37	<1.73	3.09
59-4	NYU	Candida A.	B6	H6.fcs	P5	<1.16	<1.00	<1.45	1.66	<1.17	<2.82	<1.32	<4.74	1.79	<1.75	<1.37	<1.73	<2.46
59-5	NYU	Candida A.	B6	H7.fcs	P5	<1.16	<1.00	<1.45	2.06	6.79	<2.82	<1.32	<4.74	8.81	<1.75	<1.37	4.8	<2.46
66-1	NYU	Candida A.	NOD2	H8.fcs	P5	<1.16	<1.00	6.75	4.77	13.22	<2.82	14.89	18.01	19.67	14.83	<1.37	<1.73	<2.46
66-2	NYU	Candida A.	NOD2	H9.fcs	P5	<1.16	2.5	6.75	2.24	15.38	<2.82	<1.32	<4.74	12.48	18.42	<1.37	4.04	3.97
30-21	NYU	PBS	AtgH	A10.fcs	P6	2.86	13.49	10.34	<1.92	16.32	14.28	<1.78	65.81	<2.01	<6.80	67.64	1.67	<2.10
30-33	NYU	PBS	AtgH	A11.fcs	P6	<1.57	21.73	50.87	4.48	36.58	26.23	36.57	146.73	13.89	9.13	46.27	23.51	2.56
30-36	NYU	PBS	AtgH	A12.fcs	P6	<1.57	10.3	7.29	<1.92	6.82	24.73	4.51	19.8	<2.01	9.61	34.29	2.48	<2.10
76-1	NYU	PBS	AtgE	A3.fcs	P6	3.28	16.78	5.27	4.84	23.45	27.19	47.4	122.67	20.19	37.46	31.07	28.17	5.37
76-2	NYU	PBS	AtgE	A4.fcs	P6	7.98	32.37	38.23	9.52	44.7	32.57	36.35	144.69	36.27	26.91	33.41	35.05	9.17
76-3	NYU	PBS	AtgE	A5.fcs	P6	6.35	30.73	23.37	7.33	48.88	22.59	18.14	97.02	25.18	30.76	17.27	27.84	12.52
76-4	NYU	PBS	AtgE	A6.fcs	P6	2.45	22.2	16.06	6.29	18.77	26.18	16.88	135.97	18.53	33.76	4.7	40.66	7.15
76-5	NYU	PBS	AtgE	A7.fcs	P6	<1.57	18.42	18.97	4.04	20.81	22.26	26.32	81.66	13.42	17.23	<1.89	28.52	8.01
30-9	NYU	PBS	AtgH	A8.fcs	P6	<1.57	9.05	<1.96	11.66	<2.55	16.69	<1.78	61.35	17.02	9.18	<1.89	16.06	<2.10
30-10	NYU	PBS	AtgH	A9.fcs	P6	<1.57	13.95	7.41	<1.92	7.08	22	<1.78	64	<2.01	14.67	8.36	18.58	<2.10
30-21	NYU	CD3/CD28	AtgH	B10.fcs	P6	<1.57	10.72	104.14	15.91	10.43	8.5	<1.78	<2.04	112.74	27.59	<1.89	9.56	<2.10
30-33	NYU	CD3/CD29	AtgH	B11.fcs	P6	2.28	10.79	121.05	15.41	10.05	20.26	<1.78	47.5	128.11	45.64	19.26	11.82	<2.10
30-36	NYU	CD3/CD30	AtgH	B12.fcs	P6	1.63	22.23	242.65	34.55	<2.55	14.42	3.09	59.99	128.41	26.74	32.71	30.13	<2.10
76-1	NYU	CD3/CD31	AtgE	B3.fcs	P6	3.07	20.29	607.39	38.47	10.97	20.26	<1.78	72.03	149.71	19.92	73.63	17.21	2.46
76-2	NYU	CD3/CD32	AtgE	B4.fcs	P6	1.95	31.46	276.13	37.38	14.85	19.84	7.51	35.62	64.43	35.21	172.43	36.52	4.91
76-3	NYU	CD3/CD33	AtgE	B5.fcs	P6	1.75	33.45	312.23	40.97	12.96	21.99	<1.78	<2.04	144.61	75.01	65.64	42.27	<2.10
76-4	NYU	CD3/CD34	AtgE	B6.fcs	P6	2.58	21.28	412.95	36.14	17.76	16.59	<1.78	58.28	137.87	80.37	2.96	21.36	<2.10
76-5	NYU	CD3/CD35	AtgE	B7.fcs	P6	3.05	21.9	486.22	35.59	19.1	23.14	22.78	79.73	110.46	61.79	59.07	38.84	<2.10
30-9	NYU	CD3/CD36	AtgH	B8.fcs	P6	4.09	29.31	319.67	34.59	29.1	18.79	21.11	114.85	144.41	53.69	45.35	19.71	<2.10
30-10	NYU	CD3/CD37	AtgH	B9.fcs	P6	1.69	19.52	143.1	11.52	8.7	19.49	<1.78	21.4	90.16	23.43	52.2	<1.44	2.69
30-21	NYU	Staph A.	AtgH	C10.fcs	P6	4.58	15.34	24.02	9.37	19.63	19.67	<1.78	15.48	97.78	38.97	<1.89	11.14	2.2
30-33	NYU	Staph A.	AtgH	C11.fcs	P6	1.6	<2.14	222.55	14.52	41.67	21.24	<1.78	15.24	52.07	17.28	<1.89	<1.44	<2.10
30-36	NYU	Staph A.	AtgH	C12.fcs	P6	<1.57	<2.14	16.36	11.63	16.88	12.29	<1.78	7.69	32.09	14	<1.89	7.95	<2.10
76-1	NYU	Staph A.	AtgE	C3.fcs	P6	<1.57	10.18	13.44	12.65	18.56	20.9	<1.78	2.73	48.82	18.01	<1.89	15.96	<2.10
76-2	NYU	Staph A.	AtgE	C4.fcs	P6	2.21	10.39	506.71	47.87	38.32	20.86	7.45	38.49	105.94	29.07	<1.89	40.69	4.37
76-3	NYU	Staph A.	AtgE	C5.fcs	P6	3.08	14.44	513.21	48.73	74.15	26.99	<1.78	17.73	141.35	31.86	<1.89	36.93	<2.10
76-4	NYU	Staph A.	AtgE	C6.fcs	P6	3.12	17.87	46.55	3.11	14.22	12.43	2.37	34.51	6.87	7.13	<1.89	14.71	2.76
76-5	NYU	Staph A.	AtgE	C7.fcs	P6	3.24	13.22	24.28	4.36	11.82	20.24	17.07	32.92	12	11.23	<1.89	5.28	3.8
30-9	NYU	Staph A.	AtgH	C8.fcs	P6	3.09	20.58	18.97	3.94	13.21	15.75	2.19	45.24	6.93	<6.80	<1.89	18.03	2.83
30-10	NYU	Staph A.	AtgH	C9.fcs	P6	3.21	12.59	336.8	52.13	31.78	21.79	<1.78	87.46	141.44	54.03	13.99	28.51	6.03
30-21	NYU	Pseudomonas A.	AtgH	D10.fcs	P6	<1.57	<2.14	14.64	8.88	16.82	6.03	<1.78	<2.04	71.52	<6.80	<1.89	23.37	<2.10
30-33	NYU	Pseudomonas A.	AtgH	D11.fcs	P6	<1.57	<2.14	5.5	<1.92	7.59	6.52	<1.78	<2.04	56.33	11.79	<1.89	21.36	<2.10
30-36	NYU	Pseudomonas A.	AtgH	D12.fcs	P6	<1.57	<2.14	19.29	4.27	34.78	<2.01	<1.78	<2.04	79.12	<6.80	<1.89	27.49	<2.10
76-1	NYU	Pseudomonas A.	AtgE	D3.fcs	P6	4.39	<2.14	15.79	11.43	30.5	29.74	27.46	155.84	50.66	251.67	18.41	49.69	7.38
76-2	NYU	Pseudomonas A.	AtgE	D4.fcs	P6	1.97	13.02	<1.96	9.62	28.63	25.47	20.6	55.94	134.94	29.75	14.76	45.71	<2.10
76-3	NYU	Pseudomonas A.	AtgE	D5.fcs	P6	4.35	14.67	26.51	19.75	105.7	23.17	24.2	52.22	261.98	44.11	<1.89	119.54	3.74
76-4	NYU	Pseudomonas A.	AtgE	D6.fcs	P6	<1.57	20.37	2848	15.9	35.41	14.36	<1.78	6.52	191.71	16.38	24.06	99.43	8.22
76-5	NYU	Pseudomonas A.	AtgE	D7.fcs	P6	4.47	11.41	644.28	17.93	48.23	28.37	<1.78	56.57	96.87	11.95	<1.89	59.21	<2.10
30-9	NYU	Pseudomonas A.	AtgH	D8.fcs	P6	5.42	21.34	11.22	8.74	21.88	21.41	<1.78	19.69	95.51	21.75	<1.89	28.57	10.85
30-10	NYU	Pseudomonas A.	AtgH	D9.fcs	P6	<1.57	9.25	128.79	10.69	24.92	7.47	<1.78	<2.04	193.76	20.86	<1.89	34.14	<2.10
30-21	NYU	Bacillus S.	AtgH	E10.fcs	P6	<1.57	<2.14	<1.96	3.45	36.04	<2.01	<1.78	5.88	41.42	14.93	<1.89	19.1	<2.10
30-33	NYU	Bacillus S.	AtgH	E11.fcs	P6	<1.57	<2.14	4.56	<1.92	5.36	<2.01	<1.78	<2.04	37.43	<6.80	<1.89	14.95	<2.10
30-36	NYU	Bacillus S.	AtgH	E12.fcs	P6	<1.57	<2.14	3.45	2.39	15.86	<2.01	<1.78	<2.04	21.71	<6.80	<1.89	12.72	<2.10
76-1	NYU	Bacillus S.	AtgE	E3.fcs	P6	2.17	10.85	8.47	4.2	17.45	13.31	19.29	39.89	52.95	29.68	16.6	23.39	<2.10
76-2	NYU	Bacillus S.	AtgE	E4.fcs	P6	<1.57	<2.14	77.4	8.18	43.65	14.01	<1.78	20.1	97.81	9.69	<1.89	23.9	<2.10
76-3	NYU	Bacillus S.	AtgE	E5.fcs	P6	<1.57	3.47	53.91	10.69	49.33	25.82	17.58	53.31	131.59	41.06	<1.89	43.15	<2.10
76-4	NYU	Bacillus S.	AtgE	E6.fcs	P6	8.22	22.57	307.58	4.61	<2.55	23.04	<1.78	34.68	124.14	33.76	30.71	51.51	10.13
76-5	NYU	Bacillus S.	AtgE	E7.fcs	P6	<1.57	7.1	17.95	4.14	16.12	26.49	15.12	64.4	177.63	77.02	<1.89	26.71	4.32
30-9	NYU	Bacillus S.	AtgH	E8.fcs	P6	<1.57	<2.14	11.98	<1.92	18.81	22.33	<1.78	<2.04	94.19	<6.80	<1.89	36.04	<2.10
30-10	NYU	Bacillus S.	AtgH	E9.fcs	P6	<1.57	<2.14	105.02	9.72	20.3	12.03	<1.78	5.13	111.47	<6.80	<1.89	24.87	<2.10
30-21	NYU	Clostridium P.	AtgH	F10.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
30-33	NYU	Clostridium P.	AtgH	F11.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	217.4	3.03	<6.80	<1.89	20.77	<2.10
30-36	NYU	Clostridium P.	AtgH	F12.fcs	P6	<1.57	<2.14	8.89	5.68	26.82	12.75	<1.78	229.56	7.85	<6.80	<1.89	14.24	<2.10
76-1	NYU	Clostridium P.	AtgE	F3.fcs	P6	<1.57	<2.14	5.83	9.49	12.34	14.04	<1.78	<2.04	15.94	<6.80	<1.89	14.76	<2.10
76-2	NYU	Clostridium P.	AtgE	F4.fcs	P6	<1.57	4.94	13.87	20.94	49.68	12.19	<1.78	135.12	53.06	24.1	<1.89	57.5	<2.10
76-3	NYU	Clostridium P.	AtgE	F5.fcs	P6	<1.57	6.65	27.85	18.74	59.76	15.88	<1.78	30.51	54.47	11.37	<1.89	16.12	3.46
76-4	NYU	Clostridium P.	AtgE	F6.fcs	P6	3.61	15.34	80.32	26.22	57.61	22.95	33.01	463.61	85.13	16.37	15.52	99.99	<2.10
76-5	NYU	Clostridium P.	AtgE	F7.fcs	P6	<1.57	8.59	18.67	21.66	37.94	19.65	<1.78	<2.04	77.15	15.29	26.6	180.89	9.21
30-9	NYU	Clostridium P.	AtgH	F8.fcs	P6	2.37	8.92	21.33	17.08	71.11	17.81	16.7	582	70.16	39.16	<1.89	198.19	14.64
30-10	NYU	Clostridium P.	AtgH	F9.fcs	P6	<1.57	8.94	16.78	34.48	42.53	23.25	3.71	142.45	91.19	<6.80	47.77	38.99	2.3
30-21	NYU	Bacteroides V.	AtgH	G10.fcs	P6	<1.57	<2.14	<1.96	<1.92	11.13	<2.01	<1.78	<2.04	38.35	<6.80	<1.89	118.31	<2.10
30-33	NYU	Bacteroides V.	AtgH	G11.fcs	P6	<1.57	<2.14	52.62	3.89	19.27	<2.01	<1.78	<2.04	57.51	<6.80	<1.89	136.36	<2.10
30-36	NYU	Bacteroides V.	AtgH	G12.fcs	P6	<1.57	<2.14	97.16	3.56	24.49	<2.01	<1.78	<2.04	55.43	<6.80	<1.89	111.13	<2.10
76-1	NYU	Bacteroides V.	AtgE	G3.fcs	P6	<1.57	<2.14	123.14	7.76	22.9	4.95	<1.78	<2.04	100.47	9.98	<1.89	88.8	<2.10
76-2	NYU	Bacteroides V.	AtgE	G4.fcs	P6	<1.57	<2.14	6.81	15.41	65	9.77	<1.78	<2.04	130.71	9.68	<1.89	132.32	<2.10
76-3	NYU	Bacteroides V.	AtgE	G5.fcs	P6	<1.57	<2.14	1295	36.03	126.47	18.46	<1.78	5.01	176.21	15.33	<1.89	192.79	<2.10
76-4	NYU	Bacteroides V.	AtgE	G6.fcs	P6	<1.57	<2.14	2866	34.08	109.88	11.42	<1.78	19.51	183.77	20.48	<1.89	207.36	<2.10
76-5	NYU	Bacteroides V.	AtgE	G7.fcs	P6	<1.57	4.2	650.9	20.51	72.43	<2.01	<1.78	<2.04	144.91	6.96	<1.89	214.4	<2.10
30-9	NYU	Bacteroides V.	AtgH	G8.fcs	P6	<1.57	<2.14	<1.96	2.93	12.19	2.92	<1.78	<2.04	76.62	9.52	<1.89	188.41	<2.10
30-10	NYU	Bacteroides V.	AtgH	G9.fcs	P6	<1.57	<2.14	46.36	23.53	75.54	15.79	<1.78	<2.04	167.72	14.6	<1.89	121.79	<2.10
30-21	NYU	Candida A.	AtgH	H10.fcs	P6	<1.57	18.38	20.11	3.24	11.82	19.17	9.43	61.8	7.52	13.92	<1.89	17.48	<2.10
30-33	NYU	Candida A.	AtgH	H11.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
30-36	NYU	Candida A.	AtgH	H12.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
76-1	NYU	Candida A.	AtgE	H3.fcs	P6	<1.57	<2.14	<1.96	5.95	<2.55	16.8	16.2	61.86	<2.01	9.87	<1.89	<1.44	<2.10
76-2	NYU	Candida A.	AtgE	H4.fcs	P6	<1.57	<2.14	2.56	<1.92	8.95	6.12	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
76-3	NYU	Candida A.	AtgE	H5.fcs	P6	<1.57	<2.14	<1.96	<1.92	3.66	<2.01	<1.78	9.74	<2.01	<6.80	<1.89	<1.44	<2.10
76-4	NYU	Candida A.	AtgE	H6.fcs	P6	<1.57	<2.14	<1.96	<1.92	2.84	<2.01	<1.78	<2.04	4.05	<6.80	<1.89	3.9	<2.10
76-5	NYU	Candida A.	AtgE	H7.fcs	P6	<1.57	<2.14	<1.96	<1.92	4.14	<2.01	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
30-9	NYU	Candida A.	AtgH	H8.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	<2.04	5.91	12.94	<1.89	<1.44	<2.10
