Location	Genotype	Challenge_code	Challenge	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC	MCP-1	IL-1b	IL-10	CCL3	CCL4	IL-17	IL-6	IL-13
NYU	NOD2	G8.fcs	Bacteroides	5	0	1.64	892.49	6.98	30.55	4.13	0	23.34	84.83	24.28	0	262.46	0
NYU	NOD2	G9.fcs	Bacteroides	5	0	0	1044	6.22	31.23	6.54	0	5.58	40.56	4.49	1.07	212.12	0
NYU	AtgE	G3.fcs	Bacteroides	6	0	0	61.81	2.41	12.86	1.75	0	0	49.42	0	0	39.42	0
NYU	AtgE	G4.fcs	Bacteroides	6	0	0	1.86	5.38	33.73	1.99	0	0	66.97	0	0	64.99	0
NYU	AtgE	G5.fcs	Bacteroides	6	0	0	943.96	14.51	64.34	4.52	0	0	92.5	0	0	107.94	0
NYU	AtgE	G6.fcs	Bacteroides	6	0	0	2271	13.6	56.33	2.7	0	0	99.86	0	0	113.02	0
NYU	AtgE	G7.fcs	Bacteroides	6	0	1.1	428.65	6.77	38.26	0	0	0	75.44	0	0	117.32	0
NYU	AtgH	G10.fcs	Bacteroides	6	0	0	0	0	5.68	0	0	0	17.94	0	0	60.8	0
NYU	AtgH	G11.fcs	Bacteroides	6	0	0	22.64	0.86	10.75	0	0	0	22.07	0	0	71.05	0
NYU	AtgH	G12.fcs	Bacteroides	6	0	0	47.58	0.97	11.76	0	0	0	23.34	0	0	56.78	0
NYU	AtgH	G8.fcs	Bacteroides	6	0	0	0	0.79	6.47	1.14	0	0	36.13	0	0	97.72	0
NYU	AtgH	G9.fcs	Bacteroides	6	0	0	19.92	8.83	39.77	4.37	0	0	88.83	0	0	62.76	0
SF	AtgH	G10.fcs	Bacteroides	9	2.33	4.43	8.42	3.05	29.44	3.54	2.19	33.6	64.45	35.98	3.14	61.35	1.29
SF	AtgH	G11.fcs	Bacteroides	9	1.45	5.33	21.42	7.44	249.58	8.13	0	33.71	140.71	55.83	2.09	88.7	2.99
SF	AtgH	G12.fcs	Bacteroides	9	2.15	4.71	2.21	1.56	31.74	3.74	1.37	32.45	23.34	34	4.43	23.79	4.73
SF	AtgW	G6.fcs	Bacteroides	9	1.15	2.87	19.41	10.53	28.62	2.04	0	44.08	139.96	50.72	1.22	90.44	5.04
SF	AtgW	G7.fcs	Bacteroides	9	1.74	2.27	0	1.89	7.82	1.02	0	29.36	55.26	40.17	0.54	105.41	0
SF	AtgW	G8.fcs	Bacteroides	9	1.06	3.49	6.04	6.02	480.9	3.32	0	38.01	105.4	40.88	0.93	57.33	2.36
SF	AtgW	G9.fcs	Bacteroides	9	0.92	3.77	1.71	2.61	25.61	2.58	3.09	33.26	72.02	42.15	1.69	85.84	1.42
SF	NOD2	G3.fcs	Bacteroides	9	2.64	3.48	1958	7.95	544.34	16.25	0	29.4	123.51	37.46	13.55	141.35	5.49
SF	NOD2	G4.fcs	Bacteroides	9	1.38	1.29	0	5.58	57.64	3.37	0	22.72	74.82	31.46	0.65	98.55	0
SF	NOD2	G5.fcs	Bacteroides	9	1.28	3.34	21.89	6.39	48.75	3.81	1.89	44.57	134.32	40.35	2.73	125.87	1.1
SF	AtgE	G10.fcs	Bacteroides	11	4.46	11.12	393.41	20.97	637.04	20.33	13.85	83.45	232.97	81.62	12.17	331.8	13.84
SF	AtgE	G11.fcs	Bacteroides	11	4.76	19.01	26.57	9.77	63.69	13.94	18.45	184.29	73.48	43.1	17.28	156.77	7.15
SF	AtgE	G12.fcs	Bacteroides	11	4.49	25.36	67.88	29.26	709.89	23.63	21.01	150.18	12583	ND	ND	165.04	0
SF	AtgE	G8.fcs	Bacteroides	11	1.55	9.22	97.28	10.35	71.15	9.47	14.53	61.54	102.26	0	7.84	309.91	3.84
SF	AtgE	G9.fcs	Bacteroides	11	2.96	12.24	25.14	11.82	164.84	12.21	14.96	131.6	93.8	0	13.03	101.65	2.18
SF	B6	G3.fcs	Bacteroides	11	0	2.01	5.25	2.58	16.55	7.32	2.92	42.96	62.32	0	0.83	91.86	1.22
SF	B6	G4.fcs	Bacteroides	11	1.21	5.74	797.03	9.31	49.07	8.83	12.16	76.78	61.32	0	7.96	129.93	3.17
SF	B6	G5.fcs	Bacteroides	11	1.83	9.58	1160	17.44	64.07	8.14	9.43	110.46	144.71	68.57	7.78	272.25	3.11
SF	B6	G6.fcs	Bacteroides	11	2.17	8.9	68.66	8.73	40.6	7.21	11.06	78.87	54.25	0	5.5	152.56	1.61
SF	B6	G7.fcs	Bacteroides	11	2.28	7.9	14.59	7.68	38.73	9.26	11.75	97.45	60.24	0	9.2	162.79	3.83
NYU	B6	H3.fcs	Candida	5	0	0	0	0.5	1.18	3.12	0	6.19	2.42	8.32	1.14	0	0
NYU	B6	H4.fcs	Candida	5	0	0.79	1.08	1.22	5.77	1.69	2.34	13.4	3.06	4.51	0	3.11	1.18
NYU	B6	H5.fcs	Candida	5	0	0.73	0	0.41	2.54	1.98	0	0	1.46	0	0	0	0
NYU	B6	H6.fcs	Candida	5	0	0	1.34	0.71	1.38	0	0	0	1.8	2.31	0	0	0
NYU	B6	H7.fcs	Candida	5	0	0.96	0	0.73	5.38	2.29	0	0	5.02	0.97	1	0	0
NYU	NOD2	H10.fcs	Candida	5	0	0.95	0	0.58	4.97	4.51	5.06	5.07	0	0.93	0	0	1.45
NYU	NOD2	H11.fcs	Candida	5	0	2.22	14.13	0.69	12.16	5.81	2.4	4.72	0	3.99	1.65	2.4	1.65
NYU	NOD2	H12.fcs	Candida	5	0	1.22	4.99	0.37	5.64	0	0	9.02	1.47	1	0.82	0	0
NYU	NOD2	H8.fcs	Candida	5	0	1.17	4.74	1.53	4.59	3.89	4.9	12.85	6.81	5.91	0.92	1.72	0
NYU	NOD2	H9.fcs	Candida	5	0	1.61	4.9	0.85	9.19	3.35	0	0	2.96	4.55	1.49	0	1.37
NYU	AtgE	H3.fcs	Candida	6	0	0	0	1.77	0	4.49	6.22	0	0	0	0	0	0
NYU	AtgE	H4.fcs	Candida	6	0	0	0.72	0	4.2	1.54	0	0	0	0	0	0	0
NYU	AtgE	H5.fcs	Candida	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU	AtgE	H6.fcs	Candida	6	0	0	0	0	0	0	0	0	2.31	0	0	0	0
NYU	AtgE	H7.fcs	Candida	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU	AtgH	H10.fcs	Candida	6	0	9.14	5.82	0.87	6.1	5.39	3.37	0	2.36	0	0	9.22	0
NYU	AtgH	H11.fcs	Candida	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU	AtgH	H12.fcs	Candida	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU	AtgH	H8.fcs	Candida	6	0	2.77	0	0	0	0	0	0	1.82	0	0	0	0
NYU	AtgH	H9.fcs	Candida	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	AtgH	H10.fcs	Candida	9	2.44	2.65	0	1.25	6.77	2.24	2.64	22.83	8.74	23.98	3.28	17.42	0
SF	AtgH	H11.fcs	Candida	9	1.48	3.82	0	0.65	25.72	2.87	0	26.1	11.01	33.38	1.98	12.55	4.02
SF	AtgH	H12.fcs	Candida	9	1.7	4.05	1.15	1.62	11.12	2.61	1.77	33.82	8.56	37.31	2.61	12.97	2.17
SF	AtgW	H6.fcs	Candida	9	1.15	2.44	1.8	1.31	6.51	1.76	0	19.78	12.56	34.48	0.95	0	0
SF	AtgW	H7.fcs	Candida	9	1.26	2.58	2.01	0	4.5	1.9	0	21.39	9.02	36.15	2.67	0	1.46
SF	AtgW	H8.fcs	Candida	9	1.38	2.76	1.11	0.73	22.97	3.62	0	20.71	13.94	31.48	2.07	0	4.04
SF	AtgW	H9.fcs	Candida	9	1.39	2.88	0	0.94	7.15	3.57	1.18	28.98	8.86	36.52	1.53	0	0
SF	NOD2	H3.fcs	Candida	9	1.48	2.23	0	0.92	252.02	7.1	0	18.95	23.42	32.74	1.22	22.03	0
SF	NOD2	H4.fcs	Candida	9	0.86	1.6	1.37	0.57	6.59	1.86	0	25.08	10.91	34.84	0.43	0	0
SF	NOD2	H5.fcs	Candida	9	1.15	3.87	0	1.3	5.69	1.66	0	19.81	15.66	33.48	2.57	17.13	2.4
SF	AtgE	H10.fcs	Candida	11	5.22	14.61	21.87	7.07	60.1	14.4	19.32	136.37	24.31	0	10.39	33.12	5.91
SF	AtgE	H11.fcs	Candida	11	8.36	24.79	82.13	12.88	60.04	20.18	32.81	301.65	35.33	87.41	30.86	50.87	13.19
SF	AtgE	H12.fcs	Candida	11	5.07	18.1	36.31	9.13	49.04	13.87	22.7	188.4	29.21	0	19.8	33.55	9.04
SF	AtgE	H8.fcs	Candida	11	3.43	12.55	19.4	3.15	32.08	12.62	18.15	88.85	21.96	0	11.97	28.39	6.17
SF	AtgE	H9.fcs	Candida	11	1.74	14.7	22.43	5.82	36.1	11.51	20.22	143.41	17.78	0	7.68	36.13	4.87
SF	B6	H3.fcs	Candida	11	0.62	5.65	8.28	0	10.26	7.09	6.71	40.65	8.03	0	2.74	3.52	1.19
SF	B6	H4.fcs	Candida	11	2.19	7.5	11	2.3	17.87	9.11	11.61	34.38	13.49	0	3.97	8.16	3.89
SF	B6	H5.fcs	Candida	11	2.51	6.52	10.13	4.9	16.44	7.95	8.67	64.01	17.04	0	8.63	17.62	3.33
SF	B6	H6.fcs	Candida	11	3.1	11.27	16.38	4.75	23.85	9.49	14.14	58.94	13.23	0	8.53	5.35	4.46
SF	B6	H7.fcs	Candida	11	2.74	11.9	15.25	3.14	27.77	11.56	15.59	101.35	14.28	0	11.54	17.73	6.24
SF	AtgH	B10.fcs	CD3_CD8.	9	0.9	26.82	587.35	23.38	10.15	2.91	2.44	47.29	113.79	80.61	16.74	18.36	4.43
SF	AtgE	B10.fcs	CD3_CD8.	11	1.6	22.45	3152	38.17	42.59	11.01	9.5	53.53	162.2	153.21	59.68	29.85	3.49
NYU	NOD2	B11.fcs	CD3_CD8.	5	0	3.49	242.09	10.28	9.95	5.43	0	0	46.04	30.61	17.48	3.18	2.12
NYU	AtgH	B11.fcs	CD3_CD8.	6	0	9.76	26.99	3.91	5.1	5.62	0	0	65.43	67.78	2.51	3.21	0
SF	AtgH	B11.fcs	CD3_CD8.	9	0.95	24.9	722.31	21.73	15.82	3.33	0	44.23	129.1	88.71	40.74	16.57	2.04
SF	AtgE	B11.fcs	CD3_CD8.	11	1.45	35.75	2393	52.93	11.78	3.4	8.24	52.21	191.36	152.86	68.17	41.83	5.7
NYU	NOD2	B12.fcs	CD3_CD8.	5	0	5.65	598.99	16.14	13.03	4.69	5.44	10.94	110.25	47.2	59.35	11.1	3.63
NYU	AtgH	B12.fcs	CD3_CD8.	6	0	11.17	167.73	13.82	0	3.65	1.69	0	65.61	0	13.26	15.41	0
SF	AtgH	B12.fcs	CD3_CD8.	9	0.86	2.14	1.04	1.1	6.8	2.37	0	24.39	8.76	28.67	0.59	14.11	0
SF	AtgE	B12.fcs	CD3_CD8.	11	2.54	20.72	5207	77.92	37.61	9.17	11.59	97.24	243.59	185.07	108.28	54.63	5.71
NYU	B6	B3.fcs	CD3_CD8.	5	0	0	1052	10.92	0	0.95	0	0	73.59	25.91	5.97	0	0
NYU	AtgE	B3.fcs	CD3_CD8.	6	0.76	10.39	391.27	15.26	5.57	5.82	3.59	6.48	79.04	0	47.01	9.94	0
SF	NOD2	B3.fcs	CD3_CD8.	9	0.65	18.74	696.65	16.01	195.93	9.96	0	23.82	68.27	60.7	39.44	25.88	0
SF	B6	B3.fcs	CD3_CD8.	11	0	22.54	822.94	29.8	0	0	2.14	23.56	126.72	95.15	56.15	49.44	0
NYU	B6	B4.fcs	CD3_CD8.	5	0	1.37	167.56	10.38	6.79	2.86	0	8.99	35.5	24.63	13.09	5.64	0
NYU	AtgE	B4.fcs	CD3_CD8.	6	0.43	15.95	158.57	14.63	7.81	5.65	0	0	29.57	11.51	75.72	17.56	0.9
SF	NOD2	B4.fcs	CD3_CD8.	9	0.69	5.81	5520	35.61	19.45	2.49	0	0	207.84	80.29	77.13	23.2	0
SF	B6	B4.fcs	CD3_CD8.	11	0.75	19.63	3983	42.34	8.86	4.89	0	40.61	222.45	130.24	70.73	51.48	0
NYU	B6	B5.fcs	CD3_CD8.	5	0	5.61	298.09	14.29	7.11	5.05	0	0	63.22	32.46	7.91	9.4	0.79
NYU	AtgE	B5.fcs	CD3_CD8.	6	0	16.92	182.88	16.86	6.97	6.53	0	0	75.26	72.56	27.13	20.02	0
SF	NOD2	B5.fcs	CD3_CD8.	9	1.21	24.33	357.69	20.5	1.15	0.71	0	18.64	103.59	67.88	25.77	23.64	0
SF	B6	B5.fcs	CD3_CD8.	11	0	17.98	2133	42.16	12.23	4.62	2.5	21.17	107.29	116.89	123.34	58.35	1.73
NYU	B6	B6.fcs	CD3_CD8.	5	0	10.27	977.89	19.28	8.65	2.62	0	0	106.64	65.18	48.25	15.07	1.71
NYU	AtgE	B6.fcs	CD3_CD8.	6	0.66	10.56	249.93	14.57	9.38	4.26	0	0	65.18	122.61	6.03	9.67	0
SF	AtgW	B6.fcs	CD3_CD8.	9	0.46	20.68	1629	30.78	2.1	1.35	0	30.39	204.84	125.06	79.9	17.16	1.54
SF	B6	B6.fcs	CD3_CD8.	11	0	25.29	2971	32.34	10.12	1.61	0	6.32	128.99	115.4	48.09	38.35	0
NYU	B6	B7.fcs	CD3_CD8.	5	0	0.93	227.43	9.5	10.23	3.69	0	4.6	57.7	22.32	18.71	3.51	0
NYU	AtgE	B7.fcs	CD3_CD8.	6	0.78	10.69	321.29	14.46	8.88	7.02	9.79	0	55.14	67.92	24.81	18.29	0
SF	AtgW	B7.fcs	CD3_CD8.	9	0.9	28.23	1077	15.03	2.96	1.26	0	28.07	87.14	68.44	33.38	28.81	3.21
SF	B6	B7.fcs	CD3_CD8.	11	0	86.3	1137	28.41	17.69	9.07	7.86	58.86	93.07	98.02	58.03	48.83	4.49
NYU	NOD2	B8.fcs	CD3_CD8.	5	0	3.27	470.92	9.55	5.23	3.98	0	0	96.59	34.7	41.56	7.37	2.13
NYU	AtgH	B8.fcs	CD3_CD8.	6	0.82	14.86	218.49	13.58	16.31	5.26	6.97	52.77	74.64	55.98	19.5	6.55	0
SF	AtgW	B8.fcs	CD3_CD8.	9	0.37	11.13	163.59	17.16	9.09	2.16	0	26.89	58.5	54.6	13.31	17.44	1.28
SF	AtgE	B8.fcs	CD3_CD8.	11	1.45	17.95	1899	48.99	12.82	6.87	4.23	52.56	152	147.26	45.47	59.66	1.44
NYU	NOD2	B9.fcs	CD3_CD8.	5	0	3.94	461.02	13.34	8.9	3.59	0	0	78.2	11.7	36.81	108.5	2.54
NYU	AtgH	B9.fcs	CD3_CD8.	6	0	9.59	73.15	3.83	3.68	5.5	0	0	43.61	0	22.85	1.19	0
SF	AtgW	B9.fcs	CD3_CD8.	9	0.59	3.86	479.11	19.99	4.45	2.85	0	32.6	133.03	85.27	26.34	21.55	0
SF	AtgE	B9.fcs	CD3_CD8.	11	1.99	36.73	1719	32.53	29.2	9.68	7.83	71.63	130.25	132.17	29.76	46.52	5.17
NYU	NOD2	B10.fcs	CD3_CD8.	5	0	10.35	1241	16.99	11.36	4.63	1.55	5.78	180.26	60.76	91.64	14.33	2.46
NYU	AtgH	B10.fcs	CD3_CD8.	6	0	5.06	51.47	5.9	5.21	1.89	0	0	56.87	0	0	2.02	0
NYU	B6	F3.fcs	Clostridium	5	0	0	0	6.2	5.59	2.88	0	4.95	11.89	3.42	0.84	3.69	0
NYU	B6	F4.fcs	Clostridium	5	0	0	1.14	7.19	38.6	1.02	0	0	19.85	5.8	0	2.3	0
NYU	B6	F5.fcs	Clostridium	5	0	1.15	85.71	4.33	27.75	2	0	0	14.48	6.62	0.86	4.42	0
NYU	B6	F6.fcs	Clostridium	5	0	1.3	237.33	5.44	11.89	3.81	0	0	23.91	6.73	0	6.51	2.1
NYU	B6	F7.fcs	Clostridium	5	0	0	1.4	8.2	35.58	3	5.49	5.23	12	0	1.53	4.05	1.19
NYU	NOD2	F10.fcs	Clostridium	5	0	2.87	111.28	2.29	11.5	4.46	6.33	16.2	5.25	12.21	1.26	8.49	3.9
NYU	NOD2	F11.fcs	Clostridium	5	0	0	2.67	2.2	19.3	2.97	0	4.34	4.55	11.64	0	0	0
NYU	NOD2	F12.fcs	Clostridium	5	0	2.28	11.53	5.09	33.64	4.67	5.1	5.18	17.05	8.51	2.06	8.57	1.71
NYU	NOD2	F8.fcs	Clostridium	5	0	2.13	62.5	7.96	21.48	5.04	2.84	16.63	15.58	18.97	4.96	3.46	1.48
NYU	NOD2	F9.fcs	Clostridium	5	0	1.63	49.26	3.99	20.42	5.26	0	0	13.29	19.72	2.35	7.46	1.65
NYU	AtgE	F3.fcs	Clostridium	6	0	0	1.53	3.14	6.25	3.44	0	0	5.78	0	0	6.53	0
NYU	AtgE	F4.fcs	Clostridium	6	0	1.46	3.61	7.73	26.64	3.36	0	80.53	23.85	0	0	43.87	0
NYU	AtgE	F5.fcs	Clostridium	6	0	2.85	10.63	6.77	32.12	4.38	0	0	24.32	0	0	7.18	0
NYU	AtgE	F6.fcs	Clostridium	6	0.96	7.51	39.25	9.7	30.79	6.94	13.03	343.93	39.78	0	5.18	47.63	0
NYU	AtgE	F7.fcs	Clostridium	6	0	3.76	6.25	8.01	20.81	6.3	0	0	37.57	45.08	2.73	1.96	2.99
NYU	AtgH	F10.fcs	Clostridium	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU	AtgH	F11.fcs	Clostridium	6	0	0	0	0	0	0	0	134.11	0.82	0	0	9.47	0
NYU	AtgH	F12.fcs	Clostridium	6	0	0	3.27	1.68	12.9	1.59	0	135.96	3.71	0	0	6.29	0
NYU	AtgH	F8.fcs	Clostridium	6	0.42	4.4	6.06	6.07	36.23	4.86	6.43	362.12	32.64	28.91	0	76.59	3.32
NYU	AtgH	F9.fcs	Clostridium	6	0	3.97	3.31	13.79	24.6	6.29	6.94	47.52	44.09	0	20.68	32.77	0
SF	AtgH	F10.fcs	Clostridium	9	1.62	1.8	1.66	4.85	14.72	3.18	0	25.64	16.4	36.17	1.14	8.25	1.16
SF	AtgH	F11.fcs	Clostridium	9	1.81	3.06	1.71	10.58	132.19	5.42	0	30.93	48.73	43.44	1.78	15.77	4.15
SF	AtgH	F12.fcs	Clostridium	9	1.71	5.09	3.46	1.94	17.53	4.28	3.48	26.33	12.08	34.14	2.32	15.37	2.84
SF	AtgW	F6.fcs	Clostridium	9	1.26	1.69	1.62	8.24	11.59	3.63	5.76	41.19	39.93	37.81	2.95	40.06	0.8
SF	AtgW	F7.fcs	Clostridium	9	1.54	2.67	2.14	3.31	7.72	5.09	2.14	31.53	15.97	38.03	2.73	11.88	3.21
SF	AtgW	F8.fcs	Clostridium	9	1.73	3.53	1.09	6.73	259.6	3.49	2.03	29.67	53.4	30.81	1.68	18.57	5.94
SF	AtgW	F9.fcs	Clostridium	9	0.93	1.74	1.17	2.76	9.55	2.88	0	25.53	16.2	34.42	0.89	13.29	3.08
SF	NOD2	F3.fcs	Clostridium	9	1.24	2.11	42.7	4.92	452.26	10.2	3.57	29.92	28.57	37.89	3.07	29.31	0
SF	NOD2	F4.fcs	Clostridium	9	0.91	2.52	0	5.66	35.79	2.22	0	19.38	18.67	28.22	0.74	0	0
SF	NOD2	F5.fcs	Clostridium	9	1.35	1.04	0	3.78	7.84	2.16	0	22.29	24.67	29.74	1.43	0	1.67
SF	AtgE	F10.fcs	Clostridium	11	4.78	11.66	36.17	21.61	298.53	16.47	11.66	34.18	109.22	0	9.38	33.17	4.12
SF	AtgE	F11.fcs	Clostridium	11	3.14	10.39	13.96	11.27	39.82	11.76	15.24	73.04	28.64	0	7.95	22.92	5.07
SF	AtgE	F12.fcs	Clostridium	11	4.59	15.79	34.93	18.74	181.18	16.41	19.2	102.46	77.14	31.48	17.9	36.79	6.32
SF	AtgE	F8.fcs	Clostridium	11	1.29	8.23	25.63	10.77	45.51	7.64	7.29	25.17	29.2	0	5.22	13.64	2.77
SF	AtgE	F9.fcs	Clostridium	11	4.19	10.75	51.71	15.5	113.72	13.34	11.98	65.86	73.23	0	9.7	31.62	4.89
SF	B6	F3.fcs	Clostridium	11	1.09	0	2.41	3.32	9.73	5.7	5.97	22.53	11.5	0	3.64	8.69	0.79
SF	B6	F4.fcs	Clostridium	11	0	0	19.92	7.03	18.23	0	0	7.25	23.86	0	2.08	0	0
SF	B6	F5.fcs	Clostridium	11	0.82	6.2	15.15	14.73	28.87	8.54	4.41	24.06	32.49	0	5.34	16.71	0.73
SF	B6	F6.fcs	Clostridium	11	0	5.23	7.36	6.5	23.74	6.42	6.69	1.51	15.85	0	5.32	27.89	2.87
SF	B6	F7.fcs	Clostridium	11	2.17	7.62	16.25	6	27.69	7.81	8.67	48.89	19.75	0	4.87	10.81	3.34
NYU	B6	A3.fcs	PBS	5	0	0	0	0	0	0	0	0	0	3	0	0	0
NYU	B6	A4.fcs	PBS	5	0	0.87	1.12	0.41	4.4	2.72	0	0	0	5.32	0	0	0
NYU	B6	A5.fcs	PBS	5	0	0	0	0	0	0	0	0	0	0	0	0	0
