mouse_id	Flow.date	RFID	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	Sample.	Total_T_cells	Total_B_cells	CD4_T_cells	CD8_T_cells	Naive_CD4_T_cells	Central_Memory_CD4_T_cells	Effector_Memory_CD4_T_cells	Effector_CD4_T_cells	Naive_CD8_T_cells	Central_Memory_CD8_T_cells	Effector_Memory_CD8_T_cells	Effector_CD8_T_cells	Total_Dump_Myeloid_cells	Treg_cells	Total_Immune_cells
504949	4-Aug	E8 AtgW 504949 PBMC lymph.fcs	B6	wild	7.843137255	8	M	N	N	blood	H8 AtgW 504949 MLN lymph.fcs	63	26.7	37.2	21.8	13.5	1.22	15.2	70.1	8.59	0.47	7.11	83.8	2.83	4.01	87.7
504950	10-Aug	E3 AtgE 504950 PBMC lymph.fcs	AtgE	wild	20.93023256	4	F	Y	Y	blood	H3 AtgE 504950 MLN lymph.fcs	37.8	33.2	18.9	6.68	21.2	17.7	34.5	26.7	17.6	19.9	31	31.5	17.2	4.12	59.8
504951	10-Aug	E12 AtgH 504951 PBMC lymph.fcs	AtgH	wild	8.695652174	7	M	N	Y	blood	H12 AtgH 504951 MLN lymph.fcs	36	25.7	17.9	7.4	29.2	26.5	22.3	22	32.6	40.8	12	14.6	26	4.76	75.3
504954	4-Aug	C3 AtgW 504954 PBMC lymph.fcs	B6	wild	54.83870968	3	F	Y	N	blood	E3 AtgW 504954 MLN lymph.fcs	64	23.4	34.4	26.6	24.1	2.6	23.6	49.7	6.5	0.95	12.8	79.7	5.73	4.17	83.5
505048	4-Aug	E7 AtgW 505048 PBMC lymph.fcs	B6	wild	-4.867256637	8	M	N	N	blood	H7 AtgW 505048 MLN lymph.fcs	66.3	23	38.8	25	32.4	3.17	18.7	45.8	12.1	0.97	9.42	77.5	3.66	4.29	76.5
505049	4-Aug	E6 AtgW 505049 PBMC lymph.fcs	B6	wild	2.941176471	8	M	N	N	blood	H6 AtgW 505049 MLN lymph.fcs	56.8	32.6	32.9	21.2	59.9	7.69	18.3	14.2	70.9	11.5	4.11	13.5	3.93	4.78	90.9
505050	4-Aug	E3 NOD2 505050 PBMC lymph.fcs	NOD2	wild	0	7	M	N	N	blood	H3 NOD2 505050 MLN lymph.fcs	65.6	23.8	39	22.7	23.7	1.91	15.5	58.9	16.6	0.87	7.04	75.5	2.99	5.35	86.7
505054	4-Aug	D9 AtgE505054 PBMC lymph.fcs	AtgE	wild	51.78571429	3	F	N	N	blood	G9 AtgE505054 MLN lymph.fcs	57.8	31.6	29.5	25.4	21.4	2.94	24	51.6	10.3	1.11	14	74.5	4.73	3.59	81.5
505055	10-Aug	E11 AtgH 505055 PBMC lymph.fcs	AtgH	wild	10.59907834	7	M	N	N	blood	H11 AtgH 505055 MLN lymph.fcs	31.4	37.6	16.4	4.56	21.9	16.4	27.5	34.2	26.3	20	24.2	29.5	17.3	4.23	66.9
505057	4-Aug	D6 NOD2 505057 PBMC lymph.fcs	NOD2	wild	-0.462962963	7	M	N	N	blood	F6 NOD2 505057 MLN lymph.fcs	67.2	20.3	35.5	29.8	30.8	3.66	22.7	42.8	21.2	0.79	6.78	71.2	4.12	5.3	79.2
505148	10-Aug	D1 B6 505148 PBMC lymph.fcs	B6	wild	19.04761905	3	F	N	N	blood	G1 B6 505148 MLN lymph.fcs	51	29	22.5	11.7	32.5	6.13	28.1	33.3	17.3	1.92	14.2	66.6	6.02	3.06	86.8
505149	4-Aug	C8 AtgH 505149 PBMC lymph.fcs	AtgH	wild	-3.29218107	7	M	N	N	blood	E8 AtgH 505149 MLN lymph.fcs	66.4	19.1	37.8	22.2	37.9	4.55	16.3	41.2	24.6	3.85	10	61.6	4.33	4.82	81
505150	4-Aug	D5 B6 505150 PBMC lymph.fcs	B6	wild	33.9869281	3	F	N	N	blood	G5 B6 505150 MLN lymph.fcs	57.4	31.3	32.9	21.5	44.5	3.78	18.7	33.1	32.1	5.06	10.4	52.4	4.68	3.81	89.4
505152	10-Aug	E7 AtgH 505152 PBMC lymph.fcs	AtgH	wild	30.81395349	4	F	N	Y	blood	H7 AtgH 505152 MLN lymph.fcs	34.6	36.1	18.3	3.54	24.6	19.9	27.9	27.6	24.1	26.4	25.9	23.6	16.6	3.11	66.3
505153	4-Aug	E2 NOD2 505153 PBMC lymph.fcs	NOD2	wild	37.42690058	4	F	Y	N	blood	H2 NOD2 505153 MLN lymph.fcs	56	32.8	34.6	18.9	11.1	1.79	24.8	62.4	5.86	0.46	8.74	84.9	4.4	4.25	87.5
505154	10-Aug	E10 NOD2 505154 PBMC lymph.fcs	NOD2	wild	-6.844106464	8	M	N	N	blood	H10 NOD2 505154 MLN lymph.fcs	55.6	26.6	27.2	15.3	33.6	5.61	19.7	41.1	20.9	1.8	9.66	67.7	5.3	4.94	90.1
505155	10-Aug	D6 NOD2 505155 PBMC lymph.fcs	NOD2	wild	-2.390438247	7	M	N	N	blood	G6 NOD2 505155 MLN lymph.fcs	60.4	23.6	28.4	13.3	43.1	5.71	20	31.2	30.5	1.61	6.86	61.1	3.09	4.23	93
505248	4-Aug	E1 NOD2 505248 PBMC lymph.fcs	NOD2	wild	7.142857143	7	M	N	N	blood	H1 NOD2 505248 MLN lymph.fcs	67.3	22.3	37.3	27	16.8	1.93	21.7	59.6	6.37	0.43	7.09	86.1	4.38	4.48	87.7
505252	10-Aug	E2 AtgE 505252 PBMC lymph.fcs	AtgE	wild	16.22807018	8	M	N	N	blood	H2 AtgE 505252 MLN lymph.fcs	40.1	34	22.1	6.17	10.9	8.04	41.2	39.9	3.94	2.71	42.2	51.1	15.3	6.22	59.4
505253	4-Aug	D11 AtgE 505253 PBMC lymph.fcs	AtgE	wild	1.167315175	8	M	N	N	blood	G11 AtgE 505253 MLN lymph.fcs	60.7	30.4	35.6	23.1	45.7	4.86	19.8	29.6	22.7	1.61	13.1	62.6	3.5	5.06	90
505349	4-Aug	D1 AtgE 505349 PBMC lymph.fcs	AtgE	wild	29.94350282	4	F	N	N	blood	G1 AtgE 505349 MLN lymph.fcs	58.2	29.1	31.1	23.8	17.1	2.3	28.7	51.9	10.6	1.83	16.4	71.2	4.49	4.39	87.1
505350	4-Aug	NA	AtgE	wild	NA	NA	NA	NA	NA	NA	F1 AtgE 505350 MLN lymph.fcs	64.5	24.3	32.8	28.6	15.4	2.39	27.6	54.7	6.81	0.74	15.7	76.7	4.06	4.58	88.1
505352	10-Aug	E8 NOD2 505352 PBMC lymph.fcs	NOD2	wild	-14.34262948	8	M	N	N	blood	H8 NOD2 505352 MLN lymph.fcs	59.3	23.1	28.2	16.5	27.4	5.66	19.9	47	19.7	1.71	7.37	71.2	4.53	4.58	93.8
505355	10-Aug	D8 AtgH 505355 PBMC lymph.fcs	AtgH	wild	-1.287553648	7	M	N	N	blood	G8 AtgH 505355 MLN lymph.fcs	36.2	31.4	19.9	6.69	19.7	20.1	37.5	22.7	12.5	11.3	36.8	39.5	20.6	5.95	61.9
505356	4-Aug	D12 AtgE 505356 PBMC lymph.fcs	AtgE	wild	20.53571429	8	M	N	N	blood	G12 AtgE 505356 MLN lymph.fcs	70.2	18.4	39.3	28.3	17.7	1.95	22.1	58.3	7.07	0.4	11.9	80.7	4.22	5.58	83.2
505357	4-Aug	D6 AtgE 505357 PBMC lymph.fcs	AtgE	wild	9.589041096	8	M	N	N	blood	G6 AtgE 505357 MLN lymph.fcs	62	26.6	33.9	25.3	26.6	2.6	19.5	51.3	17.2	1.37	8.36	73.1	3.22	4.45	89.8
505449	4-Aug	D11 AtgE 505449 PBMC lymph.fcs	AtgE	wild	45.16129032	3	F	N	Y	blood	G11 AtgE 505449 MLN lymph.fcs	58.4	31.3	29.8	25.4	36.4	6.01	21.9	35.6	23.5	3.07	14	59.4	4.83	3.77	84.3
505452	4-Aug	E9 AtgW 505452 PBMC lymph.fcs	B6	wild	28.94736842	4	F	Y	N	blood	H9 AtgW 505452 MLN lymph.fcs	55.1	33.2	31.1	20.6	18.7	2.52	21.8	57	16	1.54	8.77	73.7	5.13	3.73	84.4
505453	10-Aug	D8 AtgW 505453 PBMC lymph.fcs	B6	wild	14.94252874	3	F	N	N	blood	G8 AtgW 505453 MLN lymph.fcs	35.8	33.8	19.2	2.92	13.7	10.9	36.5	38.9	9.09	4.08	28.7	58.2	18.9	5.62	51.7
505454	10-Aug	E1 AtgE 505454 PBMC lymph.fcs	AtgE	wild	17.11711712	8	M	N	N	blood	H1 AtgE 505454 MLN lymph.fcs	37.1	33.9	18.7	7.93	10.4	10.5	45.8	33.2	5.06	3.56	42.2	49.1	17.1	5.15	64.7
505548	10-Aug	D10 AtgH 505548 PBMC lymph.fcs	AtgH	wild	25.60386473	7	M	N	Y	blood	G10 AtgH 505548 MLN lymph.fcs	42.8	29.8	26	6	10	12	45.4	32.5	6.88	4.2	42.1	46.8	15.8	7.54	38.1
505550	10-Aug	E1 AtgE 505550 PBMC lymph.fcs	AtgE	wild	30.89005236	4	F	Y	N	blood	H1 AtgE 505550 MLN lymph.fcs	38.2	26.6	19.7	7.22	14.3	14.9	45.9	24.9	6.17	3.51	40.3	50.1	24.4	4.98	55.8
505551	4-Aug	D1 B6 505551 PBMC lymph.fcs	B6	wild	2.409638554	7	M	N	N	blood	G1 B6 505551 MLN lymph.fcs	48.6	39.7	28.3	17.4	15.4	1.54	19.7	63.3	9.57	1.22	10.6	78.6	3.86	3.52	84.9
505553	10-Aug	E10 AtgH 505553 PBMC lymph.fcs	AtgH	wild	82.08955224	4	F	Y	N	blood	H10 AtgH 505553 MLN lymph.fcs	28	38.9	15.8	4.07	19.2	18.2	41	21.6	21.7	13.7	31.3	33.3	21.2	3.7	69.9
505554	10-Aug	E9 AtgH 505554 PBMC lymph.fcs	AtgH	wild	46.15384615	4	F	Y	N	blood	H9 AtgH 505554 MLN lymph.fcs	31.9	34.8	17	3.33	15.2	12.3	34.9	37.7	10.2	6.9	29.9	53.1	22.2	3.45	64
505556	4-Aug	D4 AtgE 505556 PBMC lymph.fcs	AtgE	wild	37.09677419	4	F	N	N	blood	F3 AtgE 505556 MLN lymph.fcs	62.9	23.9	34.6	26.3	50.8	4.98	18.6	25.6	27.4	2.95	10.8	58.8	3.91	4.33	87.4
505556	4-Aug	D3 AtgE 505556 PBMC lymph.fcs	AtgE	wild	37.09677419	4	F	Y	N	blood	F3 AtgE 505556 MLN lymph.fcs	62.9	23.9	34.6	26.3	50.8	4.98	18.6	25.6	27.4	2.95	10.8	58.8	3.91	4.33	87.4
505648	10-Aug	D11 AtgH 505648 PBMC lymph.fcs	AtgH	wild	13.04347826	8	M	N	Y	blood	G11 AtgH 505648 MLN lymph.fcs	32.3	29.6	16.5	6.63	22.9	17.7	36.7	22.6	31	26.2	25	17.8	26.9	5.14	71.2
505650	10-Aug	D5 AtgW 505650 PBMC lymph.fcs	B6	wild	10.8490566	8	M	N	N	blood	G5 AtgW 505650 MLN lymph.fcs	36.9	36.7	20.7	5.98	14.3	14.3	36.7	34.8	29.6	24.2	25.3	21	15.3	5.99	72.5
505651	4-Aug	D8 AtgE505651 PBMC lymph.fcs	AtgE	wild	8.43373494	8	M	N	N	blood	G8 AtgE505651 MLN lymph.fcs	67.8	21.9	36.3	28.8	14.9	1.79	21.1	62.3	8.52	1.03	12	78.5	3.25	4.69	84.6
505652	10-Aug	D12 AtgW 505652 PBMC lymph.fcs	B6	wild	3.982300885	7	M	N	N	blood	G12 AtgW 505652 MLN lymph.fcs	27.3	40.4	15.1	4.58	16.5	18.2	35.9	29.4	13.3	13.3	39.3	34	18	4.16	63.1
505654	10-Aug	D4 AtgW 505654 PBMC lymph.fcs	B6	wild	0.71942446	8	M	N	N	blood	G4 AtgW 505654 MLN lymph.fcs	38.7	33.7	19.5	7.3	12.8	10.6	38.4	38.2	15.7	13.8	38	32.5	17.1	6.39	74
505655	4-Aug	NA	AtgE	wild	NA	NA	NA	NA	NA	NA	G4 AtgE 505655 MLN lymph.fcs	62.7	27	36	24.6	26.4	2.34	18.4	52.8	7.71	0.65	10.4	81.2	2.89	4.42	92.3
505656	10-Aug	D12 AtgH 505656 PBMC lymph.fcs	AtgH	wild	11.84210526	8	M	N	N	blood	G12 AtgH 505656 MLN lymph.fcs	46.7	27.1	25.8	5.6	14.6	8.38	29.5	47.5	7.99	6.14	48.2	37.6	14.1	7	71.2
505748	4-Aug	D7 AtgE 505748 PBMC lymph.fcs	AtgE	wild	31.57894737	3	F	N	N	blood	G7 AtgE 505748 MLN lymph.fcs	60.3	28.6	33.4	23.3	24.3	2.19	19.4	54.1	15.7	1.59	12.2	70.5	4.05	4.24	83.3
505749	4-Aug	C5 AtgW 505749 PBMC lymph.fcs	B6	wild	22.90502793	4	F	Y	N	blood	E5 AtgW 505749 MLN lymph.fcs	61.2	24.4	33.7	24.7	32.3	3.62	23.3	40.8	13.5	1.74	12.5	72.4	5.36	4.11	84.4
505750	4-Aug	E8 NOD2 505750 PBMC lymph.fcs	NOD2	wild	10.16949153	3	F	N	N	blood	H8 NOD2 505750 MLN lymph.fcs	66.8	25.1	41.7	22.3	15.9	2.03	22.5	59.6	5.74	0.25	7.25	86.8	3.05	4.99	86.8
505751	4-Aug	C12 AtgH 505751 PBMC lymph.fcs	AtgH	wild	21.13402062	4	F	Y	N	blood	E12 AtgH 505751 MLN lymph.fcs	61.5	21.5	31.4	26.4	56.3	12.1	19.4	12.1	67.1	17.7	5.65	9.53	6.01	3.53	81.5
505752	10-Aug	D5 NOD2 505752 PBMC lymph.fcs	NOD2	wild	61.0738255	4	F	Y	N	blood	G5 NOD2 505752 MLN lymph.fcs	48.7	34.3	25.5	11.3	22.8	6.48	28	42.7	5.04	0.49	14.3	80.2	3.3	3.33	85.4
505756	4-Aug	C11 AtgH 505756 PBMC lymph.fcs	AtgH	wild	53.84615385	4	F	Y	N	blood	E11 AtgH 505756 MLN lymph.fcs	51.6	32.5	28.7	20.4	57.7	12.7	21.2	8.35	71.3	16.2	4.75	7.79	3.96	3.97	81.4
514849	10-Aug	D3 AtgW 514849 PBMC lymph.fcs	B6	wild	5.058365759	7	M	N	N	blood	G3 AtgW 514849 MLN lymph.fcs	34.7	28.6	18.4	6.26	15.2	15.5	42.1	27.1	7.71	10.8	40.2	41.2	26.5	6.27	71.8
514851	4-Aug	D5 NOD2 514851 PBMC lymph.fcs	NOD2	wild	23.4939759	4	F	N	N	blood	F5 NOD2 514851 MLN lymph.fcs	64.8	24.3	37.1	25.5	47.5	4.74	17.7	30.1	22.9	1.49	8.3	67.3	3.97	4.34	88.9
514855	4-Aug	E2 NOD2 514855 PBMC lymph.fcs	NOD2	wild	37.64044944	7	M	N	N	blood	H2 NOD2 514855 MLN lymph.fcs	63.2	25.1	37.8	23	27.1	1.91	15.6	55.4	11.5	0.92	6.88	80.7	4.32	4.67	90.6
514856	10-Aug	E2 AtgE 514856 PBMC lymph.fcs	AtgE	wild	25.64102564	4	F	Y	N	blood	H2 AtgE 514856 MLN lymph.fcs	39.2	31.9	20.9	4.5	15.3	13.2	34.8	36.7	11.5	9.8	36.7	42	17.2	3.78	64.2
514857	4-Aug	C1 AtgW 514857 PBMC lymph.fcs	B6	wild	11.57024793	7	M	N	N	blood	E1 AtgW 514857 MLN lymph.fcs	61.7	26.1	35	24.1	31.7	2.85	19.6	45.9	10.8	1.5	13.3	74.4	4.52	4.51	83.2
514949	10-Aug	E5 NOD2 514949 PBMC lymph.fcs	NOD2	wild	28.74251497	7	M	N	N	blood	H5 NOD2 514949 MLN lymph.fcs	60.8	21.9	31.2	16	43	7	19.6	30.3	23.6	2.25	9.38	64.7	4.03	4.75	90.9
514951	10-Aug	D9 AtgH 514951 PBMC lymph.fcs	AtgH	wild	5.263157895	7	M	N	N	blood	G9 AtgH 514951 MLN lymph.fcs	43.4	33.9	21.2	11	19.5	8.94	38.1	33.4	6.97	2.36	35.2	55.5	11.7	5.89	18.9
514957	4-Aug	E10 AtgH 514957 PBMC lymph.fcs	AtgH	wild	-1.515151515	8	M	N	N	blood	H10 AtgH 514957 MLN lymph.fcs	64.6	23.2	36.3	25.3	34.6	5.01	20.4	40	26.3	6.8	9.42	57.5	4.33	4.84	85.2
515048	10-Aug	D3 NOD2 515048 PBMC lymph.fcs	NOD2	wild	70.96774194	3	F	Y	N	blood	G3 NOD2 515048 MLN lymph.fcs	55.6	26.6	27.5	11.7	26.3	6.11	24.7	42.9	13.4	1.1	12	73.5	4.8	4.07	88.8
515050	4-Aug	E7 NOD2 515050 PBMC lymph.fcs	NOD2	wild	45.27027027	3	F	N	N	blood	H7 NOD2 515050 MLN lymph.fcs	66.6	22.2	36.6	27.7	21.9	2.79	24.4	50.9	9.07	0.92	11.2	78.8	4.49	4.18	85.3
515054	10-Aug	D7 AtgH 515054 PBMC lymph.fcs	AtgH	wild	9.053497942	7	M	N	N	blood	G7 AtgH 515054 MLN lymph.fcs	39.7	25.2	21.5	5.07	15.5	14.5	35.3	34.7	12.6	16.5	37.8	33	25	6.8	66.8
515055	4-Aug	E4 NOD2 515055 PBMC lymph.fcs	NOD2	wild	-23.25581395	7	M	N	N	blood	H4 NOD2 515055 MLN lymph.fcs	64.2	27.7	33.2	27.9	9.63	1.95	21.8	66.7	5.52	0.47	7.07	86.9	2.76	5.37	92.7
515056	4-Aug	C10 AtgH 515056 PBMC lymph.fcs	AtgH	wild	71.12299465	4	F	Y	N	blood	E10 AtgH 515056 MLN lymph.fcs	63.9	20.1	38.1	22.9	50.8	4.77	19.7	24.7	46.7	8.61	7.95	36.8	6.25	4.76	83.2
515057	4-Aug	D8 AtgE 515057 PBMC lymph.fcs	AtgE	wild	55.84415584	3	F	Y	Y	blood	G8 AtgE 515057 MLN lymph.fcs	66.9	21.9	36.3	27.3	63	7.91	17.4	11.7	70.3	10	5.85	13.8	5	36.3	80.4
515149	4-Aug	E12 AtgH 515149 PBMC lymph.fcs	AtgH	wild	6.995884774	7	M	N	N	blood	H12 AtgH 515149 MLN lymph.fcs	52.2	17	29.7	18.7	19.8	1.9	16.5	61.8	13.4	1.34	11	74.2	3.74	4.4	80.1
515150	10-Aug	E4 AtgE 515150 PBMC lymph.fcs	AtgE	wild	76.61691542	4	F	Y	N	blood	H4 AtgE 515150 MLN lymph.fcs	29.1	44	14.8	5.27	15.6	15.2	42.2	26.9	12.1	7.32	41.3	39.4	14.6	3.24	61.9
515152	4-Aug	E1 NOD2 515152 PBMC lymph.fcs	NOD2	wild	48.27586207	4	F	N	N	blood	H1 NOD2 515152 MLN lymph.fcs	62.3	27.2	36	23.7	10.1	1.44	20.8	67.7	4.38	0.34	7.8	87.5	3.08	4.07	87.2
515155	4-Aug	E11 AtgH 515155 PBMC lymph.fcs	AtgH	wild	10.89494163	8	M	N	N	blood	H11 AtgH 515155 MLN lymph.fcs	61.4	26.9	34.6	23.2	14.6	2.81	24.3	58.4	4.84	1.76	19.4	74	4.81	4.55	78.5
515157	4-Aug	C2 AtgW 515157 PBMC lymph.fcs	B6	wild	6.770833333	3	F	Y	N	blood	E2 AtgW 515157 MLN lymph.fcs	58.4	26.4	34.9	20.2	44.8	4.52	16.5	34.1	31.2	3.64	6.25	58.9	3.34	5.3	87.8
515249	4-Aug	E3 NOD2 515249 PBMC lymph.fcs	NOD2	wild	-5.579399142	7	M	N	N	blood	H3 NOD2 515249 MLN lymph.fcs	62.8	26.7	33.5	26.2	4.22	1.2	29.8	64.8	1.51	0.14	9.63	88.7	4.07	5.4	78.6
515250	4-Aug	E5 NOD2 515250 PBMC lymph.fcs	NOD2	wild	9.195402299	3	F	N	N	blood	H5 NOD2 515250 MLN lymph.fcs	65.5	24.4	40.7	22.2	33.4	3.1	20	43.4	20.8	1.26	7.41	70.6	3.57	5.44	87.6
515251	4-Aug	E6 NOD2 515251 PBMC lymph.fcs	NOD2	wild	46.15384615	3	F	N	N	blood	H6 NOD2 515251 MLN lymph.fcs	60.8	29.2	36.9	21.2	10.2	1.1	21.3	67.4	3.43	0.56	9.81	86.2	2.83	6.65	26.6
515253	10-Aug	E12 NOD2 515253 PBMC lymph.fcs	NOD2	wild	31.57894737	3	F	Y	N	blood	H12 NOD2 515253 MLN lymph.fcs	62.7	21.1	33.3	16.7	38.7	7.96	21.9	31.5	20	1.91	8.97	69.1	4.29	4.89	91.8
515254	4-Aug	D9 AtgE 515254 PBMC lymph.fcs	AtgE	wild	-4.214559387	8	M	N	N	blood	G9 AtgE 515254 MLN lymph.fcs	60.1	28.2	34.8	23	3.75	0.85	22.7	72.7	0.96	0.11	12.6	86.3	3.03	5.09	86.3
