Feature	IL_1a_Bacillus.S.	IL_1a_Bacteroides.V.	IL_1a_Candida.A.	IL_1a_CD3_CD28	IL_1a_Clostridium.P.	IL_1a_PBS	IL_1a_Pseudomonas.A.	IL_1a_Staph.A.
C430049B03Rik	0.04255109882675	0.042176082239215	0.0480061730579453	0.0178011040502237	0.0382996595011337	0.0157818119920398	0.0103117265493881	0.025179922019904
C920006O11Rik	0.00403012986469872	0.00541695619298986	0.00343745690112127	0.00184048359055716	0.00286105254300125	0.00171233839549019	0.00288505343308089	0.00254702637273474
Ccdc104	0.00700420684304843	0.00675125945988932	0.00773793904284228	0.00229840181409677	0.00793004354403864	0.00218772968242761	0.0071692066540187	0.0105433767929904
Ccl4	0.00445796523074445	0.00478445752772278	0.00495995563409973	0.00181335262452921	0.00401566169656912	0.000840959908661572	0.00623311704188258	0.00165020458295227
Ccnl1	0.00305087421569778	0.00379575218742554	0.0058979043089318	0.000927004988694746	0.00494879339721374	0.00105305331738377	0.0057261071348114	0.00180208390264741
Cd83	0.00294656429994657	0.00367644292484718	0.00542584836436026	0.00183199557010587	0.00304289568315832	0.00110006248290928	0.00246780914437493	0.00117907466251678
Cdk5	0.00445612959316276	0.000694733808800783	0.000393192153879854	0.00421466164231965	0.00539434411224535	0.0135108917982346	0.00656770785235627	0.00983817404797483
Cldn5	0.00525544194396921	0.0037679314216077	0.00152728495820276	0.00349629329451209	0.00309070357165351	0.00392616803766882	0.00244807154339883	0.00722368192513766
Cnot6	0.0102408365034392	0.00898935924719593	0.00589284921027103	0.00537417268670023	0.0113249795986508	0.00145693108176203	0.0120281588923751	0.00920500536663828
Cnp	0.0162712294544433	0.0188640099295348	0.0206869482629764	0.00758056298614257	0.0133082392993033	0.00965039637385386	0.0090465406436284	0.00904201798807727
Ctbs	0.00464178460988524	0.00209319838719841	0.00502425894255606	0.00439356012404876	0.00251112951082561	0.0187259450588503	0.00180132299682865	0.00474207233201486
Ctla2a	0.00300998894356334	0.00429512639009866	0.00357464801637555	0.00187117392793263	0.00146119723456537	0.000935743509410644	0.00207981011569542	0.00239931747487891
Cys1	0.0582229025532989	0.0438692659761249	0.0747119717954363	0.0162937478418849	0.0387035982402271	0.00431021028560799	0.0308490133673677	0.0252610497973912
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured Bacteroidales bacterium; D_6__uncultured Bacteroidales bacterium	0.00464273074186864	0.00750277956085053	0.00752876920486626	0.000603463993209414	0.00520273641384821	0.00157527079440283	0.00361391736994791	0.00295586664667101
Dctn4	0.00556250872167105	0.005083957612434	0.00383856365289918	0.00422554158823389	0.0069088764799861	0.00805774087436019	0.00795439210816196	0.0107232883140862
Dgkh	0.00558820090315837	0.011585435419966	0.0189926997005713	0.0239254782943304	0.0194936665131484	0.0398619026773164	0.0283595102931156	0.027055081613974
Dmkn	0.0944574355929239	0.0819325820554295	0.116386673877153	0.0447355356403268	0.0680828685668869	0.0489562307996714	0.0381535290764233	0.0554102197436137
Echdc1	0.00710387628488901	0.0022588690723213	0.00818802995629021	0.00365089191582061	0.00285396472707107	0.0119349046347215	0.00249242649369207	0.00630488074876888
Eef2	0.00251470438434083	0.00322356860908322	0.00461158679293875	0.000198513834757421	0.00259154726322136	0.000356082269514449	0.00271158796818117	0.000316966395385891
Egr1	0.00528561054720543	0.00519272551849552	0.00649428720178866	0.00127739337086618	0.00620533123780166	0.000602753770997788	0.00484421246967958	0.00236104189128158
Ehd3	0.00248867874630912	0.00282572931138045	0.00328202352485783	0.000414751644927532	0.00414830666953892	0.000450886897702564	0.00463552199302304	0.0032570715112084
Eif3h	0.0112101324413037	0.00483976041759825	0.0125938783760777	0.00297470576935328	0.0149431634699033	0.0163006304382431	0.0257407103432119	0.0152632147638058
Ephb3	0.0469957572126252	0.0405884634122485	0.0266785466720359	0.0202013833037466	0.0432075995196025	0.00921975939755509	0.0189416475471703	0.0312712595128384
Erdr1	0.0017558760319084	0.00520431824772289	0.00414524239200964	0.00156469689426773	0.00104795280190037	0.000925271548144194	0.00420366629125356	0.000277443174224917
Espn	0.00361084674898542	0.00422689893150247	0.00330836953394084	0.000618045050695634	0.00550637793931351	0.0010825095103739	0.00386798345109595	0.00399714237555716
Fam13a	0.00304218689646529	0.00593266268885283	0.00184159439972829	0.000814389505972583	0.00316779417510422	0.00111931980912535	0.00208078225355619	0.00199295558775186
Fndc4	0.0192699709912749	0.0195197159348564	0.0116031373523559	0.026031502963692	0.0242213871840886	0.0319067544868537	0.0318398626143462	0.0331273908993642
Foxo1	0.00838912356826573	0.00958201673255481	0.00913670634585909	0.00483300133587752	0.00758178086614405	0.00136758427625879	0.0024284191117294	0.00467984983303362
Fras1	0.0221976443768243	0.0174640158847382	0.0122416504239947	0.0100803854662616	0.0257621272337471	0.00793312359957024	0.0159550966434318	0.0274937597584578
Fus	0.00403497049276636	0.00294603505529643	0.00414612935452479	0.000437980010480118	0.00521253907244211	0.000367084965437948	0.00250387318902008	0.0025739839194186
Gas5	0.00132134673377364	0.00287458780444063	0.00401438248170978	0.000837230696034756	0.00261810600628691	0.000285001843318456	0.00157446550079866	0.000206145437839705
Gimap1	0.00173997964681213	0.00190321161271638	0.00251505951033769	0.000218497251324943	0.00203940567441393	0.000762075491112726	0.00229270831574726	0.000297455509025609
Gja4	0.0199656014920954	0.0217640446207454	0.0258472220648147	0.00892767189065974	0.0134505561529733	0.00553536913004298	0.00842896223532466	0.0156705510528056
Gm13102	0.0338728081316928	0.0338024376785554	0.0325319583545486	0.0107302371376681	0.00630345151193702	0.0290073554757033	0.0686480317817956	0.0291946218387311
Gm2518	0.0265569946943683	0.00857622551008949	0.0154340314031921	0.0153102711491432	0.0186318708606373	0.0287056839498002	0.0221252498588494	0.0324769989929155
Gm5506	0.00802416085514587	0.00839480691300719	0.0113821367556515	0.00336526460921205	0.00743617703445653	0.00252673448500779	0.00655417919231844	0.00275797006651438
Gm6225	0.0178378041309274	0.0383046468277925	0.0367230364416252	0.0295767588533298	0.0282689646625447	0.0139551055718356	0.0919850143664797	0.0175962371406974
Gm8221	0.00305798357085272	0.00169610357378906	0.00335757714636597	0.000754011339265012	0.00681236028209734	0.00174400217412549	0.00706464209997425	0.00348823414502853
Grk4	0.022392841092556	0.0219589862016734	0.0198339208911998	0.0103957467855871	0.0209887564939259	0.0035923908162071	0.0117614927699555	0.0133954089759548
H1fx	0.00220611550342831	0.000898888491681861	0.00169172868129891	0.00236122537756066	0.00194260888238974	0.00523493020906106	0.00106478328575894	0.00271871161322357
H2-Q4	0.00824295887716358	0.00942649117691436	0.0105315881210706	0.00633793264394512	0.0140233524346373	0.00311208175585872	0.00941675171578052	0.00571488483698377
Hcst	0.00474858023683024	0.00443893990329764	0.00611498033359196	0.000443893024044868	0.0043207539282414	0.000582840922820586	0.0024357155033087	0.00212568704652412
Hist1h1c	0.00346021167649509	0.00416171640006603	0.00479598090475729	0.00141389748893967	0.00407399262290056	0.000382359463175323	0.00193211861349073	0.00151955936962472
Hmox2	0.00203834048443499	0.00113117130116727	0.00220145893790936	0.000174347296441926	0.00316082389050115	0.000445479116299313	0.00258846537067893	0.00170401850797847
Hnrnpab	0.0434330332686864	0.0454323702514466	0.0747778392527356	0.0438541552635994	0.0490452070226126	0.0290115285484153	0.042529736746444	0.0291552385566391
Hspa1a	0.0017128582115507	0.00241472190871436	0.00316349265225832	0.00132437820897192	0.00197000480556248	0.000844828094624994	0.00214067770303155	0.000785685784874742
Hspa1b	0.00199372350167118	0.00301649666868438	0.00401886281037422	0.00148278577122893	0.00200451256486033	0.000973496282519433	0.0024404638363389	0.000524678366007549
Hspa5	0.00913174727157269	0.0117862071893291	0.0110803097365605	0.00367662744232093	0.0105736869759102	0.00313297750461853	0.00790107979753443	0.00542148669611508
Hspe1	0.00404328596431903	0.00536845050644	0.00603599176732732	0.00104132466836163	0.00325647452443196	0.0030105182282299	0.00226279376011182	0.000558348771220229
Ifng	0.0112228530745859	0.0143724725167297	0.00972829548371236	0.00295990285735723	0.00925756727491641	0.00402645070028687	0.00492686559242307	0.00256691908635271
Inhbb	0.0996800308707048	0.0518774597645651	0.0478588620440567	0.0262884939505696	0.0351189664842833	0.0487001276337405	0.0578041433473776	0.0699252191957588
Insig1	0.00692542755129491	0.0067186113688747	0.00517106659735816	0.00291714774982864	0.00590631449403593	0.000637538522578201	0.0125555448353309	0.00345190842988788
Ints1	0.00783071384049227	0.00799393256066697	0.00735917456511695	0.00543583031440915	0.00745698495569537	0.00953510567819638	0.0126590128641129	0.0146332855434392
Irf3	0.00261270265654795	0.00108080825528911	0.00218882476848972	0.00102116750900276	0.00453064534616413	0.000975847680860892	0.00390916024593161	0.00282702893183044
Jak1	0.0303963451128807	0.0406586283103889	0.0468413268437057	0.0215721224090861	0.0369238261047221	0.0118390596683632	0.0367071482191804	0.0257272492273003
Kif14	0.0166644148247001	0.00993740795014937	0.0224424741728931	0.0102705117742287	0.0275202620146154	0.00400410544292515	0.01062663062391	0.0110487860584052
Lrrc8e	0.0193919841678073	0.032462362418968	0.0353187240990521	0.0308701270972331	0.0397006293918492	0.0109580964907505	0.0194364873500153	0.0185768838489629
Ltbp1	0.0116195266331879	0.0123621010851696	0.00440119946072367	0.00413275054668011	0.0105478282002575	0.000952830608645433	0.0124846833361345	0.010817427104152
Magi2	0.028269059431309	0.0224314935891358	0.0173443109578094	0.0148671515651105	0.0218712277071817	0.0160413978425375	0.0235309349853317	0.0209344425239504
Man2b1	0.00523993873759787	0.00460463974282627	0.00480355381879876	0.00216447997302785	0.00667410608582315	0.00103422189903339	0.00447695926782058	0.00318336881537187
Mir22hg	0.00361399348761791	0.00434310918535461	0.00440424661040791	0.000957841723460288	0.00294488283604307	0.000580005440974245	0.0020558752134953	0.00162909207527201
MLN_Treg_cells	0.00429674974614232	0.00437220495230988	0.00444021513062299	0.000539814848624238	0.00470891258859828	8.09975053448875e-05	0.00365155505194567	0.00381358760259983
Msrb1	0.0135889761918937	0.00924551975867535	0.0110934274780038	0.00515155039925528	0.0150489274123525	0.00449158662098303	0.00934962567502347	0.0104756198745315
Nckap1l	0.0157614638688297	0.0216744640304034	0.0179250929033456	0.0040748992064218	0.0173898069543933	0.00194054074011073	0.0267876760115695	0.00865446948304554
Ndufv3	0.00638215759865091	0.00561121749136835	0.00341198308104561	0.00252116597689943	0.010112018168278	0.00225746189672278	0.00687436268738614	0.00738716260636328
Nfkbia	0.00274414526940536	0.00286131488158598	0.00295270035510979	0.000369381585228212	0.0034625610434707	0.000209158141652024	0.00256610426375457	0.00180676472031553
Nrp	0.00289782732819778	0.00329396147217965	0.00490272313204431	0.000325316442033062	0.00437190610012191	0.00112475316718525	0.00571395638235096	0.00194394730404254
Nts	0.0550451190898677	0.0430360748369258	0.0652047820401118	0.0271991211649902	0.0395115281862666	0.0341426556550093	0.0236488178512911	0.0435667852174321
Nudt1	0.00953571020339226	0.00535131812986276	0.00844979188961982	0.00474714510157953	0.00743730910474497	0.00185482768507249	0.00537251922754466	0.0101133837545795
Nudt3	0.00520615467982556	0.00336396529687239	0.00556854832477201	0.00199966672953586	0.00836676834161028	0.000897903465553437	0.00959113364624529	0.00521511999816957
Pacs2	0.00420740118394941	0.00313919900526862	0.000984008495890862	0.00261536758392549	0.00440224868763992	0.0027357614024792	0.00368235303610227	0.00542401125938548
Pcdh12	0.0666307189766015	0.0687659236101153	0.0691286340310358	0.0571308749313866	0.0734926038092828	0.0899495036686461	0.0574260052760907	0.0683860136017517
Pde4b	0.0164995741802747	0.0234417991915194	0.0165940481929939	0.00539536446911293	0.0229920177209796	0.00335975613291084	0.0265990562765392	0.0190449317908887
Pdf	0.00552537635527968	0.00535807744941312	0.00846855996814731	0.00550077860220975	0.0108268049325747	0.00375754122553479	0.00878730245387477	0.00749870286744795
Pggt1b	0.0235417625533521	0.00890516851394316	0.0139946344029929	0.0136301394510147	0.0151265247977261	0.0137547497575877	0.0196246993847535	0.0247324812613702
Pnldc1	0.0447031638726589	0.0548470475212949	0.0680446655153577	0.0145958213308054	0.0252791675132626	0.00687608610311633	0.0564921687995043	0.00839073097637695
Ppp6r3	0.00460062177247898	0.00284781128547736	0.00243292059940713	0.002591305915075	0.00425359818737573	0.00146092032512621	0.00148945160058901	0.00447914005737434
Prr7	0.00431122916802859	0.00857364968854171	0.00713340199396712	0.00139877244365975	0.00522863584115401	0.000666289800087341	0.0115479089565255	0.0038563003689879
Psmd3	0.0015469453374981	0.00196623928133227	0.00288658402740653	0.000627772364607795	0.00205147606526027	0.000408190059406767	0.0049477521163997	0.00129342558398647
Ptcra	0.000383238601224899	0.000456922519470428	0.00190896960768381	0.000652856010604532	0.00149483324063303	0.0078910550834968	0.00133935688996635	0.000730909231661825
Rab3c	0.0394749357119485	0.0388224753069158	0.0509716499725636	0.0141414201232596	0.0422969749023433	0.0206288180065723	0.0308061236377779	0.0269338643400275
Rbmx	0.0157712889690229	0.0106462726513019	0.0142742250801214	0.00664811013311432	0.0204005191470533	0.00553091578015225	0.0167677004754288	0.0160748498876948
Rhou	0.0161208202938802	0.0154912163849504	0.0198864065653343	0.012010551764305	0.0096644834721976	0.0302301348376513	0.0266815677229506	0.0330638404100994
Riok2	0.00245948256073006	0.00255902925191684	0.00184883067097539	0.00121712775549858	0.00272556853319513	0.00144413043541892	0.00300050351325343	0.00325870108957447
Rn4.5s	0.00560437681129096	0.00804331309770979	0.0072200795782124	0.00147116018522607	0.00564038284689975	0.00268424491711652	0.00284677152922204	0.000954627288099603
Robo4	0.00352213161477819	0.00209718861083923	0.000542078651699004	0.0023311717984113	0.00201044829259464	0.0018203750213363	0.00784108623112944	0.00449942689167465
Sec61a1	0.0158613947595303	0.0149869003872801	0.0177761392310259	0.00661116608324857	0.0138186600840395	0.00231430397739034	0.0155699090520388	0.0099626986362195
Setd8	0.00742465657946845	0.00646503896084674	0.00817632525737718	0.0011642384798663	0.00882838018979815	0.00199108149503062	0.00746200434106521	0.00666785908896844
Sik1	0.00513479173809323	0.00507471192997463	0.00608475306365043	0.00221911839599729	0.0059901837726681	0.00120137465133235	0.00153277246970819	0.0026921624773566
Slain2	0.000919315524633263	0.00107842729848813	0.00103306882472919	0.000599044401328452	0.00138737195403294	0.000628917057655919	0.00464889934653951	0.00164152633582313
Snx19	0.00659952436423927	0.0067431031218124	0.00953806924470917	0.0046007094229938	0.0099107607763824	0.00230916954082215	0.00651529101406727	0.00759322259112814
Sp1	0.0511222090098398	0.0482149318328626	0.0407324617590389	0.0348698837683456	0.0434062041340097	0.00986822257305389	0.0222905071664674	0.0424246079457474
Spin1	0.00413329415175705	0.00250885663855436	0.00180916164768956	0.000413135851272216	0.00322546055235114	0.000388974506305967	0.00312812696067268	0.00328330868979488
Sri	0.0078595089787134	0.00994187244197873	0.00958340143748247	0.00393594325700912	0.0165890763537125	0.00936208319669167	0.02575934957394	0.00982585618030081
Srsf5	0.00199769953973257	0.00312932949898897	0.00369037443926319	0.000308041192713736	0.00227402769472969	0.000291612657374478	0.00269459545210936	0.000937422140203294
Tln1	0.00378079044073647	0.00385947700754263	0.00543093249219059	0.00075934030668734	0.00415517457405838	0.000263935066862895	0.00360065333756087	0.00142591775426918
Tmem194	0.00892083185873155	0.00632430596842722	0.00888359227515644	0.00803975049106821	0.0143557826491789	0.00482008676134803	0.0133969066155005	0.0118024774315808
Tnnt3	0.00667602611141081	0.00474111347296432	0.0127068747033701	0.00356714045738396	0.014642873082033	0.00208053969292182	0.0153180952657054	0.00759393200747473
Tpcn1	0.00363872016734558	0.0024781665789002	0.00251527784883899	0.000893145696160338	0.00284065255164958	0.00290176558098678	0.0100017666789842	0.00412952542485858
Tpr	0.00296447785455557	0.00275488012125982	0.00302184465082243	0.000138035171594108	0.00349469594585124	0.00121367503128178	0.00566296102365423	0.00211904951862894
Trak2	0.00451536083370567	0.0029265734106247	0.00198806314196105	0.00377249142378656	0.00385311227097515	0.00379039649430978	0.00445799822120791	0.00677182048159633
Tspo2	0.0372154753058393	0.0228932381500904	0.016996370305195	0.0221974955608093	0.0383869319442242	0.0135498688105894	0.0344045157993718	0.0415959120221001
Tuba1b	0.00300650300025879	0.00312705489163911	0.00467967861595569	0.00100085320363895	0.00513719619850192	0.000849508055717036	0.00716854156267549	0.00394944382021082
Ubl4	0.00143014353987593	0.000487052853485376	0.000816227673790121	0.00157108198328415	0.00161478102447929	0.00556098925526863	0.00074024837758941	0.00250205095782072
Ubr3	0.00757671881649488	0.00850979191299627	0.00670096243542626	0.00104684931791085	0.00718937823509032	0.00156776013100767	0.012698957315756	0.00428335358724713
Wdr53	0.00603385369233882	0.00989542901621397	0.00891425774294088	0.000675116265814164	0.00878340442120306	0.00188081941760491	0.00972918939562964	0.00342487146277942
