Feature	MIP_1b_CCL4_Bacillus.S.	MIP_1b_CCL4_Bacteroides.V.	MIP_1b_CCL4_Candida.A.	MIP_1b_CCL4_CD3_CD28	MIP_1b_CCL4_Clostridium.P.	MIP_1b_CCL4_PBS	MIP_1b_CCL4_Pseudomonas.A.	MIP_1b_CCL4_Staph.A.
Capn6	0.0595626077477201	0.0655420182986479	0.112347970383304	0.0181647902680017	0.0864578376592012	0.0866337170137233	0.0511601103883282	0.0633493269900073
Casp12	0.0216100761209923	0.0283977998985382	0.0353723724231085	0.049862232680857	0.0382910617171045	0.0571044672466699	0.0148137674148624	0.00683497065917804
Ccdc107	0.00200098942381368	0.00192152961054076	0.00295408435654597	0.00223946444525186	0.0031250598743975	0.00685695301571975	0.00708837147824117	0.0144693893207663
Ccl4	0.0232436019058271	0.0171909313770981	0.0163753413004951	0.0132538604341004	0.00625897491398434	0.0084254490714815	0.0113017236066433	0.00728617552075599
Ccl9	0.011574784923857	0.0138951898365703	0.0280463388668089	0.0147531116240636	0.0271928042522151	0.00566407799973374	0.00644406479474039	0.00400542568836607
Ccno	0.0304203373095254	0.0448342048650154	0.0548687953633787	0.055073770085654	0.0195690578635119	0.0178612260351267	0.0876296266638647	0.0757885385045715
Cd74	0.031102594481797	0.0072381752331619	0.00961484639659313	0.00786600022246525	0.00895338586744589	0.0227081657892452	0.0470749748220219	0.0209860971472118
Cd83	0.0212758717192486	0.0531753499726384	0.0600572704664985	0.0232757443169806	0.0240673321371853	0.00943393701411385	0.0441013832615154	0.0288198623634676
Cdc5l	0.0111436396685471	0.00879038191849136	0.0365479952718875	0.00283781094245691	0.0245266271685114	0.0159726917002039	0.0108240711955367	0.0173259603802346
Cdc73	0.0299935857005613	0.0646790786007375	0.0061078235170645	0.00768735286710613	0.0230722465481326	0.0106949484457744	0.0418259936716699	0.0412595188789136
Cdk10	0.00732110897752592	0.00979599710054892	0.0170411643593473	0.00254583317219333	0.0108822736730189	0.00241627127389598	0.0186903688122421	0.0112123142569314
Cdk5r1	0.0460610242263677	0.00703982446308945	0.0167622806597795	0.00328388791067617	0.0136490767822796	0.0385985998476995	0.0075946153266765	0.0344256985326444
Cdkn1b	0.00945489390460478	0.0048477632961194	0.0238141272740034	0.0143621222047294	0.00383671798450059	0.00466510148536024	0.011707520601476	0.00737235267344656
Cdv3	0.0222178574287835	0.009103407266487	0.0256548284041041	0.042677488680626	0.0255255529956603	0.0210486822021518	0.0394008139698754	0.0360334656237588
Chchd2	0.0257084735530532	0.0175093796479173	0.0422994251294093	0.0165036337773495	0.011438765092248	0.0290864052684029	0.0236817209563364	0.0163198110667549
Clic1	0.0396267818610092	0.0201026711785368	0.0809750848842005	0.027537716845245	0.0145365508584625	0.0238901545508026	0.0350272657581165	0.0394177207810336
Clk3	0.022829673261408	0.00618705962201918	0.0148647263278556	0.0198391801296955	0.00435866636137953	0.00232074686337077	0.0153547003181508	0.0150389212596415
Clk4	0.0153820127532444	0.00834514351627532	0.0095917274522967	0.00249756412978082	0.00731653136736342	0.0104518430147917	0.0124569451722819	0.014858277982329
Cnp	0.0220624976495168	0.0113538386977509	0.0197503722624263	0.0123508796585155	0.0207164722103081	0.0187858632489772	0.00434886358067574	0.0257118004792247
Coa3	0.0256946166238792	0.0518595086323268	0.0202252414675427	0.0279199604478374	0.00487127210405027	0.0199390585017789	0.0178283510887935	0.0142113988060756
Col20a1	0.0604595684717921	0.030033380044768	0.0396524218390729	0.0560782150045813	0.0619721712567806	0.0254184764134446	0.00822283865845713	0.0348581392334936
Col6a1	0.00265254747699446	0.00923071999847525	0.00282133626337432	0.0126603360298349	0.00484198336620556	0.00897516320368338	0.00808797358574778	0.00493948088742732
Comp	0.00804280320407292	0.0680928860250946	0.00563029838744459	0.00496295744659566	0.00528325826556037	0.0116323716358122	0.0142169166393016	0.0203395150889404
Coq10b	0.0367591667983575	0.0214098806047462	0.0454016605896283	0.013973688696544	0.00900642780722401	0.00540143419595591	0.0205783553586734	0.04219419883935
Cpne8	0.0188642317534298	0.0117058912707629	0.0252960330044197	0.0229393973126207	0.0111993694269674	0.00748656581545626	0.0119034683402307	0.00378862642999421
Crip1	0.0150137094608276	0.068797666637227	0.0161406771738164	0.071148198567531	0.0407679404218178	0.0117805504669941	0.0695851683310512	0.0392839578318375
Csk	0.00969958676729905	0.0310558669664289	0.0415472132533062	0.0550010524160749	0.00929742316836904	0.0392973336392678	0.0125515415250986	0.0119354903499147
Csnk1g2	0.014077973353775	0.00356892800666217	0.00803945157542094	0.00262741080192017	0.00576649295130266	0.00299454328238438	0.00435595684761308	0.0201056315144131
Csrnp1	0.00874059926095727	0.0148215342619616	0.0178678191035449	0.00386802012644879	0.0099922129957284	0.00257194280805245	0.00216459467959112	0.00572070300581362
Cxcl1	0.0212141361854562	0.0067280423913514	0.00690392092889634	0.0131782432066968	0.0225161824890241	0.00962173244720352	0.0322897627552914	0.0662560829765941
Cxcr4	0.0123022578392043	0.0109263283999971	0.0079892308532356	0.0066052624425296	0.00618798800733612	0.0164918821770662	0.00498632876971211	0.00633673287218183
Cyfip2	0.0673923285641592	0.0609151602991638	0.0192061649427107	0.0218166004257799	0.0462851949420524	0.0306662322547008	0.0128389736207892	0.0312568313322831
D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Family XIII; D_5__[Eubacterium] nodatum group	0.00802335913999574	0.0148104542164236	0.00723218934468189	0.0146951763725493	0.00953129123985945	0.00622398385258069	0.00234012433741032	0.00621627512433748
D030028A08Rik	0.0312841400458457	0.0504499427000978	0.00847116123557815	0.0213459395319424	0.0196683677904381	0.0121615642475763	0.0528562447163075	0.0524877260359079
D16Ertd472e	0.028096013419802	0.00398011830311741	0.0023631818702941	0.00638313622321756	0.00263794414989392	0.00503769586787256	0.00582021266099131	0.0445008084985949
D8Ertd738e	0.112293619630056	0.0289402560789969	0.0155770010351094	0.0172848682620849	0.0312230072654579	0.0397227676605884	0.060848698168625	0.04573196222122
Dcaf15	0.00443800732423444	0.0192395520734596	0.00840488317473482	0.0188156779332464	0.0192205573100346	0.0124441072297339	0.00713653438520493	0.00787835907816919
Ddx3y	0.00194526440374473	0.00816288176271121	0.00292805762953502	0.0157144343532697	0.0109427718891456	0.0118749399216998	0.0030089117372241	0.00471311463501079
Dhx58	0.0170451561143489	0.00535247090459121	0.00543898284251561	0.0129499157698045	0.0132643107927099	0.015797240345775	0.00479804900529027	0.0119981636811097
Diexf	0.0343142031726453	0.0519732911285003	0.0479484730193757	0.018310098973826	0.0464585822453065	0.0525698231168892	0.0170406273594649	0.0479661588692597
Dnajb1	0.010167850991912	0.00157849914389626	0.00410734587752384	0.00158784092156141	0.0053011908626186	0.00776262448166315	0.00629683052552824	0.00328489409275714
Dnajb4	0.00427333826488086	0.00932550079374571	0.0070221321500412	0.00195955372057393	0.00654532960937468	0.00527728742517323	0.00158241057535829	0.00143943307571704
Dock5	0.0363465132153346	0.0103715868086269	0.0305960322177634	0.028305142606936	0.0390823555696161	0.0695043047972866	0.0288873058130467	0.0319355791757057
Dom3z	0.0231106399156696	0.0138023761703213	0.00493039622399768	0.0101536836643053	0.00835950698447896	0.01395650151886	0.0034872125801542	0.00452218080751275
Dscaml1	0.00548059195894852	0.02843848568557	0.00586847456412665	0.0422739794148523	0.0166258782526767	0.0123536236188831	0.00543321126506141	0.00434526514214481
Dusp1	0.000655352440999023	0.000730553992007785	0.00318123718701192	0.00409105588118668	0.00078336810844639	0.00191411790454703	0.00281896739371693	0.00378279238358842
Dusp2	0.00950196522489012	0.0204167929477921	0.00513877048233608	0.00383604188663651	0.00403629669006578	0.0144521294173123	0.00688326854003693	0.00712874937302145
Dusp6	0.0247465148408192	0.00321330490815763	0.00441009224535769	0.00370312845028887	0.0224044331120368	0.00554976020838544	0.00428663548064751	0.0206528710145869
Eef1g	0.0413559454117518	0.0363205600136244	0.00529290563959209	0.00936095389811844	0.0216979720145569	0.0143684164170295	0.016486459829183	0.0332169306548797
Eef2	0.0458743959340691	0.0241819537125342	0.0573988014164832	0.0258791057117718	0.0117150729449833	0.011362739394456	0.0227941720433621	0.0545113154545139
Efcab12	0.0750167615549456	0.0527453682741278	0.105178643631312	0.015952090056704	0.118776898619169	0.0837381613573814	0.0793791968721846	0.0810291695984845
Egr1	0.00220732520603556	0.00100494353014911	0.00213025842091527	0.00767402805728891	0.00503321297113013	0.00131378953357624	0.00569899546924872	0.0042072680178917
Egr2	0.00958059727833416	0.0217695132243854	0.0103602911061547	0.00735302698482726	0.00934119530328606	0.00367557870101223	0.00774089348792696	0.00395345253795787
Eif1	0.0156197862854015	0.00311999819240764	0.0174920168378744	0.00369897682645889	0.00847070731137315	0.0162339104365004	0.0153351847910668	0.00791689237156467
Eif3f	0.00607976814364492	0.0162351218382908	0.0312600118815414	0.0180930158227849	0.00468079997759664	0.0064249110749892	0.00990848996627885	0.0056654517156233
Eif3h	0.0737442888801466	0.0234685136180857	0.0830731942029358	0.0661713209867526	0.0610437225181755	0.137452380326745	0.189915882980559	0.106614385162821
Erdr1	0.0238184610734634	0.027029442240791	0.0103789991888124	0.0131107621199744	0.00281619934211458	0.00348640095277192	0.00936902021206163	0.0179735150645421
Farp2	0.0198527372118696	0.012100786396761	0.00373200271439031	0.0191988558153097	0.00264219331278638	0.0035293737230011	0.00316957922373117	0.0212406962124665
Fbxo46	0.0433714324414234	0.0144266984287364	0.0552837390913551	0.00908592580856218	0.0552658242190755	0.0044801199136396	0.00764259082046735	0.019933139684899
Fgfrl1	0.0212620057075012	0.0163092064603384	0.0417395539927995	0.0778596647771276	0.0370702277736029	0.0304818490077746	0.0399263992330705	0.0186457934377041
Flt3l	0.0240655035227853	0.00871112783373532	0.00961218917419136	0.0198842780077813	0.0063624497680747	0.00356548482012036	0.00808672293344202	0.00935785662829096
Fos	0.00348751262803452	0.00248591164129024	0.00411672085396678	0.0072541275984542	0.00208747373687876	0.00145760397638255	0.00717653766529631	0.00629431582573282
Fosb	0.00305052250657591	0.00189694974081365	0.00171988614409864	0.00330577961037482	0.00110408621385878	0.00182640527138193	0.00195505036879085	0.00158278063709312
Foxj2	0.0112033135235998	0.0212184718906274	0.0164689716664377	0.0281731451160765	0.037810397969583	0.00520382470770202	0.0659567445418425	0.0262509663389139
Foxm1	0.00703346215093236	0.0111623563664467	0.0295184888914101	0.0106091451652735	0.0624343649646673	0.0768351729847169	0.0469633149442136	0.0321363540875656
Foxo1	0.0153440005612316	0.0509768901433177	0.0828746504218133	0.0491066943638875	0.0144797134642972	0.019563788927227	0.0195017565496396	0.0137759049260413
Fxyd5	0.0157562271629317	0.00402361454382919	0.00325081182330849	0.00512378943868531	0.00187463728873324	0.00399305944809899	0.00341340043445768	0.00320381568550382
Gas5	0.0082727899423002	0.0602628843980617	0.0710959569795804	0.00618356574579346	0.0819420171369792	0.0246211893100532	0.0603664553330676	0.0277882383717362
Gimap1	0.0581800659286979	0.0349078746629061	0.085559316921116	0.0087155130700259	0.0627272348163866	0.0278952407025197	0.0406788311586586	0.0410942976052494
Gimap6	0.0389798290861223	0.0233449675251654	0.0222441284898893	0.0257819207754679	0.0317850858048858	0.0100493567101253	0.00700136029025967	0.00821804840036548
Gls2	0.140901146025489	0.118568636912812	0.0925689273017943	0.026009215646968	0.13817970296139	0.12070183978373	0.104588788307704	0.0942864862657719
Glycam1	0.00143941377390804	0.00659809849887299	0.00720931063014646	0.00547201299538463	0.00827036554226469	0.0139146776230385	0.00418673626356268	0.00297238290675467
Gm129	0.00778200852725985	0.0364932190193409	0.00248255801522098	0.00673973198913429	0.0048197294547737	0.0119389903318164	0.0138205381038545	0.0217410889490742
Gm13826	0.185208244642684	0.0890103658607171	0.266404672601735	0.0292339248569593	0.265858207045375	0.0604424255081534	0.233300127154061	0.280715318340641
Gm15446	0.0250285385143834	0.0170927316313255	0.0211761588988849	0.0128107998672414	0.0784888732948925	0.0403286268313091	0.051043835715849	0.0595243309475876
Gm20199	0.00333782825181968	0.00600315016039107	0.00281811670028658	0.00310017736410041	0.00278731280800505	0.00858336399094661	0.0119967868136909	0.00715984442634433
Gm4285	0.0257997242260767	0.0154809301665027	0.010540644736651	0.0312998519785276	0.0109156924084784	0.0130311561271506	0.0147303760564145	0.00642287783887084
Gm5506	0.0369431553416701	0.00964539361200754	0.0346212102921017	0.0113188449837661	0.0072761052375205	0.00558105858420681	0.0106094715101647	0.0255627969645999
Gm6654	0.0362510313633564	0.0120047417142794	0.0305082642699788	0.00747460466959817	0.00577721122702796	0.014375006533133	0.00803858988126961	0.030449938957078
Gnas	0.0061983137872301	0.00989300173321122	0.0119686655160521	0.0271542102722875	0.0167242625184897	0.0389224431803606	0.00542509118103173	0.008401933689638
Gpr114	0.00216974836017974	0.0168791229930482	0.00787142516451239	0.0102645004681544	0.0048673610367546	0.00959959895571327	0.00411155244010532	0.00455765070095773
Gpr133	0.0122121109516401	0.0321841577891875	0.0193333074294383	0.0335592010238588	0.0383734165656948	0.0428458052964096	0.0125168726186795	0.0225813167805416
Gramd3	0.0146481361154789	0.0388702120400843	0.0165057134219541	0.00591633611781515	0.0338585985601608	0.011045257131618	0.00821234591545561	0.0687928870066417
Guf1	0.0389068106503152	0.0300199286912433	0.0119376414186702	0.0117554868673241	0.00633278425419252	0.0126862683477668	0.00655466537118506	0.0197138300587044
H2-Aa	0.0269322182680798	0.040702307483849	0.0482079829155996	0.00736859682522872	0.0292925171055	0.0177337132706159	0.096955919047896	0.0237335788719297
H2-Eb1	0.00763012663035375	0.0429718491067606	0.0543877551220901	0.021674140171427	0.0379336937625997	0.0272476275655126	0.0829552558864097	0.0229320185932026
H3f3b	0.0042594731043264	0.00634230186671987	0.00278919833248195	0.00386913825748728	0.00525897484962721	0.0025993128001278	0.0111737944874008	0.00509373558662066
Hemk1	0.00694796327746111	0.0102870297505995	0.00697009450481693	0.00357470171365402	0.00189963820881674	0.0115866199979761	0.00317700642621228	0.00370261580263656
Hist1h1a	0.0199699088914089	0.0403187151638226	0.0284877661647051	0.0560825529611715	0.0288911240164372	0.0213850509302252	0.0186521511455937	0.0460514339649863
Hist1h1c	0.0073020518041793	0.0124745145310273	0.013331319743161	0.016628097378281	0.0165373822442075	0.00418760540511434	0.00705247398688291	0.0126415695738848
Hist2h3b	0.0153266014966501	0.0274582834748592	0.00667391292148752	0.0473995495185465	0.0186924274341215	0.00596578941604257	0.0144547617965391	0.00923945111782292
Hnrnpab	0.0508251382279117	0.130282135172932	0.232722589469811	0.0921425693705103	0.0582808789674492	0.0393890334886657	0.0301215573857141	0.0557787913875808
Hs3st4	0.0742156673164201	0.0449065139895647	0.14828249371814	0.0196978138966416	0.120254078139808	0.0519963162635742	0.0677585129620055	0.0713098635102751
Hspa1a	0.0024593893531617	0.00636147989700465	0.0050281213154627	0.0107041450019059	0.00436267020200059	0.00258947649889104	0.00589028742291603	0.00672723401303166
Hspa1b	0.00105958798624521	0.00354252024452122	0.00302517170038759	0.00685062668493169	0.00136938281033379	0.002363906782969	0.00599584721091946	0.00539376229242711
Hspa5	0.0223195930321843	0.00701076138540784	0.0237362004219177	0.00581496936571941	0.0163007745675716	0.0100480702187461	0.0118620922315297	0.0063645743939215
Hvcn1	0.004037788529789	0.0231340338730075	0.0046586707498989	0.0245037301482583	0.0055847098218873	0.00825796466084933	0.0198528769129226	0.00310093973261188
Iars	0.018214886454916	0.041478658841888	0.010317708883698	0.00324469591267114	0.0062593198814027	0.00447792170095799	0.0416977883431615	0.00926058033650902
Ier2	0.00105372390252972	0.00261963799951212	0.0031709478879574	0.00892595648674559	0.000935051810186964	0.000792329925042853	0.00665530702172676	0.00300265632414867
Ifi27l2a	0.0103093841562207	0.0103778490048567	0.0167392813321072	0.0106247239500168	0.0112647075678612	0.00939659461474003	0.00407877900591606	0.00430438084943178
Ifng	0.00624280867128243	0.00897316195989786	0.0330192115278011	0.00434924829012055	0.0309735666767015	0.00677681476039048	0.0261989748934295	0.023765779885249
Igf2bp3	0.0238679857807103	0.0254581723088589	0.0255916128432797	0.00561594500817245	0.0330857663985472	0.00571238842412998	0.0514775308848278	0.0173050937173218
Insig1	0.025008806712012	0.0398143882343348	0.0247313765374881	0.0171575086676265	0.0138567847987236	0.00717407203497388	0.0253966234424766	0.0359808945336964
Irf1	0.0264147624978055	0.00998694086132094	0.00345181651894564	0.00745004334429914	0.0213287102950524	0.0134667494233848	0.00532481603576322	0.0248001154025589
Isg15	0.00399529721670547	0.00345207196823328	0.00545718068624454	0.00189814057165251	0.00488967020979422	0.00317835832315903	0.00295772098002172	0.00455431650361681
Itga11	0.00917364152200952	0.0115659243804797	0.0192048165314054	0.0376595500835612	0.0188558338244558	0.00812950685779936	0.0100621396776073	0.00719888740894923
Itgb1bp2	0.00390889886596123	0.00807637692235953	0.00549322141984265	0.0241331757469569	0.0045044697716533	0.00930064901420717	0.006981300086606	0.003494089434697
Jak1	0.0784487796031091	0.139234674755118	0.0768944514249364	0.0656623634572289	0.0446869918538006	0.103752946509113	0.0724195394056632	0.121010581651491
Jun	0.00551972270153816	0.000727095240134693	0.00172687781963596	0.00544141784915123	0.00420600142884564	0.000902932638411576	0.0068349735825908	0.00649672084394116
Junb	0.000794000876709227	0.00329841273990282	0.000997396015291742	0.00344244173718564	0.000664563212538108	0.000767147508631722	0.00569342827737851	0.00257959605371117
Jund	0.00297813089422186	0.0028931114609153	0.00760319347548657	0.00645813942241313	0.00108149124280974	0.00166913473246928	0.00200787724081526	0.00151915744923821
Kctd10	0.0170409377651965	0.0448765685585363	0.0123759110322462	0.0165742974159407	0.0166103128093903	0.0464581436938846	0.0159587388705318	0.0403908406080274
Kdm5c	0.00650594857437402	0.00216628257601017	0.00798500855086947	0.00854352182666021	0.00414631153511667	0.00184674509916382	0.00434480048981003	0.0102122279174909
Kdm6a	0.0032074512739014	0.00811100827356508	0.00693941492069245	0.02062744297495	0.00312943337242068	0.00256271639247391	0.0114177960514144	0.0115831505471609
Keap1	0.00983643454331031	0.0286959822367873	0.0414356836037489	0.00754870349111936	0.0257877616475129	0.033150925582093	0.00841594334147855	0.00878987764240497
Kif14	0.0241819046227067	0.0326509763710348	0.0782776963843425	0.0198058111761312	0.0527272818436564	0.0533884369096254	0.0135811757070503	0.012162772519686
Klf2	0.00161306135150641	0.00824439094645362	0.00880459214935876	0.00699963791547012	0.00076838748386447	0.00528952894040253	0.00555315999900963	0.00514377496721665
Klf4	0.00577177141121543	0.00671968671787954	0.00230901303309623	0.0127010886332066	0.0019034380067175	0.00752199718293522	0.0127448596871484	0.00221436109930665
Kpna4	0.00226801070647079	0.00672238538956478	0.00446253632374993	0.0121651671796296	0.0107126183401198	0.00202017993414344	0.00458808186168892	0.00278333831198876
Krtcap3	0.031928485564158	0.0170405573194413	0.040141295560236	0.0104938906330216	0.0206416095160425	0.00542444304115627	0.00433100316855132	0.0423105750322216
Ldha	0.0483091506300833	0.0106705942550248	0.086084500862718	0.0241728550444134	0.0484867545249836	0.0530599378950287	0.0489637105132825	0.0265521462613437
Lima1	0.0312449062462942	0.00921659324956421	0.00892016841935936	0.0410588599854536	0.00434904647809144	0.0122813317383089	0.00571479917747063	0.0221691012623593
LOC100504703	0.0106181146865468	0.0256732858860855	0.0268197956424576	0.0291952714925558	0.00767327983542668	0.0194575350581876	0.0166220397942769	0.0203240872987596
Lpar1	0.0104308048848146	0.0354404868095715	0.0107385700757751	0.0294130903840991	0.052490456729101	0.0288449014724261	0.0620556007460262	0.0184286639869814
Lrrc27	0.0139237754446197	0.00777449569881152	0.0380325321773458	0.018272460564589	0.0720863003244758	0.00810635968203647	0.0250381132840886	0.0135491516803731
Ly6e	0.0268641348855707	0.0413814271028373	0.0140480333028406	0.0176434160292246	0.012043669712375	0.0335771196579535	0.0625060849323167	0.0156698700749505
Ly86	0.0198239438564785	0.012769030613025	0.00567263410471179	0.00887537762438497	0.0101319395452498	0.00914445814674103	0.00318720570690465	0.0129051705550044
Mafk	0.00424743641685121	0.00259720439264352	0.0067465045572289	0.00357289361604374	0.00297793631303488	0.00624453800533428	0.00266868483454046	0.00625232818223233
Magi2	0.0669645030592657	0.0667229764589832	0.041772346823629	0.0144109463158136	0.0717900181389554	0.030065601804081	0.107711348945423	0.160258653991127
Man2b1	0.0125777342369388	0.00812363288577421	0.0196872094155889	0.0141912226823904	0.0525695417383018	0.0178332523989673	0.00760912403436791	0.00743386890728826
Map2k3	0.0546859845168388	0.0157728361806496	0.0084423407996301	0.00911414745998843	0.0364661341619198	0.027984219637732	0.0105561845765067	0.0313822342116294
Map4k5	0.00261643262329503	0.0254515668060586	0.0244165565780712	0.0375371693689195	0.0071626682786082	0.00711967704357782	0.00598260097484372	0.00578861639474368
Marcksl1	0.00522909434301266	0.0286960942173378	0.0116529795715548	0.0220294502161995	0.00783211225137907	0.0217870900747538	0.0183347645444786	0.0318766090695645
Mccc2	0.0086644912819212	0.0184316266879485	0.0108934237619417	0.0229957603052769	0.0288134481857269	0.00503798919938827	0.0336664137443932	0.0129604491631073
Med12l	0.0576166608741176	0.0221941731847811	0.0418208485129162	0.0489426982373826	0.00993652576196704	0.0369189423626465	0.140058382389969	0.0884233403794656
Med24	0.0241273367876757	0.0739707561082502	0.00405706937622137	0.0105619910062104	0.0134601535390432	0.0213035431321651	0.0349273432416628	0.0138668598066354
Meg3	0.0221252896052966	0.0646541646007028	0.0150719620052157	0.0307820115270452	0.0323694095016785	0.0198288814686049	0.0131258801218508	0.0491471888982387
Mff	0.00475800485593932	0.0399082669477263	0.0156214031376188	0.0813545393073712	0.014787136316216	0.0402733554105548	0.0409626383374613	0.00534914769530207
Mif	0.0105969251815199	0.0170717583363364	0.00989001329585019	0.0155523036979934	0.0242551036797596	0.0138608473539533	0.00679749844971986	0.0396243627158028
Miip	0.00734378351918228	0.0194216066264219	0.00961779970806192	0.0128601593888397	0.00948219667739956	0.0125432287415701	0.0230149318211131	0.0163010267290435
Mkrn1	0.0178978358303137	0.00931091759242339	0.0534034790932798	0.0125800635935779	0.0210681352945962	0.0268490864498561	0.00585451807460039	0.0179100012339889
Mlec	0.00749872228813647	0.00656446163987064	0.0104698170256334	0.0258579477959592	0.0185877162772055	0.018804642292258	0.0185862800358896	0.00816629344200688
