Feature	TNF_a_Bacillus.S.	TNF_a_Bacteroides.V.	TNF_a_Candida.A.	TNF_a_CD3_CD28	TNF_a_Clostridium.P.	TNF_a_PBS	TNF_a_Pseudomonas.A.	TNF_a_Staph.A.
Arc	0.00239205835742563	0.00579874520572496	0.000496068083456725	0.00861087046588449	0.00114835157894872	0.00078219422334987	0.00326669742815176	0.000425851894702788
Arhgdia	0.0293760264154602	0.0102898377050416	0.0266011032626957	0.0185987207440304	0.0126663788357063	0.00695265666482599	0.0136999243007438	0.00734109845248838
Arrdc1	0.00246522929604596	0.00187779416126487	0.00150368507244963	0.00476440363828515	0.0027063746516587	0.000110721887371888	0.00417410712315299	0.00296782125070254
Art2a-ps	0.0194684401676959	0.0336254880929544	0.0125058986190441	0.0077854528762977	0.0306384777437499	0.00194019952098572	0.0190964084290877	0.0217113893330142
Art2b	0.0247194714656914	0.0345932058219796	0.0210969205519896	0.0189319117435024	0.0281602064331578	0.00350587357797997	0.0330300444725611	0.0153331798906611
Aspm	0.00207267359609264	0.0194738647151377	0.00355137597322572	0.00391950042810726	0.0265113760268197	0.0278112330019244	0.0114919490607245	0.00444788552947707
Bambi	0.00062416934072144	0.000640582203636765	0.00484616921533942	0.00425648475249538	0.00180637390721465	0.000804633715293793	0.000561189225978911	0.000932183671146476
Beta-s	0.00940638094083195	0.0254955193595164	0.00191302903946718	0.011532332007526	0.0321189341534906	0.00169427498710352	0.0240569778584565	0.0392166996622348
Blood_Effector_Memory_CD8_T_cells	0.00300800077878832	0.00391591611787383	0.00193234039489038	0.00170815814201391	0.00271439503770831	0.000480000530069913	0.00295136112651597	0.00148266184785433
Bola2	0.00154828297142655	0.00134620532833861	0.00298993778375494	0.00276780024891999	0.00109418734760716	0.000843141890871007	0.00113784609940796	0.00124814489234948
Capn6	0.0237027713037443	0.00771288472862621	0.0399920277636144	0.00243788963040438	0.0245162055671411	0.00663687547399721	0.0227269223000556	0.0146349404623145
Casp12	0.00145002680562206	0.00646477929362286	0.0033021737186298	0.0151812780035352	0.00234416282574976	0.00412457629620687	0.0014179047017355	0.00145645916764819
Ccl4	0.008366508650491	0.0120414608798196	0.0115302796838401	0.0160413403562954	0.00304722403829096	0.00133661214945682	0.00789993300355712	0.00391877658957951
Ccl7	0.013399601012669	0.0154650866906333	0.00703488181264653	0.0587074817623082	0.00664103059737437	0.0059357110717561	0.00778702714138085	0.0166828787832934
Ccni	0.134936370777063	0.13453446962243	0.0943853901781198	0.0430796931902845	0.193613582555431	0.0593372349700887	0.189977856973919	0.132018731090003
Cdc73	0.0179078089727766	0.0336659883851895	0.00682462734008595	0.0110983286908457	0.0438436571727318	0.00822559237966451	0.0293291414092781	0.0442748462941496
Clec9a	0.00158312554871591	0.00216518305712864	0.00102894941660381	0.00247596109160593	0.00169687621868119	0.0068492007970615	0.00232227885615475	0.00106220643283483
Cnrip1	0.00230640361934005	0.0266797405950834	0.00845637649772624	0.0160447412953769	0.0144617297543985	0.00236660187539569	0.0162800667656873	0.0130340001675264
Coa3	0.0128043260106854	0.0232852587197394	0.00733214327986498	0.0262027328270761	0.0193816141239235	0.00311470891431356	0.00294809836789502	0.0133338348883993
Crip1	0.00837241224036805	0.0245365946692935	0.0105388061226796	0.0285235400306908	0.0290252813485211	0.0101792698463631	0.0100780119706011	0.0169415770627887
Ctbs	0.0173823541565079	0.00775821740964643	0.0187227021483145	0.0416920642469865	0.0260023188018208	0.0490801191236439	0.00652280037160399	0.0255078619587727
Cxcl1	0.00635261761538492	0.00997758495557115	0.0047824878580912	0.00993814777752372	0.0106528567912918	0.00321628128919079	0.00345365858759584	0.0140385121832581
Cyba	0.00891485003977849	0.0467046953555712	0.0393876391291317	0.0784373188619987	0.0386335158406485	0.00984472424734351	0.0129287378170029	0.0344903966118735
Cyp2d22	0.00799428424802853	0.00483631543818684	0.00198507094327386	0.0141764768412472	0.00210002716852372	0.0191352160214015	0.00506496394823893	0.0110584957010689
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured Bacteroidales bacterium; D_6__uncultured Bacteroidales bacterium	0.00930903496766471	0.0165350457845442	0.0157567824206392	0.0143273520187318	0.0147090271491858	0.00585475079881546	0.0152702187308684	0.00593147374135561
D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Parasutterella; D_6__uncultured bacterium	0.000524595579802915	0.00744971940863835	0.0018373486235834	0.00479651346083814	0.00510601034677048	0.0012793845904534	0.00605977299281733	0.00525572645107497
D16Ertd472e	0.0029582196702049	0.0021837050466071	0.00196010399996211	0.00450663872809866	0.00327083174928705	0.0018483321219249	0.00293847339653674	0.00766446076244023
Ddx3y	0.00804890851943769	0.0164128336755079	0.0203881011712173	0.0178559252449791	0.00712009385885346	0.00143694895562911	0.00323472623414266	0.0127631751446468
Dgkq	0.00379677057238619	0.00626357349715159	0.00524817678541454	0.00486136390533076	0.00160600053378174	0.000369586897825055	0.0022043349586331	0.00064324824824876
Dom3z	0.00724252609888284	0.00811322425361818	0.00425367822571007	0.00704816045809441	0.00866986773062874	0.00238662317053977	0.00785370280133673	0.00823039177230332
Dusp6	0.0132367302560796	0.00951986951479485	0.011947367959427	0.0128753706117558	0.0120415953003191	0.00672924316057901	0.0204385693232649	0.0117162130396242
Eef2	0.0441250815684254	0.0220801237678132	0.0383828453112425	0.0380479753762195	0.0385734725378877	0.00756336230136435	0.0394569756336529	0.0577116360620351
Eif2s3y	0.00479378212682783	0.00449900524279107	0.00867061969942861	0.00118606216676106	0.000931215539016749	0.000678463342419266	0.00132534817499148	0.00450912917285701
Erdr1	0.0492307291717254	0.0441532899792099	0.0410729113015499	0.0307235906690357	0.0397471590167347	0.0132492973894141	0.0391642462854406	0.0446152506883818
Extl3	0.014689982635638	0.0100486382294928	0.0164974543215903	0.00473389354553122	0.00897912993204946	0.0021898554530407	0.0154322172606099	0.00762487319739689
Fam203a	0.00385406367221671	0.00541253957661486	0.00694017758232126	0.00431307457166172	0.00580514800929124	0.00198803283780211	0.00495419615938465	0.00246867130875867
Farp2	0.0191362616684358	0.0132728557230352	0.00723367167096523	0.0313486001358459	0.017919389844125	0.00556712814162604	0.00504107821080848	0.0192797037277108
Fcgr4	0.00751784481846558	0.0249937828644353	0.00512853205131838	0.00372997793385337	0.0171785127511746	0.00346092875405491	0.00633197280718493	0.0375530229627109
Fgf9	0.0321695475406768	0.0192897547904589	0.0890911075920819	0.0233730154088185	0.0215883133842897	0.00332314086392212	0.0125076076256031	0.0349739976458683
Gm11346	0.000602233042826852	0.0020800270195389	0.000482348684051796	0.00345339273877435	0.00148855008319027	0.000466254426859945	0.000531204536751178	0.00235163458877416
Gm12185	0.00197479069367993	0.00824916725386844	0.000890591453647891	0.0133138963042392	0.0047211625254699	0.0024401801086797	0.00455209656359497	0.00128451139787166
Gm4285	0.00614649301992264	0.0185695020376159	0.00344207563799787	0.0326243708077537	0.0233758839971507	0.00676713071490686	0.0185305402420944	0.0138153932589754
Gm6213	0.0724274931815205	0.0527481945246844	0.107189367622345	0.0400947423280718	0.0380468485139753	0.0455329198710213	0.0247654868597184	0.0354189731710822
Gm7609	0.025732343278727	0.0303147888394063	0.054694494826303	0.0110772240156413	0.0114059755042441	0.0210006584427443	0.0159020518383026	0.0172294207468726
Gpr133	0.0114192210874053	0.0213604352752319	0.0107733151796442	0.0548860114930858	0.0365490802480373	0.00906530134655856	0.0202075601231314	0.0463474038322495
Gsdmd	0.0032085536464313	0.00148209529355073	0.00121186585995006	0.00885429984521099	0.00217557141542963	0.00113991249756509	0.00558807794558393	0.00429818405439961
Guf1	0.0134670630389801	0.00987548657961985	0.00684710040588613	0.00279924348467495	0.00724830169880861	0.00277434300254589	0.00796025924027553	0.0131954253453546
Hist1h4b	0.00795763091345843	0.0311235428926148	0.00623465435505954	0.0191009885732717	0.0262380597530928	0.0144043773752188	0.00807889061947172	0.028028511036102
Hist2h2bb	0.00361193113157509	0.0113976617173077	0.00137805684196028	0.00188025756113	0.0129840249560255	0.00138881046051187	0.00224273976677639	0.00121408511084158
Hist2h3b	0.00108281472214608	0.00592290540622637	0.003278511226739	0.0174069629616897	0.00384567792622306	0.00268107377045149	0.00207084273213787	0.00448981230286241
Ifng	0.00886403584930439	0.015124022370664	0.0174893081558586	0.00523519818556838	0.00738840016764082	0.00678372371100568	0.0137431709878532	0.00245187806250395
Igf2bp3	0.00140094988866178	0.00513915815619547	0.00398712370586254	0.00171540250863024	0.00887379151000289	0.00126877632825764	0.00918386694403596	0.00512405860147793
Insig1	0.0248418255267287	0.0211351857104552	0.0120607227864816	0.0294332169738507	0.0216268964873384	0.00202541414295405	0.0306136857109642	0.0227472795557898
Itga11	0.00471343087258614	0.0027791601285624	0.00155674407020332	0.0406307503110099	0.00208188265316047	0.00461424407993029	0.0038868446279164	0.0119536943953416
Jak1	0.0639956003526978	0.0764901879875168	0.0298978977385411	0.138821280267609	0.0664965868131565	0.00787786117323993	0.0863651344362654	0.0780554473656547
Kcmf1	0.00750685374596136	0.0626618243908685	0.0129201970964789	0.0361187762774315	0.0572209612536423	0.00806179508789247	0.0574186734094096	0.0116544051767125
Kdm6a	0.0103896848762277	0.0275868643815195	0.0158684504078414	0.0164999826979071	0.0425603331718389	0.00470301007738438	0.0226202219768378	0.0350598612598288
Klhl5	0.00251835951698347	0.00668406294331312	0.000638962992483601	0.0100019639092473	0.00270235299901495	0.000880535358675728	0.00367796576101057	0.00404053310839543
Klra1	0.0124476407922819	0.0783112065874018	0.00565175424855085	0.0692643748757084	0.0468551182069425	0.00374250185432391	0.0572562193008087	0.0381195186431597
Krtcap3	0.00551167027507234	0.0045110737570091	0.00376344915270594	0.00331460048344247	0.0019828539854988	0.00322424515470553	0.00368734134176417	0.00383232696294775
Lace1	0.00237797847958319	0.00351857862713907	0.000550204524467165	0.00364595559656391	0.00549270995289824	0.000353726029383792	0.00174772956518997	0.00337894304693661
Lactb2	0.0289160103187989	0.0595186611551101	0.0180005686369912	0.0246258256570393	0.0421474525761658	0.00929065778529986	0.0425049958499582	0.0323602389347654
Ldha	0.0030965091858904	0.000408101355602263	0.00182983759394684	0.000964224965945266	0.0019517221805213	0.000154466788893788	0.00449176966101123	0.00197239197654533
Lima1	0.00107427406388237	0.00583015219875932	0.00307636763785086	0.0145240178502092	0.00519569121853817	0.00104315178960092	0.00256208661592556	0.00410630095215412
Lrrc49	0.027555783701357	0.0241893435184151	0.0158725057142855	0.0507454432592434	0.0368109988878651	0.0160571346884923	0.232427412411576	0.0161288659366648
Lysmd2	0.000666301982358418	0.00906527857079614	0.00106102572160803	0.00521523163410001	0.00648589639458997	0.0028335191236994	0.00315178940235117	0.00609253029136749
Lyst	0.0075747341427998	0.0136364637544784	0.00383833639173444	0.00779537640633046	0.0194849445090127	0.00339579845739431	0.0141392474634765	0.0134998443711306
Mapk12	0.0219909976051031	0.025320927762731	0.0153478458322391	0.0174619707557449	0.0227904052497524	0.00630283633877262	0.0276759081111423	0.0154997305572303
Med24	0.0200421207571143	0.0199376261411951	0.00135443059470814	0.00619993137697825	0.0285947815951428	0.0114040198254418	0.0342953655342025	0.0319733502985459
Miip	0.00797427553170667	0.00438231694183266	0.00322481644708635	0.019976000360713	0.0094527522412669	0.00365422195138945	0.0116768518290272	0.0143173021311083
MLN_CD103neg_CD11c_MHCII_DC	0.00551128892578731	0.041783190904092	0.00331449373768307	0.00660481927901045	0.0251457562593729	0.0366019487093336	0.0249788998818798	0.0233791447856822
Mnf1	0.00476054320182399	0.0101158827797184	0.00362816373204338	0.0123506645614547	0.009247764462685	0.00380709281091703	0.0092154692143977	0.00848679701613532
Mrps16	0.0012256543213741	0.000836635343599012	0.00116594615333465	0.00309815233340276	0.0019297615582287	0.000712628369666381	0.00233268255850057	0.00148992863330946
Mss51	0.0111774222325025	0.013947431478309	0.00417880028105421	0.012019655080141	0.0100302118333367	0.00408727627874791	0.00740242066060756	0.0235893911929885
Mtfmt	0.000666501843350813	0.0014442167433992	0.00126214020691849	0.00945749080497608	0.000677755779457151	0.0021022781613587	0.00198490205110316	0.000240095203309767
Myadml2	0.00125860521920466	0.00579266871712573	0.00233417981732884	0.0100587523575008	0.00365820464424484	0.00157583330946679	0.00507137637564675	0.00344151945291788
Naaa	0.0185009207241043	0.0253496238693543	0.00544153080939128	0.0103084895976121	0.0330884500031236	0.0126095242705379	0.015309151070539	0.0267825178194045
Naca	0.0270085019495708	0.0284007568162895	0.00846354925330316	0.0361566107760614	0.0259716987346271	0.00345264148141073	0.0236118016276507	0.0430734918197282
Neat1	0.00167342760274464	0.00157568313761093	0.00122683071277578	0.00452650537828483	0.00231795801321423	0.000290313874293519	0.00172853552252229	0.00227639115017402
Nkd1	0.00205892060531014	0.00143852756720311	0.00692905468165207	0.00324406872551792	0.00330286339632271	0.000427281378116637	0.000411927304536619	0.000600841302562051
Nufip2	0.00182686663753015	0.00691431255390974	0.000756448368420392	0.0148881694459835	0.00940190913673674	0.00191973631209304	0.0023925216988661	0.00965541827922528
Ogfod1	0.000417600786280292	0.00352767855142526	0.00132493119234897	0.00103752068917396	0.00521206519646301	0.00169082184917238	0.00183414933544173	0.00250770648783413
Ogfrl1	0.002892320110805	0.00186704347144473	0.000939417325160237	0.00760423858271377	0.00174017551333678	0.000348697948770638	0.0048674913929589	0.00267417626330804
P2ry10	0.00193466879464466	0.00195081137858924	0.00266324749650712	0.0052598248357308	0.000847207039560213	0.000317352928804658	0.00464081881698696	0.0010854311652465
Papd7	0.00257165425484841	0.00637092320750704	0.00143582244270387	0.0158961450384214	0.00627610301181077	0.00390990158910641	0.00475582626991305	0.00450428189867233
Parp8	0.0155769740283275	0.0239308620186148	0.00982944362805847	0.0141706517842105	0.0247395005161206	0.00280678865989887	0.0322993126576935	0.0195705024572852
Pask	0.0139637701832984	0.0117007373911921	0.0078342846533996	0.0186111249242749	0.0319181746748827	0.0572074956854637	0.00936216374753675	0.0200024273552207
Pcdh1	0.0166439997608975	0.00864237362035418	0.0258721364807676	0.0138649019790776	0.0426371089064332	0.145550248483852	0.0819466782790901	0.0207291673461424
Pfdn5	0.0102917216300396	0.00795081904582887	0.00359785789428013	0.0100899423625014	0.00919259668466739	0.00144851987560198	0.00930049481797718	0.0111936839596494
Pik3c2b	0.00282433319065737	0.00278969214214655	0.000519884776462423	0.00166800087564658	0.00778037925613202	0.0024696560480369	0.00500628134616342	0.00654753870082693
Plekhg5	0.0134366102944313	0.0235492932163303	0.00947872155114222	0.0624706354121775	0.0220378492649867	0.0284613174914041	0.0213842777657286	0.013971626765113
Plk2	0.00740649327564544	0.0169384009899935	0.00822256445323037	0.0213635327556049	0.0225228988333433	0.00693469418782527	0.0175216904267219	0.0155442089523969
Pnldc1	0.149409079799841	0.13690255743658	0.186171609917116	0.0522143022738067	0.0514837867701338	0.0198630741939755	0.180710935663752	0.100670692777064
Ppm1g	0.00918517569976471	0.00584367859578881	0.00831373813442372	0.00511759104888959	0.00805579478260391	0.00143762176642123	0.00404857438623049	0.00610493649931317
Ppp2r1a	0.0146304929113153	0.0179124707518808	0.0178348117024883	0.0463459959880627	0.0158361429753993	0.00644385333610515	0.0328206654032879	0.0535042432237882
Ppp4r1l-ps	0.000347642651746643	0.000969634066978183	0.00226355499688853	0.00511889472322756	0.00166785843113059	0.000523081576906598	0.00167203702303657	0.000862490922317364
Ptcra	0.0041877821633624	0.00715750741256465	0.00736237088760752	0.0228434498284577	0.00288002185897623	0.0386062355896286	0.025576394222732	0.00475356231357118
Ptprm	0.00416171256792808	0.00177065540567484	0.00243386720144919	0.0350103468836141	0.00305210857408219	0.00121580174125127	0.00586938511858523	0.00735600543538056
Ralb	0.00367287539126678	0.0107572061481539	0.00714750037953797	0.0304209362495039	0.00488907116849466	0.00530068286121517	0.00611868937718617	0.0129870347829728
Rbms1	0.00283616317308748	0.00648310432371647	0.000445431288761095	0.00542575072964635	0.00750034237143405	0.000344423171069843	0.00778051075790431	0.00935179092665317
Rin3	0.00228945018210181	0.00101780260724887	0.00125752592386487	0.00157897561398407	0.0018611060649663	0.000482614421253925	0.00486449644564343	0.00114839335325912
Rpl17	0.003725153299253	0.00421580263102758	0.00213856502186826	0.00117559242871802	0.00290385988702187	0.000225073324647965	0.00193769641519247	0.0045181530510572
Rpl41	0.0122928565348224	0.00212725391203272	0.00717665416165073	0.00489885547867671	0.00537605900442305	0.00151304573085634	0.00896814339528498	0.0142006888032265
Rtp4	0.0113060206770002	0.0286608968936438	0.00653622786973902	0.0469497988072396	0.0220434450042613	0.00552107772270028	0.0257076255189767	0.026389938208235
Saa3	0.0184674511622941	0.0398308845371065	0.0219568222093659	0.0182984243214531	0.0267029423714952	0.00451526109100466	0.0260787462980468	0.0404095382760566
Sec61a1	0.00341716031876937	0.00218741235305523	0.00457756421570523	0.00290185895444024	0.00182633498875656	0.00131612176605331	0.000569545693224387	0.00185990560493865
Sell	0.0188930596808856	0.00853194602519189	0.0186085831667086	0.00658678501297626	0.0175404446209161	0.00193729728596089	0.0192606061021662	0.00874693192609934
Serf1	0.00898126595419913	0.00457331260373319	0.0109618779542814	0.0419398855501933	0.00500158299729473	0.00811788802934118	0.00548567857306724	0.00624818234437504
Serp1	0.0449569370439296	0.0246777787117106	0.0365633102416597	0.0181730139123321	0.0229449568269145	0.00822861744421675	0.0265945210151433	0.0158476016437231
Slc25a53	0.000373887741888349	0.00398290769271316	0.000349626801232403	0.0010578827447073	0.00678707960968766	0.00032240317950268	0.00154282866049619	0.00259280233871042
Slc38a6	0.0219840201003542	0.0210863404437013	0.00837707991688793	0.00232125981224503	0.0249888745694099	0.00251713720078938	0.0193755903352896	0.0243224035008829
Slc7a11	0.0347147535928431	0.0830189522555704	0.0462201180355227	0.0727326569705502	0.0714181024854952	0.0108225969987289	0.0228767194501572	0.0623641410077498
Sowahc	0.0123023080948561	0.0231663916900228	0.0116727998628958	0.0275521038214363	0.0144373811332204	0.00422899782073319	0.00832476327595776	0.00182430440665871
Spata24	0.00352518043243274	0.0157394961804425	0.00966649748103432	0.0441251074092066	0.003380920653169	0.0136943411170369	0.00430342399125567	0.00192506335808297
Spc24	0.00231546232052657	0.00497392895351872	0.00276225293420066	0.0195326351695187	0.00539283737159958	0.00430744801491447	0.00947741232640091	0.0017691843628039
Sspo	0.117437111332259	0.109029039714373	0.119777349987924	0.0247655641813846	0.0765838588092236	0.0121099151593354	0.0541126397129114	0.0833971227910931
St6galnac6	0.0016206628378242	0.00836025900742467	0.00166820673394056	0.00323708945792372	0.0111902523022154	0.00231552646897859	0.00932973431125352	0.00260079676202266
Tln1	0.0313481980955992	0.0115709191343387	0.0330094974986048	0.04175553745388	0.0177287964058871	0.00632576821140783	0.0369230128311688	0.0227337218928086
Tma16	0.00218306687715954	0.00391836906684406	0.0017376668639201	0.00416618795770314	0.0046668257936564	0.000616092955951522	0.00275858758180422	0.0015868841185163
Trappc1	0.00660548901260899	0.0364281857767694	0.00536910482898986	0.0619945595337862	0.0256025001476205	0.0037182265152699	0.0124852355558804	0.019212899360068
Triobp	0.00977989879247144	0.0388984918756897	0.0140488417290571	0.0503486319878308	0.0236235161719448	0.00259199063019373	0.0156718499866898	0.0231143676786705
Uty	0.0130361440434966	0.0281243449948185	0.0348787043645809	0.0104459547917847	0.0134010730804699	0.00559093468037451	0.00643758722250124	0.0248497637299881
Wdr24	0.0016785205931405	0.00609779707319522	0.000601914624384426	0.0130510429705814	0.00186823086846592	0.000926562537215627	0.00489546273262205	0.00412022823937934
Xist	0.00318204386378116	0.00278483608883968	0.00685694654415605	0.00406606463081125	0.00197156607846837	0.000833513152598841	0.00074828385020736	0.00371659022603061
Zfand6	0.0422280349077789	0.0893507472444516	0.0421629590435829	0.0479633401801734	0.0760455573956793	0.00446407930051692	0.0293923877372388	0.0810534194661965
Zfp105	0.0163504489512016	0.0162020163416097	0.00644114521119995	0.0162705242422312	0.00532894619962313	0.0442990158365131	0.00861914386848668	0.00811122930732372
Zfp422	0.00133557188986566	0.0122044377768664	0.00175929260399089	0.0240063134352404	0.0121449734330397	0.00156642746971186	0.00284017848119684	0.00783983690847208
