Accession	Title	Data Archive	Links	Status	Release Date	Created	Updated	Submission	SRA.filename
SAMN12511736	50_52_53_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.600Z	2019-08-07T03:01:50.900Z	SUB6137647	
SAMN12511735	51_56_49_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.583Z	2019-08-07T03:01:50.680Z	SUB6137647	
SAMN12511734	51_52_54_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.566Z	2019-08-07T03:01:50.493Z	SUB6137647	
SAMN12511733	50_56_51_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.550Z	2019-08-07T03:01:50.290Z	SUB6137647	
SAMN12511732	51_56_53_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.533Z	2019-08-07T03:01:49.930Z	SUB6137647	
SAMN12511731	50_53_57_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.516Z	2019-08-07T03:01:49.680Z	SUB6137647	
SAMN12511730	50_48_52_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.500Z	2019-08-07T03:01:49.353Z	SUB6137647	
SAMN12511729	50_55_57_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.486Z	2019-08-07T03:01:49.086Z	SUB6137647	
SAMN12511728	51_57_56_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.470Z	2019-08-07T03:01:48.900Z	SUB6137647	
SAMN12511727	51_52_56_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.453Z	2019-08-07T03:01:48.493Z	SUB6137647	
SAMN12511726	50_49_50_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.436Z	2019-08-07T03:01:48.306Z	SUB6137647	
SAMN12511725	51_57_49_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.420Z	2019-08-07T03:01:48.023Z	SUB6137647	
SAMN12511724	51_51_50_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.403Z	2019-08-07T03:01:47.806Z	SUB6137647	
SAMN12511723	51_48_56_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.390Z	2019-08-07T03:01:47.600Z	SUB6137647	
SAMN12511722	51_55_50_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.373Z	2019-08-07T03:01:47.383Z	SUB6137647	
SAMN12511721	50_55_50_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.356Z	2019-08-07T03:01:47.210Z	SUB6137647	
SAMN12511720	50_53_50_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.340Z	2019-08-07T03:01:47.023Z	SUB6137647	
SAMN12511719	50_55_56_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.323Z	2019-08-07T03:01:46.836Z	SUB6137647	
SAMN12511718	50_53_49_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.306Z	2019-08-07T03:01:46.663Z	SUB6137647	
SAMN12511717	50_54_49_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.290Z	2019-08-07T03:01:46.510Z	SUB6137647	
SAMN12511716	51_50_57_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.276Z	2019-08-07T03:01:46.243Z	SUB6137647	
SAMN12511715	51_53_57_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.260Z	2019-08-07T03:01:45.883Z	SUB6137647	
SAMN12511714	50_50_54_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.243Z	2019-08-07T03:01:45.510Z	SUB6137647	
SAMN12511713	50_57_48_AtgE_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.226Z	2019-08-07T03:01:45.306Z	SUB6137647	
SAMN12511712	50_56_48_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.210Z	2019-08-07T03:01:45.116Z	SUB6137647	
SAMN12511711	51_53_50_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.196Z	2019-08-07T03:01:44.900Z	SUB6137647	
SAMN12511710	50_56_56_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.180Z	2019-08-07T03:01:44.540Z	SUB6137647	
SAMN12511709	51_51_55_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.160Z	2019-08-07T03:01:44.366Z	SUB6137647	
SAMN12511708	51_49_57_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.140Z	2019-08-07T03:01:43.710Z	SUB6137647	
SAMN12511707	50_48_53_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.123Z	2019-08-07T03:01:43.306Z	SUB6137647	
SAMN12511706	51_57_57_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.106Z	2019-08-07T03:01:43.070Z	SUB6137647	
SAMN12511705	51_49_51_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.090Z	2019-08-07T03:01:42.850Z	SUB6137647	
SAMN12511704	50_53_55_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.053Z	2019-08-07T03:01:42.663Z	SUB6137647	
SAMN12511703	50_49_51_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.026Z	2019-08-07T03:01:42.476Z	SUB6137647	
SAMN12511702	50_51_49_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:07.003Z	2019-08-07T03:01:42.273Z	SUB6137647	
SAMN12511701	51_50_54_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.986Z	2019-08-07T03:01:41.976Z	SUB6137647	
SAMN12511700	51_51_49_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.966Z	2019-08-07T03:01:41.760Z	SUB6137647	
SAMN12511699	50_55_48_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.950Z	2019-08-07T03:01:41.510Z	SUB6137647	
SAMN12511698	50_50_55_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.930Z	2019-08-07T03:01:41.290Z	SUB6137647	
SAMN12511697	50_57_56_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.910Z	2019-08-07T03:01:40.913Z	SUB6137647	
SAMN12511696	50_55_54_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.890Z	2019-08-07T03:01:40.760Z	SUB6137647	
SAMN12511695	50_55_53_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.866Z	2019-08-07T03:01:40.556Z	SUB6137647	
SAMN12511694	50_57_51_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.850Z	2019-08-07T03:01:40.273Z	SUB6137647	
SAMN12511693	50_51_52_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.830Z	2019-08-07T03:01:39.913Z	SUB6137647	
SAMN12511692	51_50_56_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.813Z	2019-08-07T03:01:39.726Z	SUB6137647	
SAMN12511691	51_56_56_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.796Z	2019-08-07T03:01:39.510Z	SUB6137647	
SAMN12511690	51_56_52_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.693Z	2019-08-07T03:01:39.273Z	SUB6137647	
SAMN12511689	50_49_48_AtgH_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.596Z	2019-08-07T03:01:39.086Z	SUB6137647	
SAMN12511688	50_53_52_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.580Z	2019-08-07T03:01:38.913Z	SUB6137647	
SAMN12511687	50_48_51_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.516Z	2019-08-07T03:01:38.743Z	SUB6137647	
SAMN12511686	50_51_54_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.436Z	2019-08-07T03:01:38.523Z	SUB6137647	
SAMN12511685	51_54_53_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.410Z	2019-08-07T03:01:38.260Z	SUB6137647	
SAMN12511684	51_53_56_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.370Z	2019-08-07T03:01:38.086Z	SUB6137647	
SAMN12511683	50_51_55_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.353Z	2019-08-07T03:01:37.900Z	SUB6137647	
SAMN12511682	51_50_55_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.160Z	2019-08-07T03:01:37.743Z	SUB6137647	
SAMN12511681	50_50_57_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.143Z	2019-08-07T03:01:37.553Z	SUB6137647	
SAMN12511680	50_50_50_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:06.123Z	2019-08-07T03:01:37.383Z	SUB6137647	
SAMN12511679	51_52_49_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.980Z	2019-08-07T03:01:37.226Z	SUB6137647	
SAMN12511678	51_49_49_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.963Z	2019-08-07T03:01:37.053Z	SUB6137647	
SAMN12511677	50_52_48_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.946Z	2019-08-07T03:01:36.866Z	SUB6137647	
SAMN12511676	51_48_55_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.926Z	2019-08-07T03:01:36.616Z	SUB6137647	
SAMN12511675	51_55_55_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.906Z	2019-08-07T03:01:36.400Z	SUB6137647	
SAMN12511674	50_57_52_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.883Z	2019-08-07T03:01:36.180Z	SUB6137647	
SAMN12511673	50_48_48_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.860Z	2019-08-07T03:01:36.010Z	SUB6137647	
SAMN12511672	50_51_53_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.843Z	2019-08-07T03:01:35.836Z	SUB6137647	
SAMN12511671	51_51_52_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.830Z	2019-08-07T03:01:35.586Z	SUB6137647	
SAMN12511670	51_48_51_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.813Z	2019-08-07T03:01:35.366Z	SUB6137647	
SAMN12511669	51_57_53_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.796Z	2019-08-07T03:01:35.100Z	SUB6137647	
SAMN12511668	51_52_53_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.770Z	2019-08-07T03:01:34.836Z	SUB6137647	
SAMN12511667	51_52_50_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.753Z	2019-08-07T03:01:34.446Z	SUB6137647	
SAMN12511666	50_57_50_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.736Z	2019-08-07T03:01:34.163Z	SUB6137647	
SAMN12511665	50_48_57_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.713Z	2019-08-07T03:01:33.836Z	SUB6137647	
SAMN12511664	51_50_48_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.696Z	2019-08-07T03:01:33.586Z	SUB6137647	
SAMN12511663	51_50_50_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.643Z	2019-08-07T03:01:33.290Z	SUB6137647	
SAMN12511662	51_52_51_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.626Z	2019-08-07T03:01:33.086Z	SUB6137647	
SAMN12511661	51_54_50_NOD2_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.610Z	2019-08-07T03:01:32.866Z	SUB6137647	
SAMN12511660	50_55_51_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.586Z	2019-08-07T03:01:32.553Z	SUB6137647	
SAMN12511659	50_48_49_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.570Z	2019-08-07T03:01:32.350Z	SUB6137647	
SAMN12511658	50_51_48_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.550Z	2019-08-07T03:01:32.010Z	SUB6137647	
SAMN12511657	51_52_55_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.530Z	2019-08-07T03:01:31.803Z	SUB6137647	
SAMN12511656	51_56_54_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.506Z	2019-08-07T03:01:31.506Z	SUB6137647	
SAMN12511655	51_55_53_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.490Z	2019-08-07T03:01:31.086Z	SUB6137647	
SAMN12511654	50_51_50_B6_SF	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.470Z	2019-08-07T03:01:30.790Z	SUB6137647	
SAMN12511653	86-9_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.450Z	2019-08-07T03:01:30.413Z	SUB6137647	
SAMN12511652	86-8_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.433Z	2019-08-07T03:01:29.913Z	SUB6137647	
SAMN12511651	86-7_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.413Z	2019-08-07T03:01:29.743Z	SUB6137647	
SAMN12511650	86-6_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.396Z	2019-08-07T03:01:29.586Z	SUB6137647	
SAMN12511649	86-3_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.380Z	2019-08-07T03:01:29.400Z	SUB6137647	
SAMN12511648	78-85_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.360Z	2019-08-07T03:01:29.163Z	SUB6137647	
SAMN12511647	78-84_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.343Z	2019-08-07T03:01:28.946Z	SUB6137647	
SAMN12511646	30-36_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.326Z	2019-08-07T03:01:28.773Z	SUB6137647	
SAMN12511645	30-33_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.306Z	2019-08-07T03:01:28.586Z	SUB6137647	
SAMN12511644	30-10_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.290Z	2019-08-07T03:01:28.400Z	SUB6137647	
SAMN12511643	30-9_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.270Z	2019-08-07T03:01:28.006Z	SUB6137647	
SAMN12511642	30-21_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.253Z	2019-08-07T03:01:27.790Z	SUB6137647	
SAMN12511641	82-8_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.236Z	2019-08-07T03:01:27.600Z	SUB6137647	
SAMN12511640	82-7_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.220Z	2019-08-07T03:01:27.446Z	SUB6137647	
SAMN12511639	82-5_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.203Z	2019-08-07T03:01:27.243Z	SUB6137647	
SAMN12511638	82-94_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.186Z	2019-08-07T03:01:27.053Z	SUB6137647	
SAMN12511637	82-92_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.170Z	2019-08-07T03:01:26.866Z	SUB6137647	
SAMN12511636	77-80_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.150Z	2019-08-07T03:01:26.650Z	SUB6137647	
SAMN12511635	77-79_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.126Z	2019-08-07T03:01:26.366Z	SUB6137647	
SAMN12511634	77-78_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.110Z	2019-08-07T03:01:26.180Z	SUB6137647	
SAMN12511633	77-77_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.090Z	2019-08-07T03:01:25.790Z	SUB6137647	
SAMN12511632	77-76_AtgH_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.063Z	2019-08-07T03:01:25.553Z	SUB6137647	
SAMN12511631	71-9_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:05.046Z	2019-08-07T03:01:25.133Z	SUB6137647	
SAMN12511630	71-8_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.990Z	2019-08-07T03:01:24.866Z	SUB6137647	
SAMN12511629	71-7_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.973Z	2019-08-07T03:01:24.633Z	SUB6137647	
SAMN12511628	71-6_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.956Z	2019-08-07T03:01:24.446Z	SUB6137647	
SAMN12511627	71-3_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.940Z	2019-08-07T03:01:24.180Z	SUB6137647	
SAMN12511626	76-5_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.923Z	2019-08-07T03:01:23.976Z	SUB6137647	
SAMN12511625	76-4_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.906Z	2019-08-07T03:01:23.803Z	SUB6137647	
SAMN12511624	76-3_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.890Z	2019-08-07T03:01:23.616Z	SUB6137647	
SAMN12511623	76-2_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.873Z	2019-08-07T03:01:23.430Z	SUB6137647	
SAMN12511622	76-1_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.856Z	2019-08-07T03:01:23.226Z	SUB6137647	
SAMN12511621	02-9_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.840Z	2019-08-07T03:01:22.946Z	SUB6137647	
SAMN12511620	02-8_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.820Z	2019-08-07T03:01:22.743Z	SUB6137647	
SAMN12511619	02-7_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.803Z	2019-08-07T03:01:22.303Z	SUB6137647	
