category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0090257	1.12246625910114e-08	0.999999999016347	12	176	regulation of muscle system process	BP	9.6976407843592e-06
GO:0007165	1.453922403669e-08	0.999999995468798	51	3363	signal transduction	BP	1.20588324160307e-05
GO:0023052	2.54773779392381e-08	0.999999991791188	53	3641	signaling	BP	1.92079541166884e-05
GO:0071310	2.58686215097907e-08	0.999999993293873	32	1528	cellular response to organic substance	BP	1.92079541166884e-05
GO:0010033	2.6586631907417e-08	0.999999992505967	37	1936	response to organic substance	BP	1.92079541166884e-05
GO:0048513	2.68642714918719e-08	0.999999992134893	40	2245	animal organ development	BP	1.92079541166884e-05
GO:0005576	3.28090757826405e-08	0.999999989340523	53	2980	extracellular region	CC	2.26765395451017e-05
GO:0031672	3.76327844144243e-08	0.999999998785472	7	36	A band	CC	2.51714769300996e-05
GO:0007154	3.94127322845106e-08	0.999999987099447	53	3677	cell communication	BP	2.5538218872479e-05
GO:0005615	4.31186802443988e-08	0.999999986136559	49	2643	extracellular space	CC	2.70929040868972e-05
GO:0044421	4.86796669164082e-08	0.999999984185906	50	2771	extracellular region part	CC	2.96874380444625e-05
GO:0055007	5.23574436250578e-08	0.999999996726755	9	108	cardiac muscle cell differentiation	BP	3.03185203193479e-05
GO:0014897	5.51040230334163e-08	0.999999997303045	8	78	striated muscle hypertrophy	BP	3.03185203193479e-05
GO:0099080	5.55632395531815e-08	0.999999989504878	20	648	supramolecular complex	CC	3.03185203193479e-05
GO:0099081	5.55632395531815e-08	0.999999989504878	20	648	supramolecular polymer	CC	3.03185203193479e-05
GO:0006928	5.77181718374632e-08	0.999999985352183	29	1336	movement of cell or subcellular component	BP	3.06868280269179e-05
GO:0010035	6.73071496062625e-08	0.999999991284474	14	302	response to inorganic substance	BP	3.48903436771463e-05
GO:0051239	7.20169184596979e-08	0.999999978534481	38	2111	regulation of multicellular organismal process	BP	3.55090102328772e-05
GO:0007507	7.29108473601088e-08	0.999999988819882	16	458	heart development	BP	3.55090102328772e-05
GO:0014896	7.36381692796585e-08	0.999999996245739	8	79	muscle hypertrophy	BP	3.55090102328772e-05
GO:0005509	9.02467347241213e-08	0.999999985978003	16	388	calcium ion binding	MF	4.25287737387422e-05
GO:0006941	1.02191768907555e-07	0.999999991671716	10	127	striated muscle contraction	BP	4.70876961844035e-05
GO:0042692	1.47344607640343e-07	0.999999979573946	14	341	muscle cell differentiation	BP	6.64171834657068e-05
GO:0016477	1.54066692160371e-07	0.999999963877929	24	1007	cell migration	BP	6.79696353605383e-05
GO:0048856	1.58630770003922e-07	0.999999945242809	53	3773	anatomical structure development	BP	6.82806636747604e-05
GO:0003008	1.61357729446022e-07	0.999999962077706	24	979	system process	BP	6.82806636747604e-05
GO:0007275	1.66152114055708e-07	0.999999943313423	50	3462	multicellular organism development	BP	6.89032816989023e-05
GO:0051270	2.04821744891215e-07	0.999999957835848	20	717	regulation of cellular component movement	BP	8.32740956925363e-05
GO:0019838	2.12102948609066e-07	0.999999984246862	9	120	growth factor binding	MF	8.4576050757865e-05
GO:0010881	2.38892356839913e-07	0.999999998556765	4	8	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	BP	9.3461000359917e-05
GO:0099512	2.59161526679131e-07	0.999999948224311	19	644	supramolecular fiber	CC	9.95132269572552e-05
GO:0043500	2.79687164940944e-07	0.999999982802332	8	90	muscle adaptation	BP	0.000105442061182736
GO:0014888	2.93482461898671e-07	0.999999990749684	6	38	striated muscle adaptation	BP	0.000108667122276231
GO:1901700	3.32277870839599e-07	0.999999918537355	24	991	response to oxygen-containing compound	BP	0.000120873362313317
GO:0040011	3.90578260490665e-07	0.999999897817328	26	1215	locomotion	BP	0.000139631728125413
GO:0050794	4.1466567197257e-07	0.9999998550805	78	6927	regulation of cellular process	BP	0.000145730384887309
GO:0035051	4.28052818930855e-07	0.999999965208017	9	136	cardiocyte differentiation	BP	0.00014658547857982
GO:0065009	4.31237723335859e-07	0.999999867698167	34	1843	regulation of molecular function	BP	0.00014658547857982
GO:0060326	4.38474360274785e-07	0.999999945117976	12	209	cell chemotaxis	BP	0.000146641384843511
GO:0043618	5.26718658636669e-07	0.999999981432829	6	42	regulation of transcription from RNA polymerase II promoter in response to stress	BP	0.000170310735278965
GO:0010941	5.30512882684051e-07	0.999999852158078	28	1311	regulation of cell death	BP	0.000170310735278965
GO:0048739	5.33889452285156e-07	0.999999995497421	4	10	cardiac muscle fiber development	BP	0.000170310735278965
GO:0055013	5.42358946746505e-07	0.999999972114726	7	70	cardiac muscle cell development	BP	0.000170391102436194
GO:0031430	5.82196406379314e-07	0.999999988068694	5	20	M band	CC	0.000175375176494932
GO:0048870	5.83597163161336e-07	0.999999851998888	24	1072	cell motility	BP	0.000175375176494932
GO:0051674	5.83597163161336e-07	0.999999851998888	24	1072	localization of cell	BP	0.000175375176494932
GO:0055002	6.21038552947675e-07	0.999999947112979	9	141	striated muscle cell development	BP	0.000183960491362429
GO:0051240	6.35639037132516e-07	0.999999829072202	26	1240	positive regulation of multicellular organismal process	BP	0.000185633456830179
GO:0003300	7.74211961375784e-07	0.999999957808203	7	75	cardiac muscle hypertrophy	BP	0.000222962291932318
GO:0043620	8.50028196067757e-07	0.999999967182017	6	46	regulation of DNA-templated transcription in response to stress	BP	0.000241442940348835
GO:0065007	9.15114153789459e-07	0.999999683307281	83	7684	biological regulation	BP	0.000253798642404858
GO:0032502	9.18008110941133e-07	0.99999965956544	54	4068	developmental process	BP	0.000253798642404858
GO:0008219	1.01338623384136e-06	0.99999969048039	31	1612	cell death	BP	0.000273572008741694
GO:0042981	1.01591727384183e-06	0.999999719521734	26	1183	regulation of apoptotic process	BP	0.000273572008741694
GO:0055006	1.11557148608704e-06	0.999999935674998	7	76	cardiac cell development	BP	0.000296556086718139
GO:0008015	1.19182077427651e-06	0.999999817781376	13	324	blood circulation	BP	0.000312815237400297
GO:0060048	1.23739981555559e-06	0.999999906525016	8	99	cardiac muscle contraction	BP	0.000320718564694315
GO:1901701	1.2541930008462e-06	0.999999720284172	19	700	cellular response to oxygen-containing compound	BP	0.000321057924352419
GO:0043067	1.28930672297537e-06	0.999999639116886	26	1198	regulation of programmed cell death	BP	0.000326021645132858
GO:0005515	1.32323815231363e-06	0.999999511373823	76	6643	protein binding	MF	0.00033057039865329
GO:0003013	1.38019832103317e-06	0.999999786055433	13	328	circulatory system process	BP	0.000339339494956395
GO:0007167	1.39107099451621e-06	0.999999715675401	17	643	enzyme linked receptor protein signaling pathway	BP	0.000339339494956395
GO:0050789	1.52476580241058e-06	0.99999944792046	80	7341	regulation of biological process	BP	0.000367628126895157
GO:0006915	1.60274584556404e-06	0.999999516005474	29	1465	apoptotic process	BP	0.00038198775985943
GO:0055001	1.66835071423492e-06	0.999999839088557	9	155	muscle cell development	BP	0.000393105137041604
GO:0012501	2.23854376399598e-06	0.999999311536452	29	1490	programmed cell death	BP	0.000521530392656817
GO:0005488	2.508631703869e-06	0.999999240937291	94	9292	binding	MF	0.000572523069232985
GO:0010882	2.51264042923567e-06	0.999999965352615	4	13	regulation of cardiac muscle contraction by calcium ion signaling	BP	0.000572523069232985
GO:0002026	2.58163826876003e-06	0.999999924257225	5	27	regulation of the force of heart contraction	BP	0.000581850755464556
GO:0030334	2.67668609752304e-06	0.999999424969434	17	627	regulation of cell migration	BP	0.000596785873463874
GO:0048660	3.00929195284548e-06	0.99999974101166	8	123	regulation of smooth muscle cell proliferation	BP	0.000663804985555863
GO:0035914	3.42483390341935e-06	0.999999828162806	6	58	skeletal muscle cell differentiation	BP	0.000747515063025265
GO:0048659	3.69948345515569e-06	0.99999967206266	8	127	smooth muscle cell proliferation	BP	0.000799049890027637
GO:0050790	4.07280494298352e-06	0.999998753751872	27	1390	regulation of catalytic activity	BP	0.000864977722765905
GO:0048522	4.08815128194158e-06	0.999998410566489	50	3761	positive regulation of cellular process	BP	0.000864977722765905
GO:2000145	4.62556824033696e-06	0.999998962754155	17	652	regulation of cell motility	BP	0.000968799570337242
GO:0009893	4.77300491297986e-06	0.999998274838189	38	2495	positive regulation of metabolic process	BP	0.000989682568706373
GO:0000982	5.2370061768884e-06	0.999999234991135	11	304	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.0010751418126513
GO:1901019	5.38208092395133e-06	0.999999707876054	6	57	regulation of calcium ion transmembrane transporter activity	BP	0.00109217179878545
GO:0001077	5.42530481190747e-06	0.999999389972621	9	196	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	MF	0.00109217179878545
GO:0043085	5.64421751763894e-06	0.999998542824197	20	847	positive regulation of catalytic activity	BP	0.00112531586757926
GO:0060047	5.83643372943994e-06	0.999999341408981	9	159	heart contraction	BP	0.00115255669885655
GO:0009719	6.02400574684124e-06	0.999998436517709	20	919	response to endogenous stimulus	BP	0.0011783750864222
GO:0048518	6.37026870816768e-06	0.999997449010743	53	4157	positive regulation of biological process	BP	0.00123446281928838
GO:0003015	6.90807963536353e-06	0.999999203297535	9	162	heart process	BP	0.00132628732628947
GO:0048018	7.04012566403259e-06	0.999998838425454	12	226	receptor ligand activity	MF	0.00133080029303037
GO:0016460	7.05994850413992e-06	0.999999863104814	4	18	myosin II complex	CC	0.00133080029303037
GO:0006936	7.18802103575953e-06	0.999999037913968	10	210	muscle contraction	BP	0.00133997449365426
GO:0008016	7.23786560353397e-06	0.999999295813145	8	128	regulation of heart contraction	BP	0.00133997449365426
GO:0002027	7.63401931598775e-06	0.99999955557415	6	65	regulation of heart rate	BP	0.00140080876563722
GO:0035994	1.0243668189102e-05	0.999999781502202	4	18	response to muscle stretch	BP	0.00186317947281606
GO:0065008	1.06156138282575e-05	0.999996046824815	37	2471	regulation of biological quality	BP	0.00191404132807756
GO:0006935	1.09093140155427e-05	0.99999793997936	13	382	chemotaxis	BP	0.00195003988027825
GO:0006942	1.12289413867153e-05	0.999999300504496	6	64	regulation of striated muscle contraction	BP	0.00199001794575676
GO:0042330	1.15712710804421e-05	0.999997802372971	13	384	taxis	BP	0.00203330767672006
GO:0010880	1.20862403749338e-05	0.999999733979087	4	17	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	BP	0.00210595121154834
GO:0040012	1.24787776353965e-05	0.9999969709615	17	706	regulation of locomotion	BP	0.00212549663897962
GO:0007166	1.25187702142755e-05	0.999995828052411	28	1664	cell surface receptor signaling pathway	BP	0.00212549663897962
GO:0051592	1.2560993255028e-05	0.999999193931856	6	77	response to calcium ion	BP	0.00212549663897962
GO:0003299	1.27109516871702e-05	0.999999705921649	4	21	muscle hypertrophy in response to stress	BP	0.00212549663897962
GO:0014898	1.27109516871702e-05	0.999999705921649	4	21	cardiac muscle hypertrophy in response to stress	BP	0.00212549663897962
GO:0043502	1.29454662748721e-05	0.999999166385975	6	74	regulation of muscle adaptation	BP	0.00214739394567578
GO:0030545	1.31960350082554e-05	0.999997673526678	12	248	receptor regulator activity	MF	0.0021715856023506
GO:0003007	1.35919811674483e-05	0.999998281229847	9	206	heart morphogenesis	BP	0.0022191317284019
GO:0014887	1.49931988346518e-05	0.999999635611225	4	22	cardiac muscle adaptation	BP	0.00242878107684769
GO:0014074	1.52560411535879e-05	0.999998986416311	6	77	response to purine-containing compound	BP	0.00245220165364066
GO:0035556	1.57522438801649e-05	0.99999450212717	30	1860	intracellular signal transduction	BP	0.0025124828988863
GO:0042803	1.61797694991981e-05	0.999995992292501	17	663	protein homodimerization activity	MF	0.00256097343943415
GO:0014808	1.72414487088369e-05	0.999999575524874	4	19	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	BP	0.0027083442346798
GO:0032879	1.78642860308055e-05	0.999993540803099	32	2029	regulation of localization	BP	0.00278508248758461
GO:0048729	1.84363351225113e-05	0.999996326322961	13	475	tissue morphogenesis	BP	0.00285281648332292
GO:0031325	1.91667296825627e-05	0.99999279021096	35	2338	positive regulation of cellular metabolic process	BP	0.0029438677034662
GO:1903169	2.02457864841973e-05	0.999998145821991	7	103	regulation of calcium ion transmembrane transport	BP	0.00308673810845463
GO:1903514	2.08540241152176e-05	0.999999456183936	4	20	release of sequestered calcium ion into cytosol by endoplasmic reticulum	BP	0.00315048203398592
GO:0006357	2.1051727589124e-05	0.999993168912901	25	1445	regulation of transcription from RNA polymerase II promoter	BP	0.00315048203398592
GO:0004252	2.11197011200406e-05	0.99999762162604	8	115	serine-type endopeptidase activity	MF	0.00315048203398592
GO:0009605	2.31975414996376e-05	0.999992273323535	26	1386	response to external stimulus	BP	0.00343486011541586
GO:0019222	2.33573800951838e-05	0.999990052163918	55	4526	regulation of metabolic process	BP	0.00343486011541586
GO:0010942	2.61053124313947e-05	0.99999390439816	15	555	positive regulation of cell death	BP	0.00381192713566879
GO:0030595	2.711779997092e-05	0.999996275227918	9	162	leukocyte chemotaxis	BP	0.0039320809957834
GO:0071363	2.95806116003548e-05	0.99999427932598	12	416	cellular response to growth factor stimulus	BP	0.0042594026495372
GO:0042493	2.98545381601672e-05	0.999996426794275	8	168	response to drug	BP	0.00426919895690392
GO:0035662	3.02652168486371e-05	0.999999851246636	3	4	Toll-like receptor 4 binding	MF	0.00429828268052391
GO:0033002	3.07859053745339e-05	0.999996295977761	8	174	muscle cell proliferation	BP	0.00434248808123102
GO:0071495	3.24366984532368e-05	0.999991482823249	17	798	cellular response to endogenous stimulus	BP	0.00454442528667477
GO:1903522	3.54534366346188e-05	0.999995654160663	8	164	regulation of blood circulation	BP	0.00493373831287799
GO:0043065	3.60289000662229e-05	0.999991821682844	14	504	positive regulation of apoptotic process	BP	0.00495240433136623
GO:0050793	3.60652545954329e-05	0.999986987508713	29	1835	regulation of developmental process	BP	0.00495240433136623
GO:0070848	3.71251251949247e-05	0.999992645224616	12	426	response to growth factor	BP	0.00506440441392607
GO:0051481	3.75330426471112e-05	0.999999533470721	3	12	negative regulation of cytosolic calcium ion concentration	BP	0.00508658587769837
GO:1901342	3.81230990266397e-05	0.99999448787604	9	216	regulation of vasculature development	BP	0.00513300297608684
GO:0070296	3.85663441725163e-05	0.999998804147592	4	22	sarcoplasmic reticulum calcium ion transport	BP	0.00515918158978791
GO:0048646	3.97273258557616e-05	0.999989392851388	17	795	anatomical structure formation involved in morphogenesis	BP	0.00528042372832831
GO:0043068	4.0035448763331e-05	0.999990820401482	14	509	positive regulation of programmed cell death	BP	0.00528748426820171
GO:0070588	4.1839129271071e-05	0.999994744576158	8	169	calcium ion transmembrane transport	BP	0.00549072370528897
GO:0051094	4.47633863415534e-05	0.999986549339006	20	1037	positive regulation of developmental process	BP	0.00581361450053049
GO:0005859	4.48602999799796e-05	0.999999407696722	3	12	muscle myosin complex	CC	0.00581361450053049
GO:0010038	4.75044898386802e-05	0.999993921571341	8	171	response to metal ion	BP	0.00611804718512443
GO:0007519	4.90445842073877e-05	0.999994783518369	7	136	skeletal muscle tissue development	BP	0.00627740403419867
GO:0014745	5.01482890567695e-05	0.999999312405461	3	12	negative regulation of muscle adaptation	BP	0.00637929308952219
GO:0070372	5.31230992378213e-05	0.999991984832099	9	208	regulation of ERK1 and ERK2 cascade	BP	0.00671650891887942
GO:0001568	5.4356461236324e-05	0.999987936194401	13	518	blood vessel development	BP	0.00683079529536472
GO:0006979	5.58478883424938e-05	0.999989405264938	11	322	response to oxidative stress	BP	0.00695836011359455
GO:0042802	5.60427363863173e-05	0.999980624233397	25	1418	identical protein binding	MF	0.00695836011359455
GO:0051924	5.84740992898226e-05	0.999992289898852	8	172	regulation of calcium ion transport	BP	0.00715967599525025
GO:0019220	5.85834993854846e-05	0.999980541369794	23	1284	regulation of phosphate metabolic process	BP	0.00715967599525025
GO:0055117	5.87000202166647e-05	0.999996457157737	5	56	regulation of cardiac muscle contraction	BP	0.00715967599525025
GO:0008236	5.98868540009045e-05	0.999992127411886	8	136	serine-type peptidase activity	MF	0.00726171881701026
GO:0051174	6.16130022617477e-05	0.999979462814069	23	1289	regulation of phosphorus metabolic process	BP	0.00742087970016833
GO:0060538	6.22744257015485e-05	0.99999311123116	7	141	skeletal muscle organ development	BP	0.00742087970016833
GO:0016459	6.25812832637021e-05	0.999996192475094	5	51	myosin complex	CC	0.00742087970016833
GO:0097201	6.26310078384112e-05	0.99999907402526	3	12	negative regulation of transcription from RNA polymerase II promoter in response to stress	BP	0.00742087970016833
GO:0006094	6.79781912507788e-05	0.999995766865014	5	56	gluconeogenesis	BP	0.00800868065673238
GO:0017171	6.85213069972192e-05	0.999990807084287	8	140	serine hydrolase activity	MF	0.0080270581954087
GO:2000026	6.92425165304531e-05	0.999976205831285	24	1419	regulation of multicellular organismal development	BP	0.00806597516999408
GO:0001228	7.33878745481912e-05	0.99998838478768	9	276	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	MF	0.00850110379193712
GO:0010959	7.55972130082343e-05	0.999986533572228	10	278	regulation of metal ion transport	BP	0.00866189680581101
GO:0090192	7.56114454715116e-05	0.999998808295794	3	12	regulation of glomerulus development	BP	0.00866189680581101
GO:0043281	7.66342927066935e-05	0.999989496929832	8	169	regulation of cysteine-type endopeptidase activity involved in apoptotic process	BP	0.00871354661796339
GO:0044093	7.69027745882469e-05	0.999975234611862	21	1108	positive regulation of molecular function	BP	0.00871354661796339
GO:0042325	7.80163243902021e-05	0.99997484565198	21	1133	regulation of phosphorylation	BP	0.00874832077202896
GO:0070371	7.80535009802439e-05	0.999987593555553	9	222	ERK1 and ERK2 cascade	BP	0.00874832077202896
GO:0010604	8.33720970398428e-05	0.999966705545252	33	2309	positive regulation of macromolecule metabolic process	BP	0.00929182027216513
GO:0019319	8.37989096163433e-05	0.999994527481727	5	59	hexose biosynthetic process	BP	0.00929182027216513
GO:0031323	8.91019060992063e-05	0.999960006560735	51	4269	regulation of cellular metabolic process	BP	0.0098272767179098
GO:0001944	9.07052392797823e-05	0.999978790350504	13	543	vasculature development	BP	0.00991359002923277
GO:0097529	9.08407092140933e-05	0.999987285176178	8	147	myeloid leukocyte migration	BP	0.00991359002923277
